index,GEOID,NAMELSAD,PostalCode,GEO_ID,Tract,County,State,S1701_C03_001E,S1701_C01_001E,propWhite,propBlack,propNative,propAsian,propPacIslander,propOther,propMulti,propHispanic,propWhiteNotHispanic,FIPS,GISJOIN,YEAR,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,TRACTA,CBSAA,MEMI,CSAA,METDIVA,AREALAND,AREAWATR,BASENAME,NAME.y,Metropolitan.Division.Code,CSA.Code,CBSA.Title,Metropolitan.Micropolitan.Statistical.Area,Metropolitan.Division.Title,CSA.Title,County.County.Equivalent,State.Name,Central.Outlying.County,CBSA_Met,povCond,StateIndex,longitude,latitude,item,Group,section,file_name,,,,,trial,condition
2534,6029002201,Census Tract 22.01,CA,1400000US06029002201,22.01, Kern County,California,36.6,2730,0.472527473,0.023809524,0,0,0,0.468864469,0.034798535,0.866300366,0.105860806,6,G0600290002201,2020,6029002201,4,9,California,6,Kern County,29,2201,12540,1,999,99999,791718,0,22.01,Census Tract 22.01,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2534,-118.9859778,35.35465144,IMG_14_2534.jpg,A,1,SV_PolicingMSA/CA_2534/IMG_14_2534.jpg,,,,,1,1
2534,6029002201,Census Tract 22.01,CA,1400000US06029002201,22.01, Kern County,California,36.6,2730,0.472527473,0.023809524,0,0,0,0.468864469,0.034798535,0.866300366,0.105860806,6,G0600290002201,2020,6029002201,4,9,California,6,Kern County,29,2201,12540,1,999,99999,791718,0,22.01,Census Tract 22.01,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2534,-118.9842347,35.35936032,IMG_5_2534.jpg,A,1,SV_PolicingMSA/CA_2534/IMG_5_2534.jpg,,,,,1,1
2534,6029002201,Census Tract 22.01,CA,1400000US06029002201,22.01, Kern County,California,36.6,2730,0.472527473,0.023809524,0,0,0,0.468864469,0.034798535,0.866300366,0.105860806,6,G0600290002201,2020,6029002201,4,9,California,6,Kern County,29,2201,12540,1,999,99999,791718,0,22.01,Census Tract 22.01,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2534,-118.987739,35.35676812,IMG_1_2534.jpg,A,1,SV_PolicingMSA/CA_2534/IMG_1_2534.jpg,,,,,1,1
2534,6029002201,Census Tract 22.01,CA,1400000US06029002201,22.01, Kern County,California,36.6,2730,0.472527473,0.023809524,0,0,0,0.468864469,0.034798535,0.866300366,0.105860806,6,G0600290002201,2020,6029002201,4,9,California,6,Kern County,29,2201,12540,1,999,99999,791718,0,22.01,Census Tract 22.01,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2534,-118.9863067,35.35318131,IMG_11_2534.jpg,A,1,SV_PolicingMSA/CA_2534/IMG_11_2534.jpg,,,,,1,1
2534,6029002201,Census Tract 22.01,CA,1400000US06029002201,22.01, Kern County,California,36.6,2730,0.472527473,0.023809524,0,0,0,0.468864469,0.034798535,0.866300366,0.105860806,6,G0600290002201,2020,6029002201,4,9,California,6,Kern County,29,2201,12540,1,999,99999,791718,0,22.01,Census Tract 22.01,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2534,-118.9925058,35.35354415,IMG_8_2534.jpg,A,1,SV_PolicingMSA/CA_2534/IMG_8_2534.jpg,,,,,1,1
2534,6029002201,Census Tract 22.01,CA,1400000US06029002201,22.01, Kern County,California,36.6,2730,0.472527473,0.023809524,0,0,0,0.468864469,0.034798535,0.866300366,0.105860806,6,G0600290002201,2020,6029002201,4,9,California,6,Kern County,29,2201,12540,1,999,99999,791718,0,22.01,Census Tract 22.01,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2534,-118.9888087,35.35452321,IMG_10_2534.jpg,A,1,SV_PolicingMSA/CA_2534/IMG_10_2534.jpg,,,,,1,1
2534,6029002201,Census Tract 22.01,CA,1400000US06029002201,22.01, Kern County,California,36.6,2730,0.472527473,0.023809524,0,0,0,0.468864469,0.034798535,0.866300366,0.105860806,6,G0600290002201,2020,6029002201,4,9,California,6,Kern County,29,2201,12540,1,999,99999,791718,0,22.01,Census Tract 22.01,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2534,-118.9927064,35.35484048,IMG_4_2534.jpg,A,1,SV_PolicingMSA/CA_2534/IMG_4_2534.jpg,,,,,1,1
2534,6029002201,Census Tract 22.01,CA,1400000US06029002201,22.01, Kern County,California,36.6,2730,0.472527473,0.023809524,0,0,0,0.468864469,0.034798535,0.866300366,0.105860806,6,G0600290002201,2020,6029002201,4,9,California,6,Kern County,29,2201,12540,1,999,99999,791718,0,22.01,Census Tract 22.01,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2534,-118.9933305,35.35581023,IMG_6_2534.jpg,A,1,SV_PolicingMSA/CA_2534/IMG_6_2534.jpg,,,,,1,1
2009,6029003400,Census Tract 34,CA,1400000US06029003400,34, Kern County,California,41.1,4919,0.712136613,0,0.006098801,0.020532629,0.003455987,0.178084977,0.079690994,0.601138443,0.3516975,6,G0600290003400,2020,6029003400,4,9,California,6,Kern County,29,3400,12540,1,999,99999,9294127,0,34,Census Tract 34,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2009,-119.4599161,35.18022302,IMG_8_2009.jpg,B,1,SV_PolicingMSA/CA_2009/IMG_8_2009.jpg,,,,,2,1
2009,6029003400,Census Tract 34,CA,1400000US06029003400,34, Kern County,California,41.1,4919,0.712136613,0,0.006098801,0.020532629,0.003455987,0.178084977,0.079690994,0.601138443,0.3516975,6,G0600290003400,2020,6029003400,4,9,California,6,Kern County,29,3400,12540,1,999,99999,9294127,0,34,Census Tract 34,NA,NA,"Bakersfield, CA",Metropolitan Statistical Area,NA,NA,Kern County,California,Central,"Bakersfield, CA",highPov,CA_2009,-119.4541376,35.15844673,IMG_9_2009.jpg,B,1,SV_PolicingMSA/CA_2009/IMG_9_2009.jpg,,,,,2,1
