"","path","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",18,140251,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10079","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","3",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_2009","CA_2009",1,0,2,1,1,2,2,"CA_2009",1,3,3,4,0,0,"CA_2009",1,4,4,1,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"2","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",19,145718,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5465","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","5",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",3,NA,NA,"CA_2009","CA_2009",1,0,2,1,1,2,2,"CA_2009",1,3,3,4,0,0,"CA_2009",1,4,4,1,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"3","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",20,150277,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4558","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","3",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_2009","CA_2009",1,0,2,1,1,2,2,"CA_2009",1,3,3,4,0,0,"CA_2009",1,4,4,1,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"4","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial_attention","html-slider-response",21,160288,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","null",NA,NA,NA,NA,NA,1,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"CA_2009","CA_2009",1,0,2,1,1,2,2,"CA_2009",1,3,3,4,0,0,"CA_2009",1,4,4,1,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"5","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",22,164504,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4213","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","5",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",3,NA,NA,"CA_2009","CA_2009",1,0,2,1,1,2,2,"CA_2009",1,3,3,4,0,0,"CA_2009",1,4,4,1,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"6","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",23,167536,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3032","[""SV_PolicingMSA/CA_2009/IMG_8_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_9_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_1_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_6_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_5_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_2_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_0_2009.jpg"",""SV_PolicingMSA/CA_2009/IMG_3_2009.jpg""]","3",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_2009","CA_2009",1,0,2,1,1,2,2,"CA_2009",1,3,3,4,0,0,"CA_2009",1,4,4,1,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"7","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",36,250331,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4840","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_8565","CA_8565",4,3,2,1,3,2,7,"CA_8565",4,1,1,2,3,3,"CA_8565",4,3,2,2,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"8","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",37,252952,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2620","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",3,NA,NA,"CA_8565","CA_8565",4,3,2,1,3,2,7,"CA_8565",4,1,1,2,3,3,"CA_8565",4,3,2,2,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"9","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",38,255507,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2554","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_8565","CA_8565",4,3,2,1,3,2,7,"CA_8565",4,1,1,2,3,3,"CA_8565",4,3,2,2,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
"10","/Users/arajo/Documents/01. Project/repsPoliceCICompare/data/repsPoliceCICompare_s-1_p-undefined_s-6568abf80701421fc3443fda_SESSION_2023-11-30_11h00.17.632.csv","sliderTrial","html-slider-response",39,258140,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568abf80701421fc3443fda",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2631","[""SV_PolicingMSA/CA_8565/IMG_3_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_12_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_5_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_7_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_1_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_2_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_8_8565.jpg"",""SV_PolicingMSA/CA_8565/IMG_6_8565.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_8565","CA_8565",4,3,2,1,3,2,7,"CA_8565",4,1,1,2,3,3,"CA_8565",4,3,2,2,2,2,2,"48","male","nonbinary","Man and nonbinary","49120","Nothing, thanks!"
