"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,147023,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12986","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",1,NA,NA,"MA_855/","MA_855",2,1,2,3,4,3,3,"MA_855",2,2,2,2,2,1,"MA_855",2,0,4,2,0,2,0,"21","female","woman","","63050",""
"2","sliderTrial","html-slider-response",19,155020,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7993","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",1,NA,NA,"MA_855/","MA_855",2,1,2,3,4,3,3,"MA_855",2,2,2,2,2,1,"MA_855",2,0,4,2,0,2,0,"21","female","woman","","63050",""
"3","sliderTrial","html-slider-response",20,158514,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3489","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","2",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",2,NA,NA,"MA_855/","MA_855",2,1,2,3,4,3,3,"MA_855",2,2,2,2,2,1,"MA_855",2,0,4,2,0,2,0,"21","female","woman","","63050",""
"4","sliderTrial","html-slider-response",21,161877,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3360","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",1,NA,NA,"MA_855/","MA_855",2,1,2,3,4,3,3,"MA_855",2,2,2,2,2,1,"MA_855",2,0,4,2,0,2,0,"21","female","woman","","63050",""
"5","sliderTrial","html-slider-response",22,162293,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"412","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",4,NA,NA,"MA_855/","MA_855",2,1,2,3,4,3,3,"MA_855",2,2,2,2,2,1,"MA_855",2,0,4,2,0,2,0,"21","female","woman","","63050",""
"6","sliderTrial","html-slider-response",35,232253,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4643","[""SV_PolicingMSA/MA_181/IMG_5_181.jpg"",""SV_PolicingMSA/MA_181/IMG_8_181.jpg"",""SV_PolicingMSA/MA_181/IMG_7_181.jpg"",""SV_PolicingMSA/MA_181/IMG_10_181.jpg"",""SV_PolicingMSA/MA_181/IMG_6_181.jpg"",""SV_PolicingMSA/MA_181/IMG_4_181.jpg"",""SV_PolicingMSA/MA_181/IMG_2_181.jpg"",""SV_PolicingMSA/MA_181/IMG_3_181.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",7,NA,NA,"MA_181/","MA_181",3,3,4,3,4,3,5,"MA_181",3,1,1,2,3,3,"MA_181",3,0,4,2,1,2,0,"21","female","woman","","63050",""
"7","sliderTrial","html-slider-response",36,234660,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2401","[""SV_PolicingMSA/MA_181/IMG_5_181.jpg"",""SV_PolicingMSA/MA_181/IMG_8_181.jpg"",""SV_PolicingMSA/MA_181/IMG_7_181.jpg"",""SV_PolicingMSA/MA_181/IMG_10_181.jpg"",""SV_PolicingMSA/MA_181/IMG_6_181.jpg"",""SV_PolicingMSA/MA_181/IMG_4_181.jpg"",""SV_PolicingMSA/MA_181/IMG_2_181.jpg"",""SV_PolicingMSA/MA_181/IMG_3_181.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",7,NA,NA,"MA_181/","MA_181",3,3,4,3,4,3,5,"MA_181",3,1,1,2,3,3,"MA_181",3,0,4,2,1,2,0,"21","female","woman","","63050",""
"8","sliderTrial","html-slider-response",37,236811,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2148","[""SV_PolicingMSA/MA_181/IMG_5_181.jpg"",""SV_PolicingMSA/MA_181/IMG_8_181.jpg"",""SV_PolicingMSA/MA_181/IMG_7_181.jpg"",""SV_PolicingMSA/MA_181/IMG_10_181.jpg"",""SV_PolicingMSA/MA_181/IMG_6_181.jpg"",""SV_PolicingMSA/MA_181/IMG_4_181.jpg"",""SV_PolicingMSA/MA_181/IMG_2_181.jpg"",""SV_PolicingMSA/MA_181/IMG_3_181.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",7,NA,NA,"MA_181/","MA_181",3,3,4,3,4,3,5,"MA_181",3,1,1,2,3,3,"MA_181",3,0,4,2,1,2,0,"21","female","woman","","63050",""
"9","sliderTrial","html-slider-response",38,238620,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1804","[""SV_PolicingMSA/MA_181/IMG_5_181.jpg"",""SV_PolicingMSA/MA_181/IMG_8_181.jpg"",""SV_PolicingMSA/MA_181/IMG_7_181.jpg"",""SV_PolicingMSA/MA_181/IMG_10_181.jpg"",""SV_PolicingMSA/MA_181/IMG_6_181.jpg"",""SV_PolicingMSA/MA_181/IMG_4_181.jpg"",""SV_PolicingMSA/MA_181/IMG_2_181.jpg"",""SV_PolicingMSA/MA_181/IMG_3_181.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",7,NA,NA,"MA_181/","MA_181",3,3,4,3,4,3,5,"MA_181",3,1,1,2,3,3,"MA_181",3,0,4,2,1,2,0,"21","female","woman","","63050",""
"10","sliderTrial","html-slider-response",39,240542,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1915","[""SV_PolicingMSA/MA_181/IMG_5_181.jpg"",""SV_PolicingMSA/MA_181/IMG_8_181.jpg"",""SV_PolicingMSA/MA_181/IMG_7_181.jpg"",""SV_PolicingMSA/MA_181/IMG_10_181.jpg"",""SV_PolicingMSA/MA_181/IMG_6_181.jpg"",""SV_PolicingMSA/MA_181/IMG_4_181.jpg"",""SV_PolicingMSA/MA_181/IMG_2_181.jpg"",""SV_PolicingMSA/MA_181/IMG_3_181.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",7,NA,NA,"MA_181/","MA_181",3,3,4,3,4,3,5,"MA_181",3,1,1,2,3,3,"MA_181",3,0,4,2,1,2,0,"21","female","woman","","63050",""
"11","sliderTrial","html-slider-response",52,315088,"0.0-52.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4972","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","7",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",7,NA,NA,"MA_854/","MA_854",1,1,1,1,2,2,2,"MA_854",1,3,3,3,0,0,"MA_854",1,0,4,2,0,0,0,"21","female","woman","","63050",""
"12","sliderTrial","html-slider-response",53,317599,"0.0-53.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2507","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","7",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",1,NA,NA,"MA_854/","MA_854",1,1,1,1,2,2,2,"MA_854",1,3,3,3,0,0,"MA_854",1,0,4,2,0,0,0,"21","female","woman","","63050",""
"13","sliderTrial","html-slider-response",54,320708,"0.0-54.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3105","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","7",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",1,NA,NA,"MA_854/","MA_854",1,1,1,1,2,2,2,"MA_854",1,3,3,3,0,0,"MA_854",1,0,4,2,0,0,0,"21","female","woman","","63050",""
"14","sliderTrial","html-slider-response",55,322844,"0.0-55.0",NA,"656776a7904ae00d6b91d1dd","6568a5e1f02565f56978d629",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2130","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","1",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",7,NA,NA,"MA_854/","MA_854",1,1,1,1,2,2,2,"MA_854",1,3,3,3,0,0,"MA_854",1,0,4,2,0,0,0,"21","female","woman","","63050",""
