"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,242651,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25350","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",5,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,2,2,3,1,1,"TX_109",3,1,2,1,2,0,1,"25","female","woman","","85012",""
"2","sliderTrial","html-slider-response",19,252330,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9677","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",5,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,2,2,3,1,1,"TX_109",3,1,2,1,2,0,1,"25","female","woman","","85012",""
"3","sliderTrial","html-slider-response",20,258536,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6202","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,2,2,3,1,1,"TX_109",3,1,2,1,2,0,1,"25","female","woman","","85012",""
"4","sliderTrial","html-slider-response",21,262771,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4233","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",5,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,2,2,3,1,1,"TX_109",3,1,2,1,2,0,1,"25","female","woman","","85012",""
"5","sliderTrial","html-slider-response",22,269484,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6711","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",5,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,2,2,3,1,1,"TX_109",3,1,2,1,2,0,1,"25","female","woman","","85012",""
"6","sliderTrial","html-slider-response",35,382964,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8655","[""SV_PolicingMSA/TX_130/IMG_14_130.jpg"",""SV_PolicingMSA/TX_130/IMG_13_130.jpg"",""SV_PolicingMSA/TX_130/IMG_12_130.jpg"",""SV_PolicingMSA/TX_130/IMG_8_130.jpg"",""SV_PolicingMSA/TX_130/IMG_4_130.jpg"",""SV_PolicingMSA/TX_130/IMG_10_130.jpg"",""SV_PolicingMSA/TX_130/IMG_0_130.jpg"",""SV_PolicingMSA/TX_130/IMG_7_130.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",3,NA,NA,"TX_130/","TX_130",0,2,2,2,3,2,1,"TX_130",0,1,2,2,2,1,"TX_130",0,2,1,3,2,1,1,"25","female","woman","","85012",""
"7","sliderTrial","html-slider-response",36,385758,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2791","[""SV_PolicingMSA/TX_130/IMG_14_130.jpg"",""SV_PolicingMSA/TX_130/IMG_13_130.jpg"",""SV_PolicingMSA/TX_130/IMG_12_130.jpg"",""SV_PolicingMSA/TX_130/IMG_8_130.jpg"",""SV_PolicingMSA/TX_130/IMG_4_130.jpg"",""SV_PolicingMSA/TX_130/IMG_10_130.jpg"",""SV_PolicingMSA/TX_130/IMG_0_130.jpg"",""SV_PolicingMSA/TX_130/IMG_7_130.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",3,NA,NA,"TX_130/","TX_130",0,2,2,2,3,2,1,"TX_130",0,1,2,2,2,1,"TX_130",0,2,1,3,2,1,1,"25","female","woman","","85012",""
"8","sliderTrial","html-slider-response",37,391444,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5684","[""SV_PolicingMSA/TX_130/IMG_14_130.jpg"",""SV_PolicingMSA/TX_130/IMG_13_130.jpg"",""SV_PolicingMSA/TX_130/IMG_12_130.jpg"",""SV_PolicingMSA/TX_130/IMG_8_130.jpg"",""SV_PolicingMSA/TX_130/IMG_4_130.jpg"",""SV_PolicingMSA/TX_130/IMG_10_130.jpg"",""SV_PolicingMSA/TX_130/IMG_0_130.jpg"",""SV_PolicingMSA/TX_130/IMG_7_130.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]",3,NA,NA,"TX_130/","TX_130",0,2,2,2,3,2,1,"TX_130",0,1,2,2,2,1,"TX_130",0,2,1,3,2,1,1,"25","female","woman","","85012",""
"9","sliderTrial","html-slider-response",38,400298,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8851","[""SV_PolicingMSA/TX_130/IMG_14_130.jpg"",""SV_PolicingMSA/TX_130/IMG_13_130.jpg"",""SV_PolicingMSA/TX_130/IMG_12_130.jpg"",""SV_PolicingMSA/TX_130/IMG_8_130.jpg"",""SV_PolicingMSA/TX_130/IMG_4_130.jpg"",""SV_PolicingMSA/TX_130/IMG_10_130.jpg"",""SV_PolicingMSA/TX_130/IMG_0_130.jpg"",""SV_PolicingMSA/TX_130/IMG_7_130.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",4,NA,NA,"TX_130/","TX_130",0,2,2,2,3,2,1,"TX_130",0,1,2,2,2,1,"TX_130",0,2,1,3,2,1,1,"25","female","woman","","85012",""
"10","sliderTrial_attention","html-slider-response",39,410309,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a646f02565f56978d642",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/TX_130/IMG_14_130.jpg"",""SV_PolicingMSA/TX_130/IMG_13_130.jpg"",""SV_PolicingMSA/TX_130/IMG_12_130.jpg"",""SV_PolicingMSA/TX_130/IMG_8_130.jpg"",""SV_PolicingMSA/TX_130/IMG_4_130.jpg"",""SV_PolicingMSA/TX_130/IMG_10_130.jpg"",""SV_PolicingMSA/TX_130/IMG_0_130.jpg"",""SV_PolicingMSA/TX_130/IMG_7_130.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"TX_130/","TX_130",0,2,2,2,3,2,1,"TX_130",0,1,2,2,2,1,"TX_130",0,2,1,3,2,1,1,"25","female","woman","","85012",""
