"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,101118,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9446","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png""]",5,NA,NA,"NY_2726","NY_2726",2,1,1,3,2,2,3,"NY_2726",2,3,3,3,1,1,"NY_2726",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"2","sliderTrial","html-slider-response",19,104181,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3060","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",5,NA,NA,"NY_2726","NY_2726",2,1,1,3,2,2,3,"NY_2726",2,3,3,3,1,1,"NY_2726",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"3","sliderTrial","html-slider-response",20,106918,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2736","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",5,NA,NA,"NY_2726","NY_2726",2,1,1,3,2,2,3,"NY_2726",2,3,3,3,1,1,"NY_2726",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"4","sliderTrial","html-slider-response",21,109163,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2242","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",5,NA,NA,"NY_2726","NY_2726",2,1,1,3,2,2,3,"NY_2726",2,3,3,3,1,1,"NY_2726",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"5","sliderTrial","html-slider-response",22,111178,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",3,NA,NA,"NY_2726","NY_2726",2,1,1,3,2,2,3,"NY_2726",2,3,3,3,1,1,"NY_2726",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"6","sliderTrial","html-slider-response",35,153279,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4297","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_1880","NJ_1880",2,2,2,3,1,2,4,"NJ_1880",2,2,2,2,2,2,"NJ_1880",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"7","sliderTrial","html-slider-response",36,155196,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1913","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",5,NA,NA,"NJ_1880","NJ_1880",2,2,2,3,1,2,4,"NJ_1880",2,2,2,2,2,2,"NJ_1880",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"8","sliderTrial","html-slider-response",37,156811,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1611","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",5,NA,NA,"NJ_1880","NJ_1880",2,2,2,3,1,2,4,"NJ_1880",2,2,2,2,2,2,"NJ_1880",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"9","sliderTrial","html-slider-response",38,158460,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1646","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_1880","NJ_1880",2,2,2,3,1,2,4,"NJ_1880",2,2,2,2,2,2,"NJ_1880",2,1,2,1,1,1,1,"21","female","woman","","30040",""
"10","sliderTrial","html-slider-response",39,160463,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a6ddf7b6f86a69cda249",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","[""SV_PolicingMSA/NJ_1880/IMG_10_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_12_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_3_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_2_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_8_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_13_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_6_1880.jpg"",""SV_PolicingMSA/NJ_1880/IMG_11_1880.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",3,NA,NA,"NJ_1880","NJ_1880",2,2,2,3,1,2,4,"NJ_1880",2,2,2,2,2,2,"NJ_1880",2,1,2,1,1,1,1,"21","female","woman","","30040",""
