"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,129747,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12189","[""SV_PolicingMSA/NJ_1936/IMG_7_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_8_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_2_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_3_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_13_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_4_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_10_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_1_1936.jpg""]","2",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",2,NA,NA,"NJ_1936","NJ_1936",4,3,4,1,3,0,7,"NJ_1936",4,0,0,2,4,4,"NJ_1936",4,3,1,4,0,3,2,"30","female","woman","","30135",""
"2","sliderTrial","html-slider-response",19,141836,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12088","[""SV_PolicingMSA/NJ_1936/IMG_7_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_8_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_2_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_3_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_13_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_4_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_10_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_1_1936.jpg""]","2",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",2,NA,NA,"NJ_1936","NJ_1936",4,3,4,1,3,0,7,"NJ_1936",4,0,0,2,4,4,"NJ_1936",4,3,1,4,0,3,2,"30","female","woman","","30135",""
"3","sliderTrial","html-slider-response",20,148847,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7008","[""SV_PolicingMSA/NJ_1936/IMG_7_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_8_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_2_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_3_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_13_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_4_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_10_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_1_1936.jpg""]","1",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",1,NA,NA,"NJ_1936","NJ_1936",4,3,4,1,3,0,7,"NJ_1936",4,0,0,2,4,4,"NJ_1936",4,3,1,4,0,3,2,"30","female","woman","","30135",""
"4","sliderTrial","html-slider-response",21,154881,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6032","[""SV_PolicingMSA/NJ_1936/IMG_7_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_8_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_2_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_3_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_13_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_4_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_10_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_1_1936.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",5,NA,NA,"NJ_1936","NJ_1936",4,3,4,1,3,0,7,"NJ_1936",4,0,0,2,4,4,"NJ_1936",4,3,1,4,0,3,2,"30","female","woman","","30135",""
"5","sliderTrial","html-slider-response",22,161462,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6579","[""SV_PolicingMSA/NJ_1936/IMG_7_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_8_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_2_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_3_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_13_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_4_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_10_1936.jpg"",""SV_PolicingMSA/NJ_1936/IMG_1_1936.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",5,NA,NA,"NJ_1936","NJ_1936",4,3,4,1,3,0,7,"NJ_1936",4,0,0,2,4,4,"NJ_1936",4,3,1,4,0,3,2,"30","female","woman","","30135",""
"6","sliderTrial","html-slider-response",35,222735,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5314","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",2,NA,NA,"NJ_880/","NJ_880",2,1,2,0,3,1,3,"NJ_880",2,2,2,4,1,2,"NJ_880",2,1,1,3,0,3,2,"30","female","woman","","30135",""
"7","sliderTrial","html-slider-response",36,227983,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5245","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",6,NA,NA,"NJ_880/","NJ_880",2,1,2,0,3,1,3,"NJ_880",2,2,2,4,1,2,"NJ_880",2,1,1,3,0,3,2,"30","female","woman","","30135",""
"8","sliderTrial","html-slider-response",37,232497,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4512","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",1,NA,NA,"NJ_880/","NJ_880",2,1,2,0,3,1,3,"NJ_880",2,2,2,4,1,2,"NJ_880",2,1,1,3,0,3,2,"30","female","woman","","30135",""
"9","sliderTrial","html-slider-response",38,237391,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4891","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",2,NA,NA,"NJ_880/","NJ_880",2,1,2,0,3,1,3,"NJ_880",2,2,2,4,1,2,"NJ_880",2,1,1,3,0,3,2,"30","female","woman","","30135",""
"10","sliderTrial","html-slider-response",39,241377,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a80c77e50c0d89c7a215",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3983","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",2,NA,NA,"NJ_880/","NJ_880",2,1,2,0,3,1,3,"NJ_880",2,2,2,4,1,2,"NJ_880",2,1,1,3,0,3,2,"30","female","woman","","30135",""
