"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,127054,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8983","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","5",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",5,NA,NA,"CO_368/","CO_368",1,3,1,2,2,2,2,"CO_368",1,3,2,2,2,2,"CO_368",1,0,2,1,1,1,1,"39","female","woman","","77562",""
"2","sliderTrial","html-slider-response",19,134891,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7835","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","2",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",6,NA,NA,"CO_368/","CO_368",1,3,1,2,2,2,2,"CO_368",1,3,2,2,2,2,"CO_368",1,0,2,1,1,1,1,"39","female","woman","","77562",""
"3","sliderTrial","html-slider-response",20,141858,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6966","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","6",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",6,NA,NA,"CO_368/","CO_368",1,3,1,2,2,2,2,"CO_368",1,3,2,2,2,2,"CO_368",1,0,2,1,1,1,1,"39","female","woman","","77562",""
"4","sliderTrial_attention","html-slider-response",21,151868,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","null",NA,NA,NA,NA,NA,1,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"CO_368/","CO_368",1,3,1,2,2,2,2,"CO_368",1,3,2,2,2,2,"CO_368",1,0,2,1,1,1,1,"39","female","woman","","77562",""
"5","sliderTrial","html-slider-response",22,164278,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12406","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","5",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",5,NA,NA,"CO_368/","CO_368",1,3,1,2,2,2,2,"CO_368",1,3,2,2,2,2,"CO_368",1,0,2,1,1,1,1,"39","female","woman","","77562",""
"6","sliderTrial","html-slider-response",23,171572,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7293","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","5",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",5,NA,NA,"CO_368/","CO_368",1,3,1,2,2,2,2,"CO_368",1,3,2,2,2,2,"CO_368",1,0,2,1,1,1,1,"39","female","woman","","77562",""
"7","sliderTrial","html-slider-response",36,253773,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10684","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","6",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",2,NA,NA,"CO_572/","CO_572",5,2,4,2,2,3,8,"CO_572",5,1,1,1,3,3,"CO_572",5,3,0,4,3,4,4,"39","female","woman","","77562",""
"8","sliderTrial","html-slider-response",37,263459,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9684","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","6",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",2,NA,NA,"CO_572/","CO_572",5,2,4,2,2,3,8,"CO_572",5,1,1,1,3,3,"CO_572",5,3,0,4,3,4,4,"39","female","woman","","77562",""
"9","sliderTrial","html-slider-response",38,270760,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7300","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","6",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",2,NA,NA,"CO_572/","CO_572",5,2,4,2,2,3,8,"CO_572",5,1,1,1,3,3,"CO_572",5,3,0,4,3,4,4,"39","female","woman","","77562",""
"10","sliderTrial","html-slider-response",39,274247,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a825529b24d236906a06",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3486","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",2,NA,NA,"CO_572/","CO_572",5,2,4,2,2,3,8,"CO_572",5,1,1,1,3,3,"CO_572",5,3,0,4,3,4,4,"39","female","woman","","77562",""
