"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,298663,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16329","[""SV_PolicingMSA/TX_4061/IMG_5_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_12_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_1_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_3_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_14_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_8_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_4_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_13_4061.jpg""]","6",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",2,NA,NA,"TX_4061","TX_4061",5,2,4,4,4,1,8,"TX_4061",5,0,0,1,2,2,"TX_4061",5,2,1,3,2,3,3,"24","female","woman","","84043",""
"2","sliderTrial","html-slider-response",19,305538,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6874","[""SV_PolicingMSA/TX_4061/IMG_5_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_12_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_1_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_3_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_14_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_8_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_4_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_13_4061.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",2,NA,NA,"TX_4061","TX_4061",5,2,4,4,4,1,8,"TX_4061",5,0,0,1,2,2,"TX_4061",5,2,1,3,2,3,3,"24","female","woman","","84043",""
"3","sliderTrial","html-slider-response",20,309599,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4060","[""SV_PolicingMSA/TX_4061/IMG_5_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_12_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_1_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_3_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_14_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_8_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_4_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_13_4061.jpg""]","6",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",2,NA,NA,"TX_4061","TX_4061",5,2,4,4,4,1,8,"TX_4061",5,0,0,1,2,2,"TX_4061",5,2,1,3,2,3,3,"24","female","woman","","84043",""
"4","sliderTrial","html-slider-response",21,314446,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4846","[""SV_PolicingMSA/TX_4061/IMG_5_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_12_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_1_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_3_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_14_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_8_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_4_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_13_4061.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",2,NA,NA,"TX_4061","TX_4061",5,2,4,4,4,1,8,"TX_4061",5,0,0,1,2,2,"TX_4061",5,2,1,3,2,3,3,"24","female","woman","","84043",""
"5","sliderTrial","html-slider-response",22,317956,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3508","[""SV_PolicingMSA/TX_4061/IMG_5_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_12_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_1_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_3_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_14_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_8_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_4_4061.jpg"",""SV_PolicingMSA/TX_4061/IMG_13_4061.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",2,NA,NA,"TX_4061","TX_4061",5,2,4,4,4,1,8,"TX_4061",5,0,0,1,2,2,"TX_4061",5,2,1,3,2,3,3,"24","female","woman","","84043",""
"6","sliderTrial","html-slider-response",35,401549,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6547","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","6",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",2,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,1,1,2,2,1,"TX_109",3,1,3,2,1,2,1,"24","female","woman","","84043",""
"7","sliderTrial","html-slider-response",36,404242,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2691","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","2",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",2,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,1,1,2,2,1,"TX_109",3,1,3,2,1,2,1,"24","female","woman","","84043",""
"8","sliderTrial","html-slider-response",37,406621,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2378","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","6",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",2,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,1,1,2,2,1,"TX_109",3,1,3,2,1,2,1,"24","female","woman","","84043",""
"9","sliderTrial","html-slider-response",38,408642,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","2",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",2,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,1,1,2,2,1,"TX_109",3,1,3,2,1,2,1,"24","female","woman","","84043",""
"10","sliderTrial","html-slider-response",39,411523,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a8644aa3a143f28354e1",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2880","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","2",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",2,NA,NA,"TX_109/","TX_109",3,1,2,2,2,1,5,"TX_109",3,1,1,2,2,1,"TX_109",3,1,3,2,1,2,1,"24","female","woman","","84043",""
