"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,240248,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11699","[""SV_PolicingMSA/MO_60/IMG_7_60.jpg"",""SV_PolicingMSA/MO_60/IMG_10_60.jpg"",""SV_PolicingMSA/MO_60/IMG_14_60.jpg"",""SV_PolicingMSA/MO_60/IMG_3_60.jpg"",""SV_PolicingMSA/MO_60/IMG_0_60.jpg"",""SV_PolicingMSA/MO_60/IMG_12_60.jpg"",""SV_PolicingMSA/MO_60/IMG_5_60.jpg"",""SV_PolicingMSA/MO_60/IMG_13_60.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",3,NA,NA,"MO_60/I","MO_60I",4,1,3,2,4,2,7,"MO_60I",4,2,2,3,1,1,"MO_60I",4,1,3,2,1,1,1,"37","male","man","","79924",""
"2","sliderTrial","html-slider-response",19,243715,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3464","[""SV_PolicingMSA/MO_60/IMG_7_60.jpg"",""SV_PolicingMSA/MO_60/IMG_10_60.jpg"",""SV_PolicingMSA/MO_60/IMG_14_60.jpg"",""SV_PolicingMSA/MO_60/IMG_3_60.jpg"",""SV_PolicingMSA/MO_60/IMG_0_60.jpg"",""SV_PolicingMSA/MO_60/IMG_12_60.jpg"",""SV_PolicingMSA/MO_60/IMG_5_60.jpg"",""SV_PolicingMSA/MO_60/IMG_13_60.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",3,NA,NA,"MO_60/I","MO_60I",4,1,3,2,4,2,7,"MO_60I",4,2,2,3,1,1,"MO_60I",4,1,3,2,1,1,1,"37","male","man","","79924",""
"3","sliderTrial","html-slider-response",20,246576,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2858","[""SV_PolicingMSA/MO_60/IMG_7_60.jpg"",""SV_PolicingMSA/MO_60/IMG_10_60.jpg"",""SV_PolicingMSA/MO_60/IMG_14_60.jpg"",""SV_PolicingMSA/MO_60/IMG_3_60.jpg"",""SV_PolicingMSA/MO_60/IMG_0_60.jpg"",""SV_PolicingMSA/MO_60/IMG_12_60.jpg"",""SV_PolicingMSA/MO_60/IMG_5_60.jpg"",""SV_PolicingMSA/MO_60/IMG_13_60.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",3,NA,NA,"MO_60/I","MO_60I",4,1,3,2,4,2,7,"MO_60I",4,2,2,3,1,1,"MO_60I",4,1,3,2,1,1,1,"37","male","man","","79924",""
"4","sliderTrial","html-slider-response",21,249912,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3332","[""SV_PolicingMSA/MO_60/IMG_7_60.jpg"",""SV_PolicingMSA/MO_60/IMG_10_60.jpg"",""SV_PolicingMSA/MO_60/IMG_14_60.jpg"",""SV_PolicingMSA/MO_60/IMG_3_60.jpg"",""SV_PolicingMSA/MO_60/IMG_0_60.jpg"",""SV_PolicingMSA/MO_60/IMG_12_60.jpg"",""SV_PolicingMSA/MO_60/IMG_5_60.jpg"",""SV_PolicingMSA/MO_60/IMG_13_60.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",3,NA,NA,"MO_60/I","MO_60I",4,1,3,2,4,2,7,"MO_60I",4,2,2,3,1,1,"MO_60I",4,1,3,2,1,1,1,"37","male","man","","79924",""
"5","sliderTrial","html-slider-response",22,252038,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2122","[""SV_PolicingMSA/MO_60/IMG_7_60.jpg"",""SV_PolicingMSA/MO_60/IMG_10_60.jpg"",""SV_PolicingMSA/MO_60/IMG_14_60.jpg"",""SV_PolicingMSA/MO_60/IMG_3_60.jpg"",""SV_PolicingMSA/MO_60/IMG_0_60.jpg"",""SV_PolicingMSA/MO_60/IMG_12_60.jpg"",""SV_PolicingMSA/MO_60/IMG_5_60.jpg"",""SV_PolicingMSA/MO_60/IMG_13_60.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",3,NA,NA,"MO_60/I","MO_60I",4,1,3,2,4,2,7,"MO_60I",4,2,2,3,1,1,"MO_60I",4,1,3,2,1,1,1,"37","male","man","","79924",""
"6","sliderTrial","html-slider-response",35,362358,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14411","[""SV_PolicingMSA/MO_1278/IMG_6_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_0_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_14_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_4_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_9_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_1_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_2_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_12_1278.jpg""]","5",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",5,NA,NA,"MO_1278","MO_1278",5,3,3,2,3,2,8,"MO_1278",5,2,3,3,2,2,"MO_1278",5,2,3,2,2,2,2,"37","male","man","","79924",""
"7","sliderTrial","html-slider-response",36,369261,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6900","[""SV_PolicingMSA/MO_1278/IMG_6_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_0_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_14_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_4_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_9_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_1_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_2_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_12_1278.jpg""]","6",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",2,NA,NA,"MO_1278","MO_1278",5,3,3,2,3,2,8,"MO_1278",5,2,3,3,2,2,"MO_1278",5,2,3,2,2,2,2,"37","male","man","","79924",""
"8","sliderTrial","html-slider-response",37,372225,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2962","[""SV_PolicingMSA/MO_1278/IMG_6_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_0_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_14_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_4_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_9_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_1_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_2_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_12_1278.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",2,NA,NA,"MO_1278","MO_1278",5,3,3,2,3,2,8,"MO_1278",5,2,3,3,2,2,"MO_1278",5,2,3,2,2,2,2,"37","male","man","","79924",""
"9","sliderTrial","html-slider-response",38,376235,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4007","[""SV_PolicingMSA/MO_1278/IMG_6_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_0_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_14_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_4_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_9_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_1_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_2_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_12_1278.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",2,NA,NA,"MO_1278","MO_1278",5,3,3,2,3,2,8,"MO_1278",5,2,3,3,2,2,"MO_1278",5,2,3,2,2,2,2,"37","male","man","","79924",""
"10","sliderTrial","html-slider-response",39,385327,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a86b0cbcb4084b2158b2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9089","[""SV_PolicingMSA/MO_1278/IMG_6_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_0_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_14_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_4_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_9_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_1_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_2_1278.jpg"",""SV_PolicingMSA/MO_1278/IMG_12_1278.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",2,NA,NA,"MO_1278","MO_1278",5,3,3,2,3,2,8,"MO_1278",5,2,3,3,2,2,"MO_1278",5,2,3,2,2,2,2,"37","male","man","","79924",""
