"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,107696,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11010","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",5,NA,NA,"MI_2715","MI_2715",4,1,2,0,3,0,7,"MI_2715",4,1,1,4,1,0,"MI_2715",4,1,3,2,1,3,2,"24","female","woman","","11237",""
"2","sliderTrial","html-slider-response",19,116709,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9010","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_2715","MI_2715",4,1,2,0,3,0,7,"MI_2715",4,1,1,4,1,0,"MI_2715",4,1,3,2,1,3,2,"24","female","woman","","11237",""
"3","sliderTrial","html-slider-response",20,121282,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4570","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_2715","MI_2715",4,1,2,0,3,0,7,"MI_2715",4,1,1,4,1,0,"MI_2715",4,1,3,2,1,3,2,"24","female","woman","","11237",""
"4","sliderTrial","html-slider-response",21,127685,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6400","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_2715","MI_2715",4,1,2,0,3,0,7,"MI_2715",4,1,1,4,1,0,"MI_2715",4,1,3,2,1,3,2,"24","female","woman","","11237",""
"5","sliderTrial","html-slider-response",22,133390,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5701","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",3,NA,NA,"MI_2715","MI_2715",4,1,2,0,3,0,7,"MI_2715",4,1,1,4,1,0,"MI_2715",4,1,3,2,1,3,2,"24","female","woman","","11237",""
"6","sliderTrial","html-slider-response",35,195581,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5401","[""SV_PolicingMSA/MI_1822/IMG_7_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_9_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_10_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_3_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_6_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_0_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_4_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_5_1822.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",4,NA,NA,"MI_1822","MI_1822",3,1,3,1,2,0,5,"MI_1822",3,1,1,3,2,1,"MI_1822",3,1,3,2,1,2,2,"24","female","woman","","11237",""
"7","sliderTrial","html-slider-response",36,198714,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3130","[""SV_PolicingMSA/MI_1822/IMG_7_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_9_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_10_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_3_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_6_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_0_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_4_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_5_1822.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",3,NA,NA,"MI_1822","MI_1822",3,1,3,1,2,0,5,"MI_1822",3,1,1,3,2,1,"MI_1822",3,1,3,2,1,2,2,"24","female","woman","","11237",""
"8","sliderTrial","html-slider-response",37,202052,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3334","[""SV_PolicingMSA/MI_1822/IMG_7_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_9_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_10_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_3_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_6_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_0_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_4_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_5_1822.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_1822","MI_1822",3,1,3,1,2,0,5,"MI_1822",3,1,1,3,2,1,"MI_1822",3,1,3,2,1,2,2,"24","female","woman","","11237",""
"9","sliderTrial","html-slider-response",38,205750,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3696","[""SV_PolicingMSA/MI_1822/IMG_7_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_9_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_10_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_3_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_6_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_0_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_4_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_5_1822.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",4,NA,NA,"MI_1822","MI_1822",3,1,3,1,2,0,5,"MI_1822",3,1,1,3,2,1,"MI_1822",3,1,3,2,1,2,2,"24","female","woman","","11237",""
"10","sliderTrial","html-slider-response",39,208007,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a96b709c0ee9bada53af",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2254","[""SV_PolicingMSA/MI_1822/IMG_7_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_9_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_10_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_3_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_6_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_0_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_4_1822.jpg"",""SV_PolicingMSA/MI_1822/IMG_5_1822.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",4,NA,NA,"MI_1822","MI_1822",3,1,3,1,2,0,5,"MI_1822",3,1,1,3,2,1,"MI_1822",3,1,3,2,1,2,2,"24","female","woman","","11237",""
