"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,267535,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31037","[""SV_PolicingMSA/TX_575/IMG_3_575.jpg"",""SV_PolicingMSA/TX_575/IMG_12_575.jpg"",""SV_PolicingMSA/TX_575/IMG_10_575.jpg"",""SV_PolicingMSA/TX_575/IMG_5_575.jpg"",""SV_PolicingMSA/TX_575/IMG_14_575.jpg"",""SV_PolicingMSA/TX_575/IMG_9_575.jpg"",""SV_PolicingMSA/TX_575/IMG_6_575.jpg"",""SV_PolicingMSA/TX_575/IMG_4_575.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_575/","TX_575",3,2,2,0,4,2,5,"TX_575",3,2,1,2,1,1,"TX_575",3,1,3,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"2","sliderTrial","html-slider-response",19,280695,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13158","[""SV_PolicingMSA/TX_575/IMG_3_575.jpg"",""SV_PolicingMSA/TX_575/IMG_12_575.jpg"",""SV_PolicingMSA/TX_575/IMG_10_575.jpg"",""SV_PolicingMSA/TX_575/IMG_5_575.jpg"",""SV_PolicingMSA/TX_575/IMG_14_575.jpg"",""SV_PolicingMSA/TX_575/IMG_9_575.jpg"",""SV_PolicingMSA/TX_575/IMG_6_575.jpg"",""SV_PolicingMSA/TX_575/IMG_4_575.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",3,NA,NA,"TX_575/","TX_575",3,2,2,0,4,2,5,"TX_575",3,2,1,2,1,1,"TX_575",3,1,3,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"3","sliderTrial","html-slider-response",20,290095,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9398","[""SV_PolicingMSA/TX_575/IMG_3_575.jpg"",""SV_PolicingMSA/TX_575/IMG_12_575.jpg"",""SV_PolicingMSA/TX_575/IMG_10_575.jpg"",""SV_PolicingMSA/TX_575/IMG_5_575.jpg"",""SV_PolicingMSA/TX_575/IMG_14_575.jpg"",""SV_PolicingMSA/TX_575/IMG_9_575.jpg"",""SV_PolicingMSA/TX_575/IMG_6_575.jpg"",""SV_PolicingMSA/TX_575/IMG_4_575.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_575/","TX_575",3,2,2,0,4,2,5,"TX_575",3,2,1,2,1,1,"TX_575",3,1,3,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"4","sliderTrial","html-slider-response",21,292616,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2518","[""SV_PolicingMSA/TX_575/IMG_3_575.jpg"",""SV_PolicingMSA/TX_575/IMG_12_575.jpg"",""SV_PolicingMSA/TX_575/IMG_10_575.jpg"",""SV_PolicingMSA/TX_575/IMG_5_575.jpg"",""SV_PolicingMSA/TX_575/IMG_14_575.jpg"",""SV_PolicingMSA/TX_575/IMG_9_575.jpg"",""SV_PolicingMSA/TX_575/IMG_6_575.jpg"",""SV_PolicingMSA/TX_575/IMG_4_575.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",4,NA,NA,"TX_575/","TX_575",3,2,2,0,4,2,5,"TX_575",3,2,1,2,1,1,"TX_575",3,1,3,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"5","sliderTrial","html-slider-response",22,296679,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4061","[""SV_PolicingMSA/TX_575/IMG_3_575.jpg"",""SV_PolicingMSA/TX_575/IMG_12_575.jpg"",""SV_PolicingMSA/TX_575/IMG_10_575.jpg"",""SV_PolicingMSA/TX_575/IMG_5_575.jpg"",""SV_PolicingMSA/TX_575/IMG_14_575.jpg"",""SV_PolicingMSA/TX_575/IMG_9_575.jpg"",""SV_PolicingMSA/TX_575/IMG_6_575.jpg"",""SV_PolicingMSA/TX_575/IMG_4_575.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",4,NA,NA,"TX_575/","TX_575",3,2,2,0,4,2,5,"TX_575",3,2,1,2,1,1,"TX_575",3,1,3,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"6","sliderTrial","html-slider-response",35,417780,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4773","[""SV_PolicingMSA/TX_576/IMG_10_576.jpg"",""SV_PolicingMSA/TX_576/IMG_0_576.jpg"",""SV_PolicingMSA/TX_576/IMG_7_576.jpg"",""SV_PolicingMSA/TX_576/IMG_6_576.jpg"",""SV_PolicingMSA/TX_576/IMG_5_576.jpg"",""SV_PolicingMSA/TX_576/IMG_13_576.jpg"",""SV_PolicingMSA/TX_576/IMG_1_576.jpg"",""SV_PolicingMSA/TX_576/IMG_11_576.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_576/","TX_576",2,2,2,2,2,1,3,"TX_576",2,2,2,2,2,2,"TX_576",2,2,2,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"7","sliderTrial","html-slider-response",36,420572,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2790","[""SV_PolicingMSA/TX_576/IMG_10_576.jpg"",""SV_PolicingMSA/TX_576/IMG_0_576.jpg"",""SV_PolicingMSA/TX_576/IMG_7_576.jpg"",""SV_PolicingMSA/TX_576/IMG_6_576.jpg"",""SV_PolicingMSA/TX_576/IMG_5_576.jpg"",""SV_PolicingMSA/TX_576/IMG_13_576.jpg"",""SV_PolicingMSA/TX_576/IMG_1_576.jpg"",""SV_PolicingMSA/TX_576/IMG_11_576.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_576/","TX_576",2,2,2,2,2,1,3,"TX_576",2,2,2,2,2,2,"TX_576",2,2,2,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"8","sliderTrial","html-slider-response",37,425796,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5222","[""SV_PolicingMSA/TX_576/IMG_10_576.jpg"",""SV_PolicingMSA/TX_576/IMG_0_576.jpg"",""SV_PolicingMSA/TX_576/IMG_7_576.jpg"",""SV_PolicingMSA/TX_576/IMG_6_576.jpg"",""SV_PolicingMSA/TX_576/IMG_5_576.jpg"",""SV_PolicingMSA/TX_576/IMG_13_576.jpg"",""SV_PolicingMSA/TX_576/IMG_1_576.jpg"",""SV_PolicingMSA/TX_576/IMG_11_576.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_576/","TX_576",2,2,2,2,2,1,3,"TX_576",2,2,2,2,2,2,"TX_576",2,2,2,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"9","sliderTrial","html-slider-response",38,427613,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1813","[""SV_PolicingMSA/TX_576/IMG_10_576.jpg"",""SV_PolicingMSA/TX_576/IMG_0_576.jpg"",""SV_PolicingMSA/TX_576/IMG_7_576.jpg"",""SV_PolicingMSA/TX_576/IMG_6_576.jpg"",""SV_PolicingMSA/TX_576/IMG_5_576.jpg"",""SV_PolicingMSA/TX_576/IMG_13_576.jpg"",""SV_PolicingMSA/TX_576/IMG_1_576.jpg"",""SV_PolicingMSA/TX_576/IMG_11_576.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",4,NA,NA,"TX_576/","TX_576",2,2,2,2,2,1,3,"TX_576",2,2,2,2,2,2,"TX_576",2,2,2,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
"10","sliderTrial","html-slider-response",39,429572,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a9ef36db0d5f2be75e1c",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1958","[""SV_PolicingMSA/TX_576/IMG_10_576.jpg"",""SV_PolicingMSA/TX_576/IMG_0_576.jpg"",""SV_PolicingMSA/TX_576/IMG_7_576.jpg"",""SV_PolicingMSA/TX_576/IMG_6_576.jpg"",""SV_PolicingMSA/TX_576/IMG_5_576.jpg"",""SV_PolicingMSA/TX_576/IMG_13_576.jpg"",""SV_PolicingMSA/TX_576/IMG_1_576.jpg"",""SV_PolicingMSA/TX_576/IMG_11_576.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",4,NA,NA,"TX_576/","TX_576",2,2,2,2,2,1,3,"TX_576",2,2,2,2,2,2,"TX_576",2,2,2,1,1,2,2,"61","male","man","","20852","The cops were pretty much the same. Two persons smiling and not smiling."
