"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,173056,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15179","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",7,NA,NA,"MO_628/","MO_628",3,1,2,4,4,2,5,"MO_628",3,3,3,3,2,1,"MO_628",3,1,4,3,2,2,1,"65","female","woman","","78244",""
"2","sliderTrial","html-slider-response",19,182035,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8978","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",1,NA,NA,"MO_628/","MO_628",3,1,2,4,4,2,5,"MO_628",3,3,3,3,2,1,"MO_628",3,1,4,3,2,2,1,"65","female","woman","","78244",""
"3","sliderTrial","html-slider-response",20,188818,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6781","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",7,NA,NA,"MO_628/","MO_628",3,1,2,4,4,2,5,"MO_628",3,3,3,3,2,1,"MO_628",3,1,4,3,2,2,1,"65","female","woman","","78244",""
"4","sliderTrial","html-slider-response",21,196152,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7333","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",7,NA,NA,"MO_628/","MO_628",3,1,2,4,4,2,5,"MO_628",3,3,3,3,2,1,"MO_628",3,1,4,3,2,2,1,"65","female","woman","","78244",""
"5","sliderTrial","html-slider-response",22,199372,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3219","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",7,NA,NA,"MO_628/","MO_628",3,1,2,4,4,2,5,"MO_628",3,3,3,3,2,1,"MO_628",3,1,4,3,2,2,1,"65","female","woman","","78244",""
"6","sliderTrial","html-slider-response",35,275004,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6394","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",7,NA,NA,"MO_982/","MO_982",2,1,2,3,4,2,3,"MO_982",2,2,1,2,2,2,"MO_982",2,2,3,4,2,3,3,"65","female","woman","","78244",""
"7","sliderTrial","html-slider-response",36,279788,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4783","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",3,NA,NA,"MO_982/","MO_982",2,1,2,3,4,2,3,"MO_982",2,2,1,2,2,2,"MO_982",2,2,3,4,2,3,3,"65","female","woman","","78244",""
"8","sliderTrial","html-slider-response",37,282626,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2837","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",3,NA,NA,"MO_982/","MO_982",2,1,2,3,4,2,3,"MO_982",2,2,1,2,2,2,"MO_982",2,2,3,4,2,3,3,"65","female","woman","","78244",""
"9","sliderTrial","html-slider-response",38,286560,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3933","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",3,NA,NA,"MO_982/","MO_982",2,1,2,3,4,2,3,"MO_982",2,2,1,2,2,2,"MO_982",2,2,3,4,2,3,3,"65","female","woman","","78244",""
"10","sliderTrial","html-slider-response",39,289578,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568a9f37ea0b5e4d8b4ca44",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3017","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",3,NA,NA,"MO_982/","MO_982",2,1,2,3,4,2,3,"MO_982",2,2,1,2,2,2,"MO_982",2,2,3,4,2,3,3,"65","female","woman","","78244",""
