"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,122892,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16849","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",4,NA,NA,"CA_6489","CA_6489",2,3,4,4,2,2,3,"CA_6489",2,1,1,1,3,3,"CA_6489",2,3,1,3,3,3,3,"51","male","man","","21222","No"
"2","sliderTrial","html-slider-response",19,129305,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6412","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",4,NA,NA,"CA_6489","CA_6489",2,3,4,4,2,2,3,"CA_6489",2,1,1,1,3,3,"CA_6489",2,3,1,3,3,3,3,"51","male","man","","21222","No"
"3","sliderTrial","html-slider-response",20,130511,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1204","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",4,NA,NA,"CA_6489","CA_6489",2,3,4,4,2,2,3,"CA_6489",2,1,1,1,3,3,"CA_6489",2,3,1,3,3,3,3,"51","male","man","","21222","No"
"4","sliderTrial","html-slider-response",21,135019,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4507","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",4,NA,NA,"CA_6489","CA_6489",2,3,4,4,2,2,3,"CA_6489",2,1,1,1,3,3,"CA_6489",2,3,1,3,3,3,3,"51","male","man","","21222","No"
"5","sliderTrial","html-slider-response",22,136451,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1431","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",4,NA,NA,"CA_6489","CA_6489",2,3,4,4,2,2,3,"CA_6489",2,1,1,1,3,3,"CA_6489",2,3,1,3,3,3,3,"51","male","man","","21222","No"
"6","sliderTrial","html-slider-response",35,181224,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3386","[""SV_PolicingMSA/CA_5812/IMG_7_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_2_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_1_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_4_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_5_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_9_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_14_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_11_5812.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",4,NA,NA,"CA_5812","CA_5812",3,1,2,2,2,2,5,"CA_5812",3,2,2,2,2,2,"CA_5812",3,2,2,2,2,2,2,"51","male","man","","21222","No"
"7","sliderTrial","html-slider-response",36,183684,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2459","[""SV_PolicingMSA/CA_5812/IMG_7_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_2_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_1_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_4_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_5_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_9_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_14_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_11_5812.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",4,NA,NA,"CA_5812","CA_5812",3,1,2,2,2,2,5,"CA_5812",3,2,2,2,2,2,"CA_5812",3,2,2,2,2,2,2,"51","male","man","","21222","No"
"8","sliderTrial","html-slider-response",37,187157,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3472","[""SV_PolicingMSA/CA_5812/IMG_7_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_2_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_1_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_4_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_5_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_9_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_14_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_11_5812.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",4,NA,NA,"CA_5812","CA_5812",3,1,2,2,2,2,5,"CA_5812",3,2,2,2,2,2,"CA_5812",3,2,2,2,2,2,2,"51","male","man","","21222","No"
"9","sliderTrial","html-slider-response",38,187950,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"793","[""SV_PolicingMSA/CA_5812/IMG_7_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_2_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_1_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_4_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_5_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_9_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_14_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_11_5812.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",4,NA,NA,"CA_5812","CA_5812",3,1,2,2,2,2,5,"CA_5812",3,2,2,2,2,2,"CA_5812",3,2,2,2,2,2,2,"51","male","man","","21222","No"
"10","sliderTrial","html-slider-response",39,188683,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa21965e65deb9e70d5c",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"731","[""SV_PolicingMSA/CA_5812/IMG_7_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_2_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_1_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_4_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_5_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_9_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_14_5812.jpg"",""SV_PolicingMSA/CA_5812/IMG_11_5812.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",4,NA,NA,"CA_5812","CA_5812",3,1,2,2,2,2,5,"CA_5812",3,2,2,2,2,2,"CA_5812",3,2,2,2,2,2,2,"51","male","man","","21222","No"
