"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,210253,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26077","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",3,NA,NA,"CA_6489","CA_6489",2,2,3,0,1,1,3,"CA_6489",2,1,1,0,3,3,"CA_6489",2,0,2,4,0,3,3,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"2","sliderTrial","html-slider-response",19,218127,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7871","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_6489","CA_6489",2,2,3,0,1,1,3,"CA_6489",2,1,1,0,3,3,"CA_6489",2,0,2,4,0,3,3,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"3","sliderTrial","html-slider-response",20,222095,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3966","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_6489","CA_6489",2,2,3,0,1,1,3,"CA_6489",2,1,1,0,3,3,"CA_6489",2,0,2,4,0,3,3,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"4","sliderTrial","html-slider-response",21,224735,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2638","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_6489","CA_6489",2,2,3,0,1,1,3,"CA_6489",2,1,1,0,3,3,"CA_6489",2,0,2,4,0,3,3,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"5","sliderTrial","html-slider-response",22,227445,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2708","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_6489","CA_6489",2,2,3,0,1,1,3,"CA_6489",2,1,1,0,3,3,"CA_6489",2,0,2,4,0,3,3,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"6","sliderTrial","html-slider-response",35,337847,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11784","[""SV_PolicingMSA/CA_3402/IMG_4_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_1_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_5_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_0_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_14_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_7_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_12_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_10_3402.jpg""]","6",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",2,NA,NA,"CA_3402","CA_3402",3,2,3,0,1,2,5,"CA_3402",3,2,2,1,2,2,"CA_3402",3,1,2,2,0,2,2,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"7","sliderTrial","html-slider-response",36,341641,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3792","[""SV_PolicingMSA/CA_3402/IMG_4_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_1_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_5_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_0_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_14_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_7_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_12_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_10_3402.jpg""]","2",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",2,NA,NA,"CA_3402","CA_3402",3,2,3,0,1,2,5,"CA_3402",3,2,2,1,2,2,"CA_3402",3,1,2,2,0,2,2,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"8","sliderTrial","html-slider-response",37,344541,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2898","[""SV_PolicingMSA/CA_3402/IMG_4_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_1_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_5_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_0_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_14_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_7_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_12_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_10_3402.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_3402","CA_3402",3,2,3,0,1,2,5,"CA_3402",3,2,2,1,2,2,"CA_3402",3,1,2,2,0,2,2,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"9","sliderTrial","html-slider-response",38,347140,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2598","[""SV_PolicingMSA/CA_3402/IMG_4_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_1_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_5_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_0_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_14_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_7_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_12_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_10_3402.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",3,NA,NA,"CA_3402","CA_3402",3,2,3,0,1,2,5,"CA_3402",3,2,2,1,2,2,"CA_3402",3,1,2,2,0,2,2,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
"10","sliderTrial","html-slider-response",39,350283,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa238fb544e29e95386f",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3140","[""SV_PolicingMSA/CA_3402/IMG_4_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_1_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_5_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_0_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_14_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_7_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_12_3402.jpg"",""SV_PolicingMSA/CA_3402/IMG_10_3402.jpg""]","6",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",2,NA,NA,"CA_3402","CA_3402",3,2,3,0,1,2,5,"CA_3402",3,2,2,1,2,2,"CA_3402",3,1,2,2,0,2,2,"32","female","woman","","48817","I wouldn't walk alone at night anywhere because it is not safe for women (to explain why I only chose that answer for every one). I also think the police should be abolished, so I generally tried to choose the nicer looking one."
