"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,190993,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18292","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,2,3,1,3,3,8,"CO_572",5,1,2,1,2,2,"CO_572",5,2,1,3,2,3,1,"45","female","woman","","31419",""
"2","sliderTrial","html-slider-response",19,200095,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9099","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,2,3,1,3,3,8,"CO_572",5,1,2,1,2,2,"CO_572",5,2,1,3,2,3,1,"45","female","woman","","31419",""
"3","sliderTrial","html-slider-response",20,205031,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4933","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,2,3,1,3,3,8,"CO_572",5,1,2,1,2,2,"CO_572",5,2,1,3,2,3,1,"45","female","woman","","31419",""
"4","sliderTrial","html-slider-response",21,208064,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3027","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,2,3,1,3,3,8,"CO_572",5,1,2,1,2,2,"CO_572",5,2,1,3,2,3,1,"45","female","woman","","31419",""
"5","sliderTrial","html-slider-response",22,211506,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3439","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,2,3,1,3,3,8,"CO_572",5,1,2,1,2,2,"CO_572",5,2,1,3,2,3,1,"45","female","woman","","31419",""
"6","sliderTrial","html-slider-response",35,288303,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3241","[""SV_PolicingMSA/CO_543/IMG_10_543.jpg"",""SV_PolicingMSA/CO_543/IMG_6_543.jpg"",""SV_PolicingMSA/CO_543/IMG_14_543.jpg"",""SV_PolicingMSA/CO_543/IMG_0_543.jpg"",""SV_PolicingMSA/CO_543/IMG_5_543.jpg"",""SV_PolicingMSA/CO_543/IMG_9_543.jpg"",""SV_PolicingMSA/CO_543/IMG_1_543.jpg"",""SV_PolicingMSA/CO_543/IMG_13_543.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_543/","CO_543",2,1,2,1,3,3,3,"CO_543",2,2,2,2,2,1,"CO_543",2,1,2,2,1,2,1,"45","female","woman","","31419",""
"7","sliderTrial","html-slider-response",36,290418,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2109","[""SV_PolicingMSA/CO_543/IMG_10_543.jpg"",""SV_PolicingMSA/CO_543/IMG_6_543.jpg"",""SV_PolicingMSA/CO_543/IMG_14_543.jpg"",""SV_PolicingMSA/CO_543/IMG_0_543.jpg"",""SV_PolicingMSA/CO_543/IMG_5_543.jpg"",""SV_PolicingMSA/CO_543/IMG_9_543.jpg"",""SV_PolicingMSA/CO_543/IMG_1_543.jpg"",""SV_PolicingMSA/CO_543/IMG_13_543.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_543/","CO_543",2,1,2,1,3,3,3,"CO_543",2,2,2,2,2,1,"CO_543",2,1,2,2,1,2,1,"45","female","woman","","31419",""
"8","sliderTrial","html-slider-response",37,291882,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1461","[""SV_PolicingMSA/CO_543/IMG_10_543.jpg"",""SV_PolicingMSA/CO_543/IMG_6_543.jpg"",""SV_PolicingMSA/CO_543/IMG_14_543.jpg"",""SV_PolicingMSA/CO_543/IMG_0_543.jpg"",""SV_PolicingMSA/CO_543/IMG_5_543.jpg"",""SV_PolicingMSA/CO_543/IMG_9_543.jpg"",""SV_PolicingMSA/CO_543/IMG_1_543.jpg"",""SV_PolicingMSA/CO_543/IMG_13_543.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_543/","CO_543",2,1,2,1,3,3,3,"CO_543",2,2,2,2,2,1,"CO_543",2,1,2,2,1,2,1,"45","female","woman","","31419",""
"9","sliderTrial","html-slider-response",38,293588,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1699","[""SV_PolicingMSA/CO_543/IMG_10_543.jpg"",""SV_PolicingMSA/CO_543/IMG_6_543.jpg"",""SV_PolicingMSA/CO_543/IMG_14_543.jpg"",""SV_PolicingMSA/CO_543/IMG_0_543.jpg"",""SV_PolicingMSA/CO_543/IMG_5_543.jpg"",""SV_PolicingMSA/CO_543/IMG_9_543.jpg"",""SV_PolicingMSA/CO_543/IMG_1_543.jpg"",""SV_PolicingMSA/CO_543/IMG_13_543.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_543/","CO_543",2,1,2,1,3,3,3,"CO_543",2,2,2,2,2,1,"CO_543",2,1,2,2,1,2,1,"45","female","woman","","31419",""
"10","sliderTrial","html-slider-response",39,294923,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa3357a0ddeca59c067b",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1333","[""SV_PolicingMSA/CO_543/IMG_10_543.jpg"",""SV_PolicingMSA/CO_543/IMG_6_543.jpg"",""SV_PolicingMSA/CO_543/IMG_14_543.jpg"",""SV_PolicingMSA/CO_543/IMG_0_543.jpg"",""SV_PolicingMSA/CO_543/IMG_5_543.jpg"",""SV_PolicingMSA/CO_543/IMG_9_543.jpg"",""SV_PolicingMSA/CO_543/IMG_1_543.jpg"",""SV_PolicingMSA/CO_543/IMG_13_543.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",4,NA,NA,"CO_543/","CO_543",2,1,2,1,3,3,3,"CO_543",2,2,2,2,2,1,"CO_543",2,1,2,2,1,2,1,"45","female","woman","","31419",""
