"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","correct","standardized_response","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial_attention","html-slider-response",18,126702,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",TRUE,NA,NA,"CO_252/","CO_252",0,1,1,2,2,1,1,"CO_252",0,2,3,2,2,2,"CO_252",0,1,3,1,0,1,1,"51","male","man","","80634",""
"2","sliderTrial","html-slider-response",19,140077,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13370","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",NA,4,NA,"CO_252/","CO_252",0,1,1,2,2,1,1,"CO_252",0,2,3,2,2,2,"CO_252",0,1,3,1,0,1,1,"51","male","man","","80634",""
"3","sliderTrial","html-slider-response",20,152443,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12365","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",NA,4,NA,"CO_252/","CO_252",0,1,1,2,2,1,1,"CO_252",0,2,3,2,2,2,"CO_252",0,1,3,1,0,1,1,"51","male","man","","80634",""
"4","sliderTrial","html-slider-response",21,156482,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4039","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]",NA,4,NA,"CO_252/","CO_252",0,1,1,2,2,1,1,"CO_252",0,2,3,2,2,2,"CO_252",0,1,3,1,0,1,1,"51","male","man","","80634",""
"5","sliderTrial","html-slider-response",22,158331,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1847","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",NA,4,NA,"CO_252/","CO_252",0,1,1,2,2,1,1,"CO_252",0,2,3,2,2,2,"CO_252",0,1,3,1,0,1,1,"51","male","man","","80634",""
"6","sliderTrial","html-slider-response",23,164217,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5884","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",NA,4,NA,"CO_252/","CO_252",0,1,1,2,2,1,1,"CO_252",0,2,3,2,2,2,"CO_252",0,1,3,1,0,1,1,"51","male","man","","80634",""
"7","sliderTrial","html-slider-response",36,230978,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6182","[""SV_PolicingMSA/CO_674/IMG_8_674.jpg"",""SV_PolicingMSA/CO_674/IMG_4_674.jpg"",""SV_PolicingMSA/CO_674/IMG_13_674.jpg"",""SV_PolicingMSA/CO_674/IMG_7_674.jpg"",""SV_PolicingMSA/CO_674/IMG_0_674.jpg"",""SV_PolicingMSA/CO_674/IMG_2_674.jpg"",""SV_PolicingMSA/CO_674/IMG_10_674.jpg"",""SV_PolicingMSA/CO_674/IMG_14_674.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",NA,3,NA,"CO_674/","CO_674",4,3,3,3,3,3,7,"CO_674",4,1,1,1,3,2,"CO_674",4,3,1,3,2,2,3,"51","male","man","","80634",""
"8","sliderTrial","html-slider-response",37,235393,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4414","[""SV_PolicingMSA/CO_674/IMG_8_674.jpg"",""SV_PolicingMSA/CO_674/IMG_4_674.jpg"",""SV_PolicingMSA/CO_674/IMG_13_674.jpg"",""SV_PolicingMSA/CO_674/IMG_7_674.jpg"",""SV_PolicingMSA/CO_674/IMG_0_674.jpg"",""SV_PolicingMSA/CO_674/IMG_2_674.jpg"",""SV_PolicingMSA/CO_674/IMG_10_674.jpg"",""SV_PolicingMSA/CO_674/IMG_14_674.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",NA,3,NA,"CO_674/","CO_674",4,3,3,3,3,3,7,"CO_674",4,1,1,1,3,2,"CO_674",4,3,1,3,2,2,3,"51","male","man","","80634",""
"9","sliderTrial","html-slider-response",38,238521,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3127","[""SV_PolicingMSA/CO_674/IMG_8_674.jpg"",""SV_PolicingMSA/CO_674/IMG_4_674.jpg"",""SV_PolicingMSA/CO_674/IMG_13_674.jpg"",""SV_PolicingMSA/CO_674/IMG_7_674.jpg"",""SV_PolicingMSA/CO_674/IMG_0_674.jpg"",""SV_PolicingMSA/CO_674/IMG_2_674.jpg"",""SV_PolicingMSA/CO_674/IMG_10_674.jpg"",""SV_PolicingMSA/CO_674/IMG_14_674.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",NA,3,NA,"CO_674/","CO_674",4,3,3,3,3,3,7,"CO_674",4,1,1,1,3,2,"CO_674",4,3,1,3,2,2,3,"51","male","man","","80634",""
"10","sliderTrial","html-slider-response",39,241890,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa415bf7d1b82e42e951",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3367","[""SV_PolicingMSA/CO_674/IMG_8_674.jpg"",""SV_PolicingMSA/CO_674/IMG_4_674.jpg"",""SV_PolicingMSA/CO_674/IMG_13_674.jpg"",""SV_PolicingMSA/CO_674/IMG_7_674.jpg"",""SV_PolicingMSA/CO_674/IMG_0_674.jpg"",""SV_PolicingMSA/CO_674/IMG_2_674.jpg"",""SV_PolicingMSA/CO_674/IMG_10_674.jpg"",""SV_PolicingMSA/CO_674/IMG_14_674.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",NA,3,NA,"CO_674/","CO_674",4,3,3,3,3,3,7,"CO_674",4,1,1,1,3,2,"CO_674",4,3,1,3,2,2,3,"51","male","man","","80634",""
