"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,136255,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16213","[""SV_PolicingMSA/MI_2578/IMG_12_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_1_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_4_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_9_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_0_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_7_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_6_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_11_2578.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",5,NA,NA,"MI_2578","MI_2578",2,2,3,4,4,1,3,"MI_2578",2,1,1,2,2,2,"MI_2578",2,2,2,2,2,2,2,"69","male","man","","10123",""
"2","sliderTrial","html-slider-response",19,139967,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3710","[""SV_PolicingMSA/MI_2578/IMG_12_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_1_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_4_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_9_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_0_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_7_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_6_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_11_2578.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_2578","MI_2578",2,2,3,4,4,1,3,"MI_2578",2,1,1,2,2,2,"MI_2578",2,2,2,2,2,2,2,"69","male","man","","10123",""
"3","sliderTrial","html-slider-response",20,142269,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2300","[""SV_PolicingMSA/MI_2578/IMG_12_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_1_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_4_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_9_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_0_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_7_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_6_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_11_2578.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_2578","MI_2578",2,2,3,4,4,1,3,"MI_2578",2,1,1,2,2,2,"MI_2578",2,2,2,2,2,2,2,"69","male","man","","10123",""
"4","sliderTrial","html-slider-response",21,144925,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2654","[""SV_PolicingMSA/MI_2578/IMG_12_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_1_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_4_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_9_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_0_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_7_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_6_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_11_2578.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",3,NA,NA,"MI_2578","MI_2578",2,2,3,4,4,1,3,"MI_2578",2,1,1,2,2,2,"MI_2578",2,2,2,2,2,2,2,"69","male","man","","10123",""
"5","sliderTrial","html-slider-response",22,148016,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3090","[""SV_PolicingMSA/MI_2578/IMG_12_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_1_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_4_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_9_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_0_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_7_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_6_2578.jpg"",""SV_PolicingMSA/MI_2578/IMG_11_2578.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_2578","MI_2578",2,2,3,4,4,1,3,"MI_2578",2,1,1,2,2,2,"MI_2578",2,2,2,2,2,2,2,"69","male","man","","10123",""
"6","sliderTrial","html-slider-response",35,194058,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3906","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",3,NA,NA,"MI_1804","MI_1804",0,2,2,2,2,1,1,"MI_1804",0,1,1,1,2,2,"MI_1804",0,2,2,2,2,2,2,"69","male","man","","10123",""
"7","sliderTrial","html-slider-response",36,196519,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2459","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_1804","MI_1804",0,2,2,2,2,1,1,"MI_1804",0,1,1,1,2,2,"MI_1804",0,2,2,2,2,2,2,"69","male","man","","10123",""
"8","sliderTrial_attention","html-slider-response",37,206532,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"MI_1804","MI_1804",0,2,2,2,2,1,1,"MI_1804",0,1,1,1,2,2,"MI_1804",0,2,2,2,2,2,2,"69","male","man","","10123",""
"9","sliderTrial","html-slider-response",38,209743,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3201","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",3,NA,NA,"MI_1804","MI_1804",0,2,2,2,2,1,1,"MI_1804",0,1,1,1,2,2,"MI_1804",0,2,2,2,2,2,2,"69","male","man","","10123",""
"10","sliderTrial","html-slider-response",39,214264,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa5f8a9a75b2b442982a",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4520","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",3,NA,NA,"MI_1804","MI_1804",0,2,2,2,2,1,1,"MI_1804",0,1,1,1,2,2,"MI_1804",0,2,2,2,2,2,2,"69","male","man","","10123",""
