"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,857279,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2934","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",3,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,2,2,2,2,2,"NV_173",3,2,2,2,2,2,2,"56","male","man","","20149",""
"2","sliderTrial","html-slider-response",19,859619,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2338","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",4,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,2,2,2,2,2,"NV_173",3,2,2,2,2,2,2,"56","male","man","","20149",""
"3","sliderTrial","html-slider-response",20,860842,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1221","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",4,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,2,2,2,2,2,"NV_173",3,2,2,2,2,2,2,"56","male","man","","20149",""
"4","sliderTrial","html-slider-response",21,862342,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1499","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",4,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,2,2,2,2,2,"NV_173",3,2,2,2,2,2,2,"56","male","man","","20149",""
"5","sliderTrial","html-slider-response",22,863227,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"883","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",4,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,2,2,2,2,2,"NV_173",3,2,2,2,2,2,2,"56","male","man","","20149",""
"6","sliderTrial_attention","html-slider-response",35,899538,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"NV_0/IM","NV_0IM",0,2,2,2,2,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,2,2,2,2,2,2,"56","male","man","","20149",""
"7","sliderTrial","html-slider-response",36,901837,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2293","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",4,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,2,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,2,2,2,2,2,2,"56","male","man","","20149",""
"8","sliderTrial","html-slider-response",37,902407,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"568","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",4,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,2,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,2,2,2,2,2,2,"56","male","man","","20149",""
"9","sliderTrial","html-slider-response",38,903082,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"673","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png""]",4,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,2,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,2,2,2,2,2,2,"56","male","man","","20149",""
"10","sliderTrial","html-slider-response",39,903532,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa600592cb173acc433c",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"448","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",4,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,2,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,2,2,2,2,2,2,"56","male","man","","20149",""
