"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,1230161,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1358","[""SV_PolicingMSA/LA_547/IMG_13_547.jpg"",""SV_PolicingMSA/LA_547/IMG_6_547.jpg"",""SV_PolicingMSA/LA_547/IMG_2_547.jpg"",""SV_PolicingMSA/LA_547/IMG_3_547.jpg"",""SV_PolicingMSA/LA_547/IMG_12_547.jpg"",""SV_PolicingMSA/LA_547/IMG_1_547.jpg"",""SV_PolicingMSA/LA_547/IMG_14_547.jpg"",""SV_PolicingMSA/LA_547/IMG_10_547.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_547/","LA_547",2,3,3,3,3,3,3,"LA_547",2,3,3,3,3,3,"LA_547",2,3,3,3,3,3,3,"56","male","man","","20149",""
"2","sliderTrial","html-slider-response",19,1230828,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"665","[""SV_PolicingMSA/LA_547/IMG_13_547.jpg"",""SV_PolicingMSA/LA_547/IMG_6_547.jpg"",""SV_PolicingMSA/LA_547/IMG_2_547.jpg"",""SV_PolicingMSA/LA_547/IMG_3_547.jpg"",""SV_PolicingMSA/LA_547/IMG_12_547.jpg"",""SV_PolicingMSA/LA_547/IMG_1_547.jpg"",""SV_PolicingMSA/LA_547/IMG_14_547.jpg"",""SV_PolicingMSA/LA_547/IMG_10_547.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_547/","LA_547",2,3,3,3,3,3,3,"LA_547",2,3,3,3,3,3,"LA_547",2,3,3,3,3,3,3,"56","male","man","","20149",""
"3","sliderTrial","html-slider-response",20,1231391,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"561","[""SV_PolicingMSA/LA_547/IMG_13_547.jpg"",""SV_PolicingMSA/LA_547/IMG_6_547.jpg"",""SV_PolicingMSA/LA_547/IMG_2_547.jpg"",""SV_PolicingMSA/LA_547/IMG_3_547.jpg"",""SV_PolicingMSA/LA_547/IMG_12_547.jpg"",""SV_PolicingMSA/LA_547/IMG_1_547.jpg"",""SV_PolicingMSA/LA_547/IMG_14_547.jpg"",""SV_PolicingMSA/LA_547/IMG_10_547.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_547/","LA_547",2,3,3,3,3,3,3,"LA_547",2,3,3,3,3,3,"LA_547",2,3,3,3,3,3,3,"56","male","man","","20149",""
"4","sliderTrial","html-slider-response",21,1231968,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"576","[""SV_PolicingMSA/LA_547/IMG_13_547.jpg"",""SV_PolicingMSA/LA_547/IMG_6_547.jpg"",""SV_PolicingMSA/LA_547/IMG_2_547.jpg"",""SV_PolicingMSA/LA_547/IMG_3_547.jpg"",""SV_PolicingMSA/LA_547/IMG_12_547.jpg"",""SV_PolicingMSA/LA_547/IMG_1_547.jpg"",""SV_PolicingMSA/LA_547/IMG_14_547.jpg"",""SV_PolicingMSA/LA_547/IMG_10_547.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_547/","LA_547",2,3,3,3,3,3,3,"LA_547",2,3,3,3,3,3,"LA_547",2,3,3,3,3,3,3,"56","male","man","","20149",""
"5","sliderTrial","html-slider-response",22,1232546,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"576","[""SV_PolicingMSA/LA_547/IMG_13_547.jpg"",""SV_PolicingMSA/LA_547/IMG_6_547.jpg"",""SV_PolicingMSA/LA_547/IMG_2_547.jpg"",""SV_PolicingMSA/LA_547/IMG_3_547.jpg"",""SV_PolicingMSA/LA_547/IMG_12_547.jpg"",""SV_PolicingMSA/LA_547/IMG_1_547.jpg"",""SV_PolicingMSA/LA_547/IMG_14_547.jpg"",""SV_PolicingMSA/LA_547/IMG_10_547.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_547/","LA_547",2,3,3,3,3,3,3,"LA_547",2,3,3,3,3,3,"LA_547",2,3,3,3,3,3,3,"56","male","man","","20149",""
"6","sliderTrial","html-slider-response",35,1259128,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1310","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,3,3,3,3,3,1,"LA_55I",0,3,3,3,3,3,"LA_55I",0,3,3,3,3,3,3,"56","male","man","","20149",""
"7","sliderTrial","html-slider-response",36,1259900,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"770","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,3,3,3,3,3,1,"LA_55I",0,3,3,3,3,3,"LA_55I",0,3,3,3,3,3,3,"56","male","man","","20149",""
"8","sliderTrial","html-slider-response",37,1260875,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"973","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,3,3,3,3,3,1,"LA_55I",0,3,3,3,3,3,"LA_55I",0,3,3,3,3,3,3,"56","male","man","","20149",""
"9","sliderTrial_attention","html-slider-response",38,1270883,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"LA_55/I","LA_55I",0,3,3,3,3,3,1,"LA_55I",0,3,3,3,3,3,"LA_55I",0,3,3,3,3,3,3,"56","male","man","","20149",""
"10","sliderTrial","html-slider-response",39,1272066,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa625c255e39d98f4e99",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1177","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,3,3,3,3,3,1,"LA_55I",0,3,3,3,3,3,"LA_55I",0,3,3,3,3,3,3,"56","male","man","","20149",""
