"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,1004552,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1308","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",4,NA,NA,"NY_2731","NY_2731",3,3,3,3,3,3,5,"NY_2731",3,3,3,3,3,3,"NY_2731",3,3,3,3,3,3,3,"24","male","man","","20149",""
"2","sliderTrial","html-slider-response",19,1005421,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"868","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_2731","NY_2731",3,3,3,3,3,3,5,"NY_2731",3,3,3,3,3,3,"NY_2731",3,3,3,3,3,3,3,"24","male","man","","20149",""
"3","sliderTrial","html-slider-response",20,1006127,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"704","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_2731","NY_2731",3,3,3,3,3,3,5,"NY_2731",3,3,3,3,3,3,"NY_2731",3,3,3,3,3,3,3,"24","male","man","","20149",""
"4","sliderTrial","html-slider-response",21,1006854,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"726","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_2731","NY_2731",3,3,3,3,3,3,5,"NY_2731",3,3,3,3,3,3,"NY_2731",3,3,3,3,3,3,3,"24","male","man","","20149",""
"5","sliderTrial","html-slider-response",22,1008632,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1775","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_2731","NY_2731",3,3,3,3,3,3,5,"NY_2731",3,3,3,3,3,3,"NY_2731",3,3,3,3,3,3,3,"24","male","man","","20149",""
"6","sliderTrial","html-slider-response",35,1288540,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1148","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",4,NA,NA,"NY_4752","NY_4752",5,3,3,3,3,3,8,"NY_4752",5,3,3,3,3,3,"NY_4752",5,3,3,3,3,3,3,"24","male","man","","20149",""
"7","sliderTrial","html-slider-response",36,1289368,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"826","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_4752","NY_4752",5,3,3,3,3,3,8,"NY_4752",5,3,3,3,3,3,"NY_4752",5,3,3,3,3,3,3,"24","male","man","","20149",""
"8","sliderTrial","html-slider-response",37,1290304,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"934","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_4752","NY_4752",5,3,3,3,3,3,8,"NY_4752",5,3,3,3,3,3,"NY_4752",5,3,3,3,3,3,3,"24","male","man","","20149",""
"9","sliderTrial","html-slider-response",38,1291001,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"695","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_4752","NY_4752",5,3,3,3,3,3,8,"NY_4752",5,3,3,3,3,3,"NY_4752",5,3,3,3,3,3,3,"24","male","man","","20149",""
"10","sliderTrial","html-slider-response",39,1291728,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa63267e0448c2576f49",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"726","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_4752","NY_4752",5,3,3,3,3,3,8,"NY_4752",5,3,3,3,3,3,"NY_4752",5,3,3,3,3,3,3,"24","male","man","","20149",""
