"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,1465122,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10011","[""SV_PolicingMSA/NJ_545/IMG_8_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_11_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_7_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_3_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_4_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_10_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_6_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_13_545.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",4,NA,NA,"NJ_545/","NJ_545",3,3,3,3,3,3,5,"NJ_545",3,3,3,3,3,3,"NJ_545",3,3,3,3,3,3,3,"63","female","woman","","20149",""
"2","sliderTrial","html-slider-response",19,1466119,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"995","[""SV_PolicingMSA/NJ_545/IMG_8_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_11_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_7_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_3_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_4_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_10_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_6_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_13_545.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_545/","NJ_545",3,3,3,3,3,3,5,"NJ_545",3,3,3,3,3,3,"NJ_545",3,3,3,3,3,3,3,"63","female","woman","","20149",""
"3","sliderTrial","html-slider-response",20,1467267,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1144","[""SV_PolicingMSA/NJ_545/IMG_8_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_11_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_7_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_3_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_4_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_10_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_6_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_13_545.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_545/","NJ_545",3,3,3,3,3,3,5,"NJ_545",3,3,3,3,3,3,"NJ_545",3,3,3,3,3,3,3,"63","female","woman","","20149",""
"4","sliderTrial","html-slider-response",21,1468190,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"921","[""SV_PolicingMSA/NJ_545/IMG_8_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_11_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_7_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_3_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_4_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_10_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_6_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_13_545.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_545/","NJ_545",3,3,3,3,3,3,5,"NJ_545",3,3,3,3,3,3,"NJ_545",3,3,3,3,3,3,3,"63","female","woman","","20149",""
"5","sliderTrial","html-slider-response",22,1468932,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"740","[""SV_PolicingMSA/NJ_545/IMG_8_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_11_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_7_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_3_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_4_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_10_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_6_545.jpg"",""SV_PolicingMSA/NJ_545/IMG_13_545.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_545/","NJ_545",3,3,3,3,3,3,5,"NJ_545",3,3,3,3,3,3,"NJ_545",3,3,3,3,3,3,3,"63","female","woman","","20149",""
"6","sliderTrial","html-slider-response",35,1840541,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1779","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]",4,NA,NA,"NJ_880/","NJ_880",2,3,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,3,"63","female","woman","","20149",""
"7","sliderTrial","html-slider-response",36,1841508,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"965","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_880/","NJ_880",2,3,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,3,"63","female","woman","","20149",""
"8","sliderTrial","html-slider-response",37,1842890,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1380","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_880/","NJ_880",2,3,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,3,"63","female","woman","","20149",""
"9","sliderTrial","html-slider-response",38,1843850,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"959","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_880/","NJ_880",2,3,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,3,"63","female","woman","","20149",""
"10","sliderTrial","html-slider-response",39,1844712,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa66b70ee7409297124d",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"859","[""SV_PolicingMSA/NJ_880/IMG_14_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_11_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_12_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_7_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_9_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_13_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_1_880.jpg"",""SV_PolicingMSA/NJ_880/IMG_6_880.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",4,NA,NA,"NJ_880/","NJ_880",2,3,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,"NJ_880",2,3,3,3,3,3,3,"63","female","woman","","20149",""
