"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,149700,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16465","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",1,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,1,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,1,1,1,1,1,1,"57","female","woman","","53511","good survey"
"2","sliderTrial_attention","html-slider-response",19,159704,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"NV_0/IM","NV_0IM",0,2,2,2,1,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,1,1,1,1,1,1,"57","female","woman","","53511","good survey"
"3","sliderTrial","html-slider-response",20,170652,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10944","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]",4,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,1,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,1,1,1,1,1,1,"57","female","woman","","53511","good survey"
"4","sliderTrial","html-slider-response",21,180700,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10047","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",1,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,1,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,1,1,1,1,1,1,"57","female","woman","","53511","good survey"
"5","sliderTrial","html-slider-response",22,188643,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7942","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",4,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,1,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,1,1,1,1,1,1,"57","female","woman","","53511","good survey"
"6","sliderTrial","html-slider-response",23,197820,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9175","[""SV_PolicingMSA/NV_0/IMG_5_0.jpg"",""SV_PolicingMSA/NV_0/IMG_0_0.jpg"",""SV_PolicingMSA/NV_0/IMG_4_0.jpg"",""SV_PolicingMSA/NV_0/IMG_12_0.jpg"",""SV_PolicingMSA/NV_0/IMG_13_0.jpg"",""SV_PolicingMSA/NV_0/IMG_7_0.jpg"",""SV_PolicingMSA/NV_0/IMG_11_0.jpg"",""SV_PolicingMSA/NV_0/IMG_14_0.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",4,NA,NA,"NV_0/IM","NV_0IM",0,2,2,2,1,2,1,"NV_0IM",0,2,2,2,2,2,"NV_0IM",0,1,1,1,1,1,1,"57","female","woman","","53511","good survey"
"7","sliderTrial","html-slider-response",36,253876,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6847","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",1,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,1,1,2,2,2,"NV_173",3,2,1,2,2,2,2,"57","female","woman","","53511","good survey"
"8","sliderTrial","html-slider-response",37,262491,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8614","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","2",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",2,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,1,1,2,2,2,"NV_173",3,2,1,2,2,2,2,"57","female","woman","","53511","good survey"
"9","sliderTrial","html-slider-response",38,265861,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3368","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",1,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,1,1,2,2,2,"NV_173",3,2,1,2,2,2,2,"57","female","woman","","53511","good survey"
"10","sliderTrial","html-slider-response",39,269148,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568aa79b4e3de66108f4dda",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3286","[""SV_PolicingMSA/NV_173/IMG_7_173.jpg"",""SV_PolicingMSA/NV_173/IMG_4_173.jpg"",""SV_PolicingMSA/NV_173/IMG_6_173.jpg"",""SV_PolicingMSA/NV_173/IMG_14_173.jpg"",""SV_PolicingMSA/NV_173/IMG_10_173.jpg"",""SV_PolicingMSA/NV_173/IMG_8_173.jpg"",""SV_PolicingMSA/NV_173/IMG_13_173.jpg"",""SV_PolicingMSA/NV_173/IMG_0_173.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",1,NA,NA,"NV_173/","NV_173",3,2,2,2,2,2,5,"NV_173",3,1,1,2,2,2,"NV_173",3,2,1,2,2,2,2,"57","female","woman","","53511","good survey"
