"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,237803,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29586","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]",4,NA,NA,"MA_157/","MA_157",3,2,3,4,3,2,5,"MA_157",3,2,2,2,1,1,"MA_157",3,2,1,1,2,3,2,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"2","sliderTrial","html-slider-response",19,252619,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14813","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_157/","MA_157",3,2,3,4,3,2,5,"MA_157",3,2,2,2,1,1,"MA_157",3,2,1,1,2,3,2,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"3","sliderTrial","html-slider-response",20,266123,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13502","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_157/","MA_157",3,2,3,4,3,2,5,"MA_157",3,2,2,2,1,1,"MA_157",3,2,1,1,2,3,2,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"4","sliderTrial","html-slider-response",21,274643,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8518","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_157/","MA_157",3,2,3,4,3,2,5,"MA_157",3,2,2,2,1,1,"MA_157",3,2,1,1,2,3,2,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"5","sliderTrial","html-slider-response",22,283691,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9046","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",4,NA,NA,"MA_157/","MA_157",3,2,3,4,3,2,5,"MA_157",3,2,2,2,1,1,"MA_157",3,2,1,1,2,3,2,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"6","sliderTrial","html-slider-response",35,463715,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7475","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",4,NA,NA,"MA_659/","MA_659",5,1,2,1,2,2,8,"MA_659",5,2,2,2,1,1,"MA_659",5,2,2,1,1,1,1,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"7","sliderTrial","html-slider-response",36,476411,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12694","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",4,NA,NA,"MA_659/","MA_659",5,1,2,1,2,2,8,"MA_659",5,2,2,2,1,1,"MA_659",5,2,2,1,1,1,1,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"8","sliderTrial","html-slider-response",37,479939,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3526","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",4,NA,NA,"MA_659/","MA_659",5,1,2,1,2,2,8,"MA_659",5,2,2,2,1,1,"MA_659",5,2,2,1,1,1,1,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"9","sliderTrial","html-slider-response",38,484387,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4446","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",4,NA,NA,"MA_659/","MA_659",5,1,2,1,2,2,8,"MA_659",5,2,2,2,1,1,"MA_659",5,2,2,1,1,1,1,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
"10","sliderTrial","html-slider-response",39,486067,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ab2eca3c84188715f776",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1678","[""SV_PolicingMSA/MA_659/IMG_12_659.jpg"",""SV_PolicingMSA/MA_659/IMG_4_659.jpg"",""SV_PolicingMSA/MA_659/IMG_11_659.jpg"",""SV_PolicingMSA/MA_659/IMG_3_659.jpg"",""SV_PolicingMSA/MA_659/IMG_14_659.jpg"",""SV_PolicingMSA/MA_659/IMG_0_659.jpg"",""SV_PolicingMSA/MA_659/IMG_1_659.jpg"",""SV_PolicingMSA/MA_659/IMG_13_659.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",4,NA,NA,"MA_659/","MA_659",5,1,2,1,2,2,8,"MA_659",5,2,2,2,1,1,"MA_659",5,2,2,1,1,1,1,"51","not-to-say","nonbinary","nonbinary or genderqueer","30021",""
