"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,197265,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28694","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","3",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_854/","MA_854",1,1,2,3,2,1,2,"MA_854",1,3,3,2,1,1,"MA_854",1,0,4,1,0,2,1,"63","female","woman","","85390",""
"2","sliderTrial","html-slider-response",19,205275,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8009","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","3",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_854/","MA_854",1,1,2,3,2,1,2,"MA_854",1,3,3,2,1,1,"MA_854",1,0,4,1,0,2,1,"63","female","woman","","85390",""
"3","sliderTrial","html-slider-response",20,211611,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6335","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","5",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",3,NA,NA,"MA_854/","MA_854",1,1,2,3,2,1,2,"MA_854",1,3,3,2,1,1,"MA_854",1,0,4,1,0,2,1,"63","female","woman","","85390",""
"4","sliderTrial_attention","html-slider-response",21,221615,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","null",NA,NA,NA,NA,NA,1,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"MA_854/","MA_854",1,1,2,3,2,1,2,"MA_854",1,3,3,2,1,1,"MA_854",1,0,4,1,0,2,1,"63","female","woman","","85390",""
"5","sliderTrial","html-slider-response",22,229435,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7818","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","5",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",3,NA,NA,"MA_854/","MA_854",1,1,2,3,2,1,2,"MA_854",1,3,3,2,1,1,"MA_854",1,0,4,1,0,2,1,"63","female","woman","","85390",""
"6","sliderTrial","html-slider-response",23,239518,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10081","[""SV_PolicingMSA/MA_854/IMG_11_854.jpg"",""SV_PolicingMSA/MA_854/IMG_7_854.jpg"",""SV_PolicingMSA/MA_854/IMG_13_854.jpg"",""SV_PolicingMSA/MA_854/IMG_12_854.jpg"",""SV_PolicingMSA/MA_854/IMG_0_854.jpg"",""SV_PolicingMSA/MA_854/IMG_10_854.jpg"",""SV_PolicingMSA/MA_854/IMG_3_854.jpg"",""SV_PolicingMSA/MA_854/IMG_5_854.jpg""]","3",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_854/","MA_854",1,1,2,3,2,1,2,"MA_854",1,3,3,2,1,1,"MA_854",1,0,4,1,0,2,1,"63","female","woman","","85390",""
"7","sliderTrial","html-slider-response",36,345258,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24667","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","2",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",2,NA,NA,"MA_159/","MA_159",4,3,4,4,4,1,7,"MA_159",4,0,0,1,3,3,"MA_159",4,4,0,4,3,4,4,"63","female","woman","","85390",""
"8","sliderTrial","html-slider-response",37,348304,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3044","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","6",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",2,NA,NA,"MA_159/","MA_159",4,3,4,4,4,1,7,"MA_159",4,0,0,1,3,3,"MA_159",4,4,0,4,3,4,4,"63","female","woman","","85390",""
"9","sliderTrial","html-slider-response",38,352078,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3773","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","6",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",2,NA,NA,"MA_159/","MA_159",4,3,4,4,4,1,7,"MA_159",4,0,0,1,3,3,"MA_159",4,4,0,4,3,4,4,"63","female","woman","","85390",""
"10","sliderTrial","html-slider-response",39,356346,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ac0f9026038c0df229eb",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4266","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","6",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",2,NA,NA,"MA_159/","MA_159",4,3,4,4,4,1,7,"MA_159",4,0,0,1,3,3,"MA_159",4,4,0,4,3,4,4,"63","female","woman","","85390",""
