"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,113796,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3537","[""SV_PolicingMSA/CA_2011/IMG_0_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_1_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_6_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_14_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_9_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_13_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_11_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_5_2011.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",2,NA,NA,"CA_2011","CA_2011",2,2,2,2,2,2,3,"CA_2011",2,1,1,1,2,2,"CA_2011",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"2","sliderTrial","html-slider-response",19,116861,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3062","[""SV_PolicingMSA/CA_2011/IMG_0_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_1_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_6_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_14_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_9_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_13_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_11_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_5_2011.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",2,NA,NA,"CA_2011","CA_2011",2,2,2,2,2,2,3,"CA_2011",2,1,1,1,2,2,"CA_2011",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"3","sliderTrial","html-slider-response",20,120445,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3582","[""SV_PolicingMSA/CA_2011/IMG_0_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_1_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_6_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_14_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_9_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_13_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_11_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_5_2011.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",1,NA,NA,"CA_2011","CA_2011",2,2,2,2,2,2,3,"CA_2011",2,1,1,1,2,2,"CA_2011",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"4","sliderTrial","html-slider-response",21,124143,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3695","[""SV_PolicingMSA/CA_2011/IMG_0_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_1_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_6_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_14_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_9_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_13_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_11_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_5_2011.jpg""]","2",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",2,NA,NA,"CA_2011","CA_2011",2,2,2,2,2,2,3,"CA_2011",2,1,1,1,2,2,"CA_2011",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"5","sliderTrial","html-slider-response",22,127211,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3066","[""SV_PolicingMSA/CA_2011/IMG_0_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_1_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_6_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_14_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_9_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_13_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_11_2011.jpg"",""SV_PolicingMSA/CA_2011/IMG_5_2011.jpg""]","2",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",2,NA,NA,"CA_2011","CA_2011",2,2,2,2,2,2,3,"CA_2011",2,1,1,1,2,2,"CA_2011",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"6","sliderTrial","html-slider-response",35,197523,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5290","[""SV_PolicingMSA/CA_2537/IMG_10_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_4_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_9_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_8_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_6_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_7_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_12_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_2_2537.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",1,NA,NA,"CA_2537","CA_2537",2,1,2,2,2,2,4,"CA_2537",2,1,1,1,2,2,"CA_2537",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"7","sliderTrial","html-slider-response",36,202124,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4599","[""SV_PolicingMSA/CA_2537/IMG_10_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_4_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_9_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_8_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_6_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_7_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_12_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_2_2537.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",1,NA,NA,"CA_2537","CA_2537",2,1,2,2,2,2,4,"CA_2537",2,1,1,1,2,2,"CA_2537",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"8","sliderTrial","html-slider-response",37,205393,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3267","[""SV_PolicingMSA/CA_2537/IMG_10_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_4_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_9_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_8_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_6_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_7_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_12_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_2_2537.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",1,NA,NA,"CA_2537","CA_2537",2,1,2,2,2,2,4,"CA_2537",2,1,1,1,2,2,"CA_2537",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"9","sliderTrial","html-slider-response",38,210324,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4929","[""SV_PolicingMSA/CA_2537/IMG_10_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_4_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_9_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_8_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_6_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_7_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_12_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_2_2537.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",1,NA,NA,"CA_2537","CA_2537",2,1,2,2,2,2,4,"CA_2537",2,1,1,1,2,2,"CA_2537",2,2,1,2,2,2,2,"30","male","man","","80910","none"
"10","sliderTrial","html-slider-response",39,214189,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ac32da819028e0decbaa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3863","[""SV_PolicingMSA/CA_2537/IMG_10_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_4_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_9_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_8_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_6_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_7_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_12_2537.jpg"",""SV_PolicingMSA/CA_2537/IMG_2_2537.jpg""]","2",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",2,NA,NA,"CA_2537","CA_2537",2,1,2,2,2,2,4,"CA_2537",2,1,1,1,2,2,"CA_2537",2,2,1,2,2,2,2,"30","male","man","","80910","none"
