"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,432214,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","7",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",1,NA,NA,"CO_368/","CO_368",1,4,4,3,3,3,2,"CO_368",1,0,0,0,2,2,"CO_368",1,4,0,3,3,3,3,"45","male","man","","35824","I really enjoyed the study."
"2","sliderTrial","html-slider-response",19,443078,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10862","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","1",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",1,NA,NA,"CO_368/","CO_368",1,4,4,3,3,3,2,"CO_368",1,0,0,0,2,2,"CO_368",1,4,0,3,3,3,3,"45","male","man","","35824","I really enjoyed the study."
"3","sliderTrial","html-slider-response",20,453998,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10920","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","7",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",1,NA,NA,"CO_368/","CO_368",1,4,4,3,3,3,2,"CO_368",1,0,0,0,2,2,"CO_368",1,4,0,3,3,3,3,"45","male","man","","35824","I really enjoyed the study."
"4","sliderTrial","html-slider-response",21,464862,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10862","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","1",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",1,NA,NA,"CO_368/","CO_368",1,4,4,3,3,3,2,"CO_368",1,0,0,0,2,2,"CO_368",1,4,0,3,3,3,3,"45","male","man","","35824","I really enjoyed the study."
"5","sliderTrial_attention","html-slider-response",22,474874,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","null",NA,NA,NA,NA,NA,1,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"CO_368/","CO_368",1,4,4,3,3,3,2,"CO_368",1,0,0,0,2,2,"CO_368",1,4,0,3,3,3,3,"45","male","man","","35824","I really enjoyed the study."
"6","sliderTrial","html-slider-response",23,529094,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54217","[""SV_PolicingMSA/CO_368/IMG_4_368.jpg"",""SV_PolicingMSA/CO_368/IMG_7_368.jpg"",""SV_PolicingMSA/CO_368/IMG_6_368.jpg"",""SV_PolicingMSA/CO_368/IMG_1_368.jpg"",""SV_PolicingMSA/CO_368/IMG_10_368.jpg"",""SV_PolicingMSA/CO_368/IMG_9_368.jpg"",""SV_PolicingMSA/CO_368/IMG_2_368.jpg"",""SV_PolicingMSA/CO_368/IMG_11_368.jpg""]","7",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",1,NA,NA,"CO_368/","CO_368",1,4,4,3,3,3,2,"CO_368",1,0,0,0,2,2,"CO_368",1,4,0,3,3,3,3,"45","male","man","","35824","I really enjoyed the study."
"7","sliderTrial","html-slider-response",36,584446,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9410","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",1,NA,NA,"CO_252/","CO_252",0,4,4,4,4,4,1,"CO_252",0,0,0,0,4,4,"CO_252",0,4,0,4,4,4,4,"45","male","man","","35824","I really enjoyed the study."
"8","sliderTrial","html-slider-response",37,591933,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7487","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",1,NA,NA,"CO_252/","CO_252",0,4,4,4,4,4,1,"CO_252",0,0,0,0,4,4,"CO_252",0,4,0,4,4,4,4,"45","male","man","","35824","I really enjoyed the study."
"9","sliderTrial","html-slider-response",38,595990,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4056","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",1,NA,NA,"CO_252/","CO_252",0,4,4,4,4,4,1,"CO_252",0,0,0,0,4,4,"CO_252",0,4,0,4,4,4,4,"45","male","man","","35824","I really enjoyed the study."
"10","sliderTrial_attention","html-slider-response",39,606029,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ac6dbf6ee8b94a46066e",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/CO_252/IMG_14_252.jpg"",""SV_PolicingMSA/CO_252/IMG_3_252.jpg"",""SV_PolicingMSA/CO_252/IMG_11_252.jpg"",""SV_PolicingMSA/CO_252/IMG_6_252.jpg"",""SV_PolicingMSA/CO_252/IMG_0_252.jpg"",""SV_PolicingMSA/CO_252/IMG_8_252.jpg"",""SV_PolicingMSA/CO_252/IMG_7_252.jpg"",""SV_PolicingMSA/CO_252/IMG_12_252.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"CO_252/","CO_252",0,4,4,4,4,4,1,"CO_252",0,0,0,0,4,4,"CO_252",0,4,0,4,4,4,4,"45","male","man","","35824","I really enjoyed the study."
