"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,139710,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11920","[""SV_PolicingMSA/NY_3438/IMG_11_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_10_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_2_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_9_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_12_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_3_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_1_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_8_3438.jpg""]","2",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",2,NA,NA,"NY_3438","NY_3438",3,0,1,3,2,3,5,"NY_3438",3,3,3,3,0,1,"NY_3438",3,0,4,0,0,0,0,"35","male","man","","16148",""
"2","sliderTrial","html-slider-response",19,146165,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6454","[""SV_PolicingMSA/NY_3438/IMG_11_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_10_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_2_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_9_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_12_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_3_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_1_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_8_3438.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_3438","NY_3438",3,0,1,3,2,3,5,"NY_3438",3,3,3,3,0,1,"NY_3438",3,0,4,0,0,0,0,"35","male","man","","16148",""
"3","sliderTrial","html-slider-response",20,148915,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2750","[""SV_PolicingMSA/NY_3438/IMG_11_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_10_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_2_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_9_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_12_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_3_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_1_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_8_3438.jpg""]","6",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",2,NA,NA,"NY_3438","NY_3438",3,0,1,3,2,3,5,"NY_3438",3,3,3,3,0,1,"NY_3438",3,0,4,0,0,0,0,"35","male","man","","16148",""
"4","sliderTrial","html-slider-response",21,155059,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6142","[""SV_PolicingMSA/NY_3438/IMG_11_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_10_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_2_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_9_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_12_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_3_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_1_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_8_3438.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",4,NA,NA,"NY_3438","NY_3438",3,0,1,3,2,3,5,"NY_3438",3,3,3,3,0,1,"NY_3438",3,0,4,0,0,0,0,"35","male","man","","16148",""
"5","sliderTrial","html-slider-response",22,158075,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3015","[""SV_PolicingMSA/NY_3438/IMG_11_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_10_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_2_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_9_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_12_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_3_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_1_3438.jpg"",""SV_PolicingMSA/NY_3438/IMG_8_3438.jpg""]","2",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",2,NA,NA,"NY_3438","NY_3438",3,0,1,3,2,3,5,"NY_3438",3,3,3,3,0,1,"NY_3438",3,0,4,0,0,0,0,"35","male","man","","16148",""
"6","sliderTrial","html-slider-response",35,210980,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4220","[""SV_PolicingMSA/NY_1585/IMG_1_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_12_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_14_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_0_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_6_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_13_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_11_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_5_1585.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_1585","NY_1585",0,2,3,3,2,1,1,"NY_1585",0,1,1,0,3,2,"NY_1585",0,3,0,3,2,3,2,"35","male","man","","16148",""
"7","sliderTrial","html-slider-response",36,214058,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3078","[""SV_PolicingMSA/NY_1585/IMG_1_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_12_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_14_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_0_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_6_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_13_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_11_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_5_1585.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_1585","NY_1585",0,2,3,3,2,1,1,"NY_1585",0,1,1,0,3,2,"NY_1585",0,3,0,3,2,3,2,"35","male","man","","16148",""
"8","sliderTrial","html-slider-response",37,218758,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4699","[""SV_PolicingMSA/NY_1585/IMG_1_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_12_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_14_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_0_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_6_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_13_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_11_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_5_1585.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",3,NA,NA,"NY_1585","NY_1585",0,2,3,3,2,1,1,"NY_1585",0,1,1,0,3,2,"NY_1585",0,3,0,3,2,3,2,"35","male","man","","16148",""
"9","sliderTrial_attention","html-slider-response",38,229199,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/NY_1585/IMG_1_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_12_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_14_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_0_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_6_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_13_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_11_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_5_1585.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"NY_1585","NY_1585",0,2,3,3,2,1,1,"NY_1585",0,1,1,0,3,2,"NY_1585",0,3,0,3,2,3,2,"35","male","man","","16148",""
"10","sliderTrial","html-slider-response",39,232468,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ac7cab2ff39f3b46ba54",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3269","[""SV_PolicingMSA/NY_1585/IMG_1_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_12_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_14_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_0_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_6_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_13_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_11_1585.jpg"",""SV_PolicingMSA/NY_1585/IMG_5_1585.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_1585","NY_1585",0,2,3,3,2,1,1,"NY_1585",0,1,1,0,3,2,"NY_1585",0,3,0,3,2,3,2,"35","male","man","","16148",""
