"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,119249,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11705","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",4,NA,NA,"NV_84/I","NV_84I",2,1,3,4,4,1,3,"NV_84I",2,2,2,2,2,2,"NV_84I",2,1,1,4,2,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"2","sliderTrial","html-slider-response",19,123168,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3914","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",2,NA,NA,"NV_84/I","NV_84I",2,1,3,4,4,1,3,"NV_84I",2,2,2,2,2,2,"NV_84I",2,1,1,4,2,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"3","sliderTrial","html-slider-response",20,126272,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3100","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",3,NA,NA,"NV_84/I","NV_84I",2,1,3,4,4,1,3,"NV_84I",2,2,2,2,2,2,"NV_84I",2,1,1,4,2,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"4","sliderTrial","html-slider-response",21,129232,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2956","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",2,NA,NA,"NV_84/I","NV_84I",2,1,3,4,4,1,3,"NV_84I",2,2,2,2,2,2,"NV_84I",2,1,1,4,2,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"5","sliderTrial","html-slider-response",22,132254,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3019","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",1,NA,NA,"NV_84/I","NV_84I",2,1,3,4,4,1,3,"NV_84I",2,2,2,2,2,2,"NV_84I",2,1,1,4,2,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"6","sliderTrial","html-slider-response",35,188073,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3194","[""SV_PolicingMSA/NV_673/IMG_5_673.jpg"",""SV_PolicingMSA/NV_673/IMG_1_673.jpg"",""SV_PolicingMSA/NV_673/IMG_12_673.jpg"",""SV_PolicingMSA/NV_673/IMG_7_673.jpg"",""SV_PolicingMSA/NV_673/IMG_13_673.jpg"",""SV_PolicingMSA/NV_673/IMG_8_673.jpg"",""SV_PolicingMSA/NV_673/IMG_4_673.jpg"",""SV_PolicingMSA/NV_673/IMG_14_673.jpg""]","6",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",2,NA,NA,"NV_673/","NV_673",5,3,3,3,4,2,8,"NV_673",5,2,2,1,3,3,"NV_673",5,3,1,4,3,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"7","sliderTrial","html-slider-response",36,190712,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2636","[""SV_PolicingMSA/NV_673/IMG_5_673.jpg"",""SV_PolicingMSA/NV_673/IMG_1_673.jpg"",""SV_PolicingMSA/NV_673/IMG_12_673.jpg"",""SV_PolicingMSA/NV_673/IMG_7_673.jpg"",""SV_PolicingMSA/NV_673/IMG_13_673.jpg"",""SV_PolicingMSA/NV_673/IMG_8_673.jpg"",""SV_PolicingMSA/NV_673/IMG_4_673.jpg"",""SV_PolicingMSA/NV_673/IMG_14_673.jpg""]","6",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",2,NA,NA,"NV_673/","NV_673",5,3,3,3,4,2,8,"NV_673",5,2,2,1,3,3,"NV_673",5,3,1,4,3,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"8","sliderTrial","html-slider-response",37,193719,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3003","[""SV_PolicingMSA/NV_673/IMG_5_673.jpg"",""SV_PolicingMSA/NV_673/IMG_1_673.jpg"",""SV_PolicingMSA/NV_673/IMG_12_673.jpg"",""SV_PolicingMSA/NV_673/IMG_7_673.jpg"",""SV_PolicingMSA/NV_673/IMG_13_673.jpg"",""SV_PolicingMSA/NV_673/IMG_8_673.jpg"",""SV_PolicingMSA/NV_673/IMG_4_673.jpg"",""SV_PolicingMSA/NV_673/IMG_14_673.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",2,NA,NA,"NV_673/","NV_673",5,3,3,3,4,2,8,"NV_673",5,2,2,1,3,3,"NV_673",5,3,1,4,3,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"9","sliderTrial","html-slider-response",38,197136,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3413","[""SV_PolicingMSA/NV_673/IMG_5_673.jpg"",""SV_PolicingMSA/NV_673/IMG_1_673.jpg"",""SV_PolicingMSA/NV_673/IMG_12_673.jpg"",""SV_PolicingMSA/NV_673/IMG_7_673.jpg"",""SV_PolicingMSA/NV_673/IMG_13_673.jpg"",""SV_PolicingMSA/NV_673/IMG_8_673.jpg"",""SV_PolicingMSA/NV_673/IMG_4_673.jpg"",""SV_PolicingMSA/NV_673/IMG_14_673.jpg""]","1",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",1,NA,NA,"NV_673/","NV_673",5,3,3,3,4,2,8,"NV_673",5,2,2,1,3,3,"NV_673",5,3,1,4,3,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
"10","sliderTrial","html-slider-response",39,200191,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ace584f3834d41cc7b8a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3051","[""SV_PolicingMSA/NV_673/IMG_5_673.jpg"",""SV_PolicingMSA/NV_673/IMG_1_673.jpg"",""SV_PolicingMSA/NV_673/IMG_12_673.jpg"",""SV_PolicingMSA/NV_673/IMG_7_673.jpg"",""SV_PolicingMSA/NV_673/IMG_13_673.jpg"",""SV_PolicingMSA/NV_673/IMG_8_673.jpg"",""SV_PolicingMSA/NV_673/IMG_4_673.jpg"",""SV_PolicingMSA/NV_673/IMG_14_673.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]",2,NA,NA,"NV_673/","NV_673",5,3,3,3,4,2,8,"NV_673",5,2,2,1,3,3,"NV_673",5,3,1,4,3,4,4,"47","female","woman","","77088","It's sometimes hard to tell about certain aspects of an area and at other times, you can clearly see.  We also need to take pride in what we have and own instead of conforming to certain standards that seem to be the norm.  We work hard for what we have and it should show in how we take care of our homes and neighborhood."
