"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,760055,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8703","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","1",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_4752","NY_4752",5,0,1,2,1,3,8,"NY_4752",5,2,3,1,0,0,"NY_4752",5,0,0,0,0,0,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"2","sliderTrial","html-slider-response",19,765910,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5853","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",7,NA,NA,"NY_4752","NY_4752",5,0,1,2,1,3,8,"NY_4752",5,2,3,1,0,0,"NY_4752",5,0,0,0,0,0,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"3","sliderTrial","html-slider-response",20,774163,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8253","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",7,NA,NA,"NY_4752","NY_4752",5,0,1,2,1,3,8,"NY_4752",5,2,3,1,0,0,"NY_4752",5,0,0,0,0,0,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"4","sliderTrial","html-slider-response",21,820968,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46803","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","1",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",7,NA,NA,"NY_4752","NY_4752",5,0,1,2,1,3,8,"NY_4752",5,2,3,1,0,0,"NY_4752",5,0,0,0,0,0,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"5","sliderTrial","html-slider-response",22,823992,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3023","[""SV_PolicingMSA/NY_4752/IMG_2_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_7_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_12_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_4_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_9_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_6_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_3_4752.jpg"",""SV_PolicingMSA/NY_4752/IMG_0_4752.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",1,NA,NA,"NY_4752","NY_4752",5,0,1,2,1,3,8,"NY_4752",5,2,3,1,0,0,"NY_4752",5,0,0,0,0,0,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"6","sliderTrial","html-slider-response",35,1111081,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48716","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","6",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",2,NA,NA,"NJ_979/","NJ_979",0,1,3,2,1,2,1,"NJ_979",0,1,2,1,2,1,"NJ_979",0,1,4,0,0,1,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"7","sliderTrial","html-slider-response",36,1114922,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3839","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",3,NA,NA,"NJ_979/","NJ_979",0,1,3,2,1,2,1,"NJ_979",0,1,2,1,2,1,"NJ_979",0,1,4,0,0,1,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"8","sliderTrial_attention","html-slider-response",37,1124924,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"NJ_979/","NJ_979",0,1,3,2,1,2,1,"NJ_979",0,1,2,1,2,1,"NJ_979",0,1,4,0,0,1,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"9","sliderTrial","html-slider-response",38,1129643,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4718","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","6",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",2,NA,NA,"NJ_979/","NJ_979",0,1,3,2,1,2,1,"NJ_979",0,1,2,1,2,1,"NJ_979",0,1,4,0,0,1,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
"10","sliderTrial","html-slider-response",39,1132655,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568acec0fcec2bb6b9c0740",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3011","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","2",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",6,NA,NA,"NJ_979/","NJ_979",0,1,3,2,1,2,1,"NJ_979",0,1,2,1,2,1,"NJ_979",0,1,4,0,0,1,0,"36","male","man","","38122","yah i was having technical issues it even skipped a whole set of questions"
