"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,94906,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10430","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",5,NA,NA,"NJ_979/","NJ_979",0,1,2,2,2,3,1,"NJ_979",0,2,2,1,2,2,"NJ_979",0,0,3,0,0,2,2,"50","female","woman","","76115","thank you!"
"2","sliderTrial_attention","html-slider-response",19,104920,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"NJ_979/","NJ_979",0,1,2,2,2,3,1,"NJ_979",0,2,2,1,2,2,"NJ_979",0,0,3,0,0,2,2,"50","female","woman","","76115","thank you!"
"3","sliderTrial","html-slider-response",20,112403,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7480","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",5,NA,NA,"NJ_979/","NJ_979",0,1,2,2,2,3,1,"NJ_979",0,2,2,1,2,2,"NJ_979",0,0,3,0,0,2,2,"50","female","woman","","76115","thank you!"
"4","sliderTrial","html-slider-response",21,117933,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5529","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",5,NA,NA,"NJ_979/","NJ_979",0,1,2,2,2,3,1,"NJ_979",0,2,2,1,2,2,"NJ_979",0,0,3,0,0,2,2,"50","female","woman","","76115","thank you!"
"5","sliderTrial","html-slider-response",22,121179,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3244","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",5,NA,NA,"NJ_979/","NJ_979",0,1,2,2,2,3,1,"NJ_979",0,2,2,1,2,2,"NJ_979",0,0,3,0,0,2,2,"50","female","woman","","76115","thank you!"
"6","sliderTrial","html-slider-response",23,126200,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5019","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",5,NA,NA,"NJ_979/","NJ_979",0,1,2,2,2,3,1,"NJ_979",0,2,2,1,2,2,"NJ_979",0,0,3,0,0,2,2,"50","female","woman","","76115","thank you!"
"7","sliderTrial","html-slider-response",36,174706,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5856","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_1052","NJ_1052",3,3,3,3,3,2,5,"NJ_1052",3,1,1,1,3,3,"NJ_1052",3,3,1,3,2,3,3,"50","female","woman","","76115","thank you!"
"8","sliderTrial","html-slider-response",37,177663,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2956","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_1052","NJ_1052",3,3,3,3,3,2,5,"NJ_1052",3,1,1,1,3,3,"NJ_1052",3,3,1,3,2,3,3,"50","female","woman","","76115","thank you!"
"9","sliderTrial","html-slider-response",38,180341,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2676","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",3,NA,NA,"NJ_1052","NJ_1052",3,3,3,3,3,2,5,"NJ_1052",3,1,1,1,3,3,"NJ_1052",3,3,1,3,2,3,3,"50","female","woman","","76115","thank you!"
"10","sliderTrial","html-slider-response",39,183861,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568acf16915e4810e9b555f",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3519","[""SV_PolicingMSA/NJ_1052/IMG_10_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_13_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_5_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_11_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_12_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_4_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_3_1052.jpg"",""SV_PolicingMSA/NJ_1052/IMG_0_1052.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_1052","NJ_1052",3,3,3,3,3,2,5,"NJ_1052",3,1,1,1,3,3,"NJ_1052",3,3,1,3,2,3,3,"50","female","woman","","76115","thank you!"
