"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,235383,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25785","[""SV_PolicingMSA/NV_466/IMG_2_466.jpg"",""SV_PolicingMSA/NV_466/IMG_0_466.jpg"",""SV_PolicingMSA/NV_466/IMG_10_466.jpg"",""SV_PolicingMSA/NV_466/IMG_6_466.jpg"",""SV_PolicingMSA/NV_466/IMG_1_466.jpg"",""SV_PolicingMSA/NV_466/IMG_13_466.jpg"",""SV_PolicingMSA/NV_466/IMG_4_466.jpg"",""SV_PolicingMSA/NV_466/IMG_5_466.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",7,NA,NA,"NV_466/","NV_466",3,1,1,4,1,1,5,"NV_466",3,2,2,3,2,1,"NV_466",3,1,3,2,0,0,1,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"2","sliderTrial","html-slider-response",19,244002,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8616","[""SV_PolicingMSA/NV_466/IMG_2_466.jpg"",""SV_PolicingMSA/NV_466/IMG_0_466.jpg"",""SV_PolicingMSA/NV_466/IMG_10_466.jpg"",""SV_PolicingMSA/NV_466/IMG_6_466.jpg"",""SV_PolicingMSA/NV_466/IMG_1_466.jpg"",""SV_PolicingMSA/NV_466/IMG_13_466.jpg"",""SV_PolicingMSA/NV_466/IMG_4_466.jpg"",""SV_PolicingMSA/NV_466/IMG_5_466.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",7,NA,NA,"NV_466/","NV_466",3,1,1,4,1,1,5,"NV_466",3,2,2,3,2,1,"NV_466",3,1,3,2,0,0,1,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"3","sliderTrial","html-slider-response",20,253622,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9619","[""SV_PolicingMSA/NV_466/IMG_2_466.jpg"",""SV_PolicingMSA/NV_466/IMG_0_466.jpg"",""SV_PolicingMSA/NV_466/IMG_10_466.jpg"",""SV_PolicingMSA/NV_466/IMG_6_466.jpg"",""SV_PolicingMSA/NV_466/IMG_1_466.jpg"",""SV_PolicingMSA/NV_466/IMG_13_466.jpg"",""SV_PolicingMSA/NV_466/IMG_4_466.jpg"",""SV_PolicingMSA/NV_466/IMG_5_466.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",7,NA,NA,"NV_466/","NV_466",3,1,1,4,1,1,5,"NV_466",3,2,2,3,2,1,"NV_466",3,1,3,2,0,0,1,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"4","sliderTrial","html-slider-response",21,257783,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4159","[""SV_PolicingMSA/NV_466/IMG_2_466.jpg"",""SV_PolicingMSA/NV_466/IMG_0_466.jpg"",""SV_PolicingMSA/NV_466/IMG_10_466.jpg"",""SV_PolicingMSA/NV_466/IMG_6_466.jpg"",""SV_PolicingMSA/NV_466/IMG_1_466.jpg"",""SV_PolicingMSA/NV_466/IMG_13_466.jpg"",""SV_PolicingMSA/NV_466/IMG_4_466.jpg"",""SV_PolicingMSA/NV_466/IMG_5_466.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",7,NA,NA,"NV_466/","NV_466",3,1,1,4,1,1,5,"NV_466",3,2,2,3,2,1,"NV_466",3,1,3,2,0,0,1,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"5","sliderTrial","html-slider-response",22,261983,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4199","[""SV_PolicingMSA/NV_466/IMG_2_466.jpg"",""SV_PolicingMSA/NV_466/IMG_0_466.jpg"",""SV_PolicingMSA/NV_466/IMG_10_466.jpg"",""SV_PolicingMSA/NV_466/IMG_6_466.jpg"",""SV_PolicingMSA/NV_466/IMG_1_466.jpg"",""SV_PolicingMSA/NV_466/IMG_13_466.jpg"",""SV_PolicingMSA/NV_466/IMG_4_466.jpg"",""SV_PolicingMSA/NV_466/IMG_5_466.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",7,NA,NA,"NV_466/","NV_466",3,1,1,4,1,1,5,"NV_466",3,2,2,3,2,1,"NV_466",3,1,3,2,0,0,1,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"6","sliderTrial","html-slider-response",35,375958,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8327","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",1,NA,NA,"NV_84/I","NV_84I",2,1,3,4,2,3,3,"NV_84I",2,2,2,2,2,1,"NV_84I",2,2,2,3,0,0,2,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"7","sliderTrial","html-slider-response",36,379407,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3447","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",1,NA,NA,"NV_84/I","NV_84I",2,1,3,4,2,3,3,"NV_84I",2,2,2,2,2,1,"NV_84I",2,2,2,3,0,0,2,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"8","sliderTrial","html-slider-response",37,382543,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3136","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",1,NA,NA,"NV_84/I","NV_84I",2,1,3,4,2,3,3,"NV_84I",2,2,2,2,2,1,"NV_84I",2,2,2,3,0,0,2,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"9","sliderTrial","html-slider-response",38,386462,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3918","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",1,NA,NA,"NV_84/I","NV_84I",2,1,3,4,2,3,3,"NV_84I",2,2,2,2,2,1,"NV_84I",2,2,2,3,0,0,2,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
"10","sliderTrial","html-slider-response",39,390655,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ad05c66989571b2bc25a",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4190","[""SV_PolicingMSA/NV_84/IMG_4_84.jpg"",""SV_PolicingMSA/NV_84/IMG_8_84.jpg"",""SV_PolicingMSA/NV_84/IMG_5_84.jpg"",""SV_PolicingMSA/NV_84/IMG_14_84.jpg"",""SV_PolicingMSA/NV_84/IMG_11_84.jpg"",""SV_PolicingMSA/NV_84/IMG_0_84.jpg"",""SV_PolicingMSA/NV_84/IMG_3_84.jpg"",""SV_PolicingMSA/NV_84/IMG_6_84.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",1,NA,NA,"NV_84/I","NV_84I",2,1,3,4,2,3,3,"NV_84I",2,2,2,2,2,1,"NV_84I",2,2,2,3,0,0,2,"30","male","man","","01602","Thank you for the study, I answered honestly and to the best of my abilities."
