"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,87880,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11679","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,1,4,4,4,3,8,"CO_572",5,0,0,0,3,3,"CO_572",5,4,0,4,4,4,4,"49","female","woman","","48134",""
"2","sliderTrial","html-slider-response",19,94334,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6452","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,1,4,4,4,3,8,"CO_572",5,0,0,0,3,3,"CO_572",5,4,0,4,4,4,4,"49","female","woman","","48134",""
"3","sliderTrial","html-slider-response",20,97630,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3295","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,1,4,4,4,3,8,"CO_572",5,0,0,0,3,3,"CO_572",5,4,0,4,4,4,4,"49","female","woman","","48134",""
"4","sliderTrial","html-slider-response",21,100944,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3312","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,1,4,4,4,3,8,"CO_572",5,0,0,0,3,3,"CO_572",5,4,0,4,4,4,4,"49","female","woman","","48134",""
"5","sliderTrial","html-slider-response",22,105996,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5050","[""SV_PolicingMSA/CO_572/IMG_3_572.jpg"",""SV_PolicingMSA/CO_572/IMG_8_572.jpg"",""SV_PolicingMSA/CO_572/IMG_14_572.jpg"",""SV_PolicingMSA/CO_572/IMG_4_572.jpg"",""SV_PolicingMSA/CO_572/IMG_11_572.jpg"",""SV_PolicingMSA/CO_572/IMG_5_572.jpg"",""SV_PolicingMSA/CO_572/IMG_1_572.jpg"",""SV_PolicingMSA/CO_572/IMG_2_572.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_572/","CO_572",5,1,4,4,4,3,8,"CO_572",5,0,0,0,3,3,"CO_572",5,4,0,4,4,4,4,"49","female","woman","","48134",""
"6","sliderTrial","html-slider-response",35,158074,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3042","[""SV_PolicingMSA/CO_1325/IMG_13_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_5_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_3_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_9_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_14_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_11_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_1_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_8_1325.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",4,NA,NA,"CO_1325","CO_1325",3,2,4,1,4,3,5,"CO_1325",3,0,0,0,4,4,"CO_1325",3,3,0,4,4,4,4,"49","female","woman","","48134",""
"7","sliderTrial","html-slider-response",36,160874,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2798","[""SV_PolicingMSA/CO_1325/IMG_13_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_5_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_3_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_9_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_14_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_11_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_1_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_8_1325.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",4,NA,NA,"CO_1325","CO_1325",3,2,4,1,4,3,5,"CO_1325",3,0,0,0,4,4,"CO_1325",3,3,0,4,4,4,4,"49","female","woman","","48134",""
"8","sliderTrial","html-slider-response",37,163821,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2944","[""SV_PolicingMSA/CO_1325/IMG_13_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_5_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_3_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_9_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_14_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_11_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_1_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_8_1325.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",4,NA,NA,"CO_1325","CO_1325",3,2,4,1,4,3,5,"CO_1325",3,0,0,0,4,4,"CO_1325",3,3,0,4,4,4,4,"49","female","woman","","48134",""
"9","sliderTrial","html-slider-response",38,167025,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3203","[""SV_PolicingMSA/CO_1325/IMG_13_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_5_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_3_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_9_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_14_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_11_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_1_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_8_1325.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",4,NA,NA,"CO_1325","CO_1325",3,2,4,1,4,3,5,"CO_1325",3,0,0,0,4,4,"CO_1325",3,3,0,4,4,4,4,"49","female","woman","","48134",""
"10","sliderTrial","html-slider-response",39,171455,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ad1ef4db36474a5c1bf9",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4426","[""SV_PolicingMSA/CO_1325/IMG_13_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_5_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_3_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_9_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_14_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_11_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_1_1325.jpg"",""SV_PolicingMSA/CO_1325/IMG_8_1325.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",4,NA,NA,"CO_1325","CO_1325",3,2,4,1,4,3,5,"CO_1325",3,0,0,0,4,4,"CO_1325",3,3,0,4,4,4,4,"49","female","woman","","48134",""
