"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,104138,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18552","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","6",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]",6,NA,NA,"TX_109/","TX_109",3,1,1,0,2,1,5,"TX_109",3,3,3,4,0,0,"TX_109",3,0,4,1,0,0,0,"31","male","man","","22180",""
"2","sliderTrial","html-slider-response",19,119218,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15077","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","2",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",6,NA,NA,"TX_109/","TX_109",3,1,1,0,2,1,5,"TX_109",3,3,3,4,0,0,"TX_109",3,0,4,1,0,0,0,"31","male","man","","22180",""
"3","sliderTrial","html-slider-response",20,123295,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4074","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_109/","TX_109",3,1,1,0,2,1,5,"TX_109",3,3,3,4,0,0,"TX_109",3,0,4,1,0,0,0,"31","male","man","","22180",""
"4","sliderTrial","html-slider-response",21,125937,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2641","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_109/","TX_109",3,1,1,0,2,1,5,"TX_109",3,3,3,4,0,0,"TX_109",3,0,4,1,0,0,0,"31","male","man","","22180",""
"5","sliderTrial","html-slider-response",22,128012,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2073","[""SV_PolicingMSA/TX_109/IMG_7_109.jpg"",""SV_PolicingMSA/TX_109/IMG_3_109.jpg"",""SV_PolicingMSA/TX_109/IMG_10_109.jpg"",""SV_PolicingMSA/TX_109/IMG_0_109.jpg"",""SV_PolicingMSA/TX_109/IMG_4_109.jpg"",""SV_PolicingMSA/TX_109/IMG_13_109.jpg"",""SV_PolicingMSA/TX_109/IMG_6_109.jpg"",""SV_PolicingMSA/TX_109/IMG_14_109.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",4,NA,NA,"TX_109/","TX_109",3,1,1,0,2,1,5,"TX_109",3,3,3,4,0,0,"TX_109",3,0,4,1,0,0,0,"31","male","man","","22180",""
"6","sliderTrial","html-slider-response",35,184079,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4316","[""SV_PolicingMSA/TX_134/IMG_11_134.jpg"",""SV_PolicingMSA/TX_134/IMG_5_134.jpg"",""SV_PolicingMSA/TX_134/IMG_8_134.jpg"",""SV_PolicingMSA/TX_134/IMG_4_134.jpg"",""SV_PolicingMSA/TX_134/IMG_3_134.jpg"",""SV_PolicingMSA/TX_134/IMG_2_134.jpg"",""SV_PolicingMSA/TX_134/IMG_0_134.jpg"",""SV_PolicingMSA/TX_134/IMG_13_134.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",4,NA,NA,"TX_134/","TX_134",2,2,2,1,2,2,3,"TX_134",2,2,2,2,1,1,"TX_134",2,1,4,1,0,1,0,"31","male","man","","22180",""
"7","sliderTrial","html-slider-response",36,185594,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1513","[""SV_PolicingMSA/TX_134/IMG_11_134.jpg"",""SV_PolicingMSA/TX_134/IMG_5_134.jpg"",""SV_PolicingMSA/TX_134/IMG_8_134.jpg"",""SV_PolicingMSA/TX_134/IMG_4_134.jpg"",""SV_PolicingMSA/TX_134/IMG_3_134.jpg"",""SV_PolicingMSA/TX_134/IMG_2_134.jpg"",""SV_PolicingMSA/TX_134/IMG_0_134.jpg"",""SV_PolicingMSA/TX_134/IMG_13_134.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",4,NA,NA,"TX_134/","TX_134",2,2,2,1,2,2,3,"TX_134",2,2,2,2,1,1,"TX_134",2,1,4,1,0,1,0,"31","male","man","","22180",""
"8","sliderTrial","html-slider-response",37,186852,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1256","[""SV_PolicingMSA/TX_134/IMG_11_134.jpg"",""SV_PolicingMSA/TX_134/IMG_5_134.jpg"",""SV_PolicingMSA/TX_134/IMG_8_134.jpg"",""SV_PolicingMSA/TX_134/IMG_4_134.jpg"",""SV_PolicingMSA/TX_134/IMG_3_134.jpg"",""SV_PolicingMSA/TX_134/IMG_2_134.jpg"",""SV_PolicingMSA/TX_134/IMG_0_134.jpg"",""SV_PolicingMSA/TX_134/IMG_13_134.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",4,NA,NA,"TX_134/","TX_134",2,2,2,1,2,2,3,"TX_134",2,2,2,2,1,1,"TX_134",2,1,4,1,0,1,0,"31","male","man","","22180",""
"9","sliderTrial","html-slider-response",38,190595,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3741","[""SV_PolicingMSA/TX_134/IMG_11_134.jpg"",""SV_PolicingMSA/TX_134/IMG_5_134.jpg"",""SV_PolicingMSA/TX_134/IMG_8_134.jpg"",""SV_PolicingMSA/TX_134/IMG_4_134.jpg"",""SV_PolicingMSA/TX_134/IMG_3_134.jpg"",""SV_PolicingMSA/TX_134/IMG_2_134.jpg"",""SV_PolicingMSA/TX_134/IMG_0_134.jpg"",""SV_PolicingMSA/TX_134/IMG_13_134.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",2,NA,NA,"TX_134/","TX_134",2,2,2,1,2,2,3,"TX_134",2,2,2,2,1,1,"TX_134",2,1,4,1,0,1,0,"31","male","man","","22180",""
"10","sliderTrial","html-slider-response",39,194150,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ad6677e50c0d89c7a320",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3553","[""SV_PolicingMSA/TX_134/IMG_11_134.jpg"",""SV_PolicingMSA/TX_134/IMG_5_134.jpg"",""SV_PolicingMSA/TX_134/IMG_8_134.jpg"",""SV_PolicingMSA/TX_134/IMG_4_134.jpg"",""SV_PolicingMSA/TX_134/IMG_3_134.jpg"",""SV_PolicingMSA/TX_134/IMG_2_134.jpg"",""SV_PolicingMSA/TX_134/IMG_0_134.jpg"",""SV_PolicingMSA/TX_134/IMG_13_134.jpg""]","2",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",2,NA,NA,"TX_134/","TX_134",2,2,2,1,2,2,3,"TX_134",2,2,2,2,1,1,"TX_134",2,1,4,1,0,1,0,"31","male","man","","22180",""
