"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,120206,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7472","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",4,NA,NA,"MA_855/","MA_855",2,1,2,4,2,1,3,"MA_855",2,2,2,2,1,1,"MA_855",2,3,2,2,2,2,2,"33","male","man","","98503",""
"2","sliderTrial","html-slider-response",19,125292,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5083","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",4,NA,NA,"MA_855/","MA_855",2,1,2,4,2,1,3,"MA_855",2,2,2,2,1,1,"MA_855",2,3,2,2,2,2,2,"33","male","man","","98503",""
"3","sliderTrial","html-slider-response",20,128323,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3028","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",4,NA,NA,"MA_855/","MA_855",2,1,2,4,2,1,3,"MA_855",2,2,2,2,1,1,"MA_855",2,3,2,2,2,2,2,"33","male","man","","98503",""
"4","sliderTrial","html-slider-response",21,132411,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4085","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",2,NA,NA,"MA_855/","MA_855",2,1,2,4,2,1,3,"MA_855",2,2,2,2,1,1,"MA_855",2,3,2,2,2,2,2,"33","male","man","","98503",""
"5","sliderTrial","html-slider-response",22,135012,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2597","[""SV_PolicingMSA/MA_855/IMG_11_855.jpg"",""SV_PolicingMSA/MA_855/IMG_14_855.jpg"",""SV_PolicingMSA/MA_855/IMG_12_855.jpg"",""SV_PolicingMSA/MA_855/IMG_9_855.jpg"",""SV_PolicingMSA/MA_855/IMG_1_855.jpg"",""SV_PolicingMSA/MA_855/IMG_5_855.jpg"",""SV_PolicingMSA/MA_855/IMG_0_855.jpg"",""SV_PolicingMSA/MA_855/IMG_8_855.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",3,NA,NA,"MA_855/","MA_855",2,1,2,4,2,1,3,"MA_855",2,2,2,2,1,1,"MA_855",2,3,2,2,2,2,2,"33","male","man","","98503",""
"6","sliderTrial","html-slider-response",35,181526,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3575","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","6",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",2,NA,NA,"MA_157/","MA_157",3,1,2,2,2,1,5,"MA_157",3,2,2,2,2,1,"MA_157",3,2,2,2,2,2,2,"33","male","man","","98503",""
"7","sliderTrial","html-slider-response",36,183431,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1902","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",3,NA,NA,"MA_157/","MA_157",3,1,2,2,2,1,5,"MA_157",3,2,2,2,2,1,"MA_157",3,2,2,2,2,2,2,"33","male","man","","98503",""
"8","sliderTrial","html-slider-response",37,185233,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1799","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",3,NA,NA,"MA_157/","MA_157",3,1,2,2,2,1,5,"MA_157",3,2,2,2,2,1,"MA_157",3,2,2,2,2,2,2,"33","male","man","","98503",""
"9","sliderTrial","html-slider-response",38,187819,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2583","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","6",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]",2,NA,NA,"MA_157/","MA_157",3,1,2,2,2,1,5,"MA_157",3,2,2,2,2,1,"MA_157",3,2,2,2,2,2,2,"33","male","man","","98503",""
"10","sliderTrial","html-slider-response",39,189568,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ada07d6d1fdef115b01e",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1745","[""SV_PolicingMSA/MA_157/IMG_0_157.jpg"",""SV_PolicingMSA/MA_157/IMG_3_157.jpg"",""SV_PolicingMSA/MA_157/IMG_13_157.jpg"",""SV_PolicingMSA/MA_157/IMG_4_157.jpg"",""SV_PolicingMSA/MA_157/IMG_1_157.jpg"",""SV_PolicingMSA/MA_157/IMG_2_157.jpg"",""SV_PolicingMSA/MA_157/IMG_5_157.jpg"",""SV_PolicingMSA/MA_157/IMG_7_157.jpg""]","3",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_157/","MA_157",3,1,2,2,2,1,5,"MA_157",3,2,2,2,2,1,"MA_157",3,2,2,2,2,2,2,"33","male","man","","98503",""
