"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,79941,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4512","[""SV_PolicingMSA/LA_438/IMG_10_438.jpg"",""SV_PolicingMSA/LA_438/IMG_11_438.jpg"",""SV_PolicingMSA/LA_438/IMG_14_438.jpg"",""SV_PolicingMSA/LA_438/IMG_9_438.jpg"",""SV_PolicingMSA/LA_438/IMG_8_438.jpg"",""SV_PolicingMSA/LA_438/IMG_0_438.jpg"",""SV_PolicingMSA/LA_438/IMG_6_438.jpg"",""SV_PolicingMSA/LA_438/IMG_3_438.jpg""]","7",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",1,NA,NA,"LA_438/","LA_438",4,3,3,3,3,0,7,"LA_438",4,0,0,0,4,4,"LA_438",4,3,1,2,2,2,3,"55","female","woman","","28262","No"
"2","sliderTrial","html-slider-response",19,85453,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5510","[""SV_PolicingMSA/LA_438/IMG_10_438.jpg"",""SV_PolicingMSA/LA_438/IMG_11_438.jpg"",""SV_PolicingMSA/LA_438/IMG_14_438.jpg"",""SV_PolicingMSA/LA_438/IMG_9_438.jpg"",""SV_PolicingMSA/LA_438/IMG_8_438.jpg"",""SV_PolicingMSA/LA_438/IMG_0_438.jpg"",""SV_PolicingMSA/LA_438/IMG_6_438.jpg"",""SV_PolicingMSA/LA_438/IMG_3_438.jpg""]","1",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",1,NA,NA,"LA_438/","LA_438",4,3,3,3,3,0,7,"LA_438",4,0,0,0,4,4,"LA_438",4,3,1,2,2,2,3,"55","female","woman","","28262","No"
"3","sliderTrial","html-slider-response",20,91539,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6084","[""SV_PolicingMSA/LA_438/IMG_10_438.jpg"",""SV_PolicingMSA/LA_438/IMG_11_438.jpg"",""SV_PolicingMSA/LA_438/IMG_14_438.jpg"",""SV_PolicingMSA/LA_438/IMG_9_438.jpg"",""SV_PolicingMSA/LA_438/IMG_8_438.jpg"",""SV_PolicingMSA/LA_438/IMG_0_438.jpg"",""SV_PolicingMSA/LA_438/IMG_6_438.jpg"",""SV_PolicingMSA/LA_438/IMG_3_438.jpg""]","1",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",1,NA,NA,"LA_438/","LA_438",4,3,3,3,3,0,7,"LA_438",4,0,0,0,4,4,"LA_438",4,3,1,2,2,2,3,"55","female","woman","","28262","No"
"4","sliderTrial","html-slider-response",21,97449,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5908","[""SV_PolicingMSA/LA_438/IMG_10_438.jpg"",""SV_PolicingMSA/LA_438/IMG_11_438.jpg"",""SV_PolicingMSA/LA_438/IMG_14_438.jpg"",""SV_PolicingMSA/LA_438/IMG_9_438.jpg"",""SV_PolicingMSA/LA_438/IMG_8_438.jpg"",""SV_PolicingMSA/LA_438/IMG_0_438.jpg"",""SV_PolicingMSA/LA_438/IMG_6_438.jpg"",""SV_PolicingMSA/LA_438/IMG_3_438.jpg""]","7",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",1,NA,NA,"LA_438/","LA_438",4,3,3,3,3,0,7,"LA_438",4,0,0,0,4,4,"LA_438",4,3,1,2,2,2,3,"55","female","woman","","28262","No"
"5","sliderTrial","html-slider-response",22,103160,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5708","[""SV_PolicingMSA/LA_438/IMG_10_438.jpg"",""SV_PolicingMSA/LA_438/IMG_11_438.jpg"",""SV_PolicingMSA/LA_438/IMG_14_438.jpg"",""SV_PolicingMSA/LA_438/IMG_9_438.jpg"",""SV_PolicingMSA/LA_438/IMG_8_438.jpg"",""SV_PolicingMSA/LA_438/IMG_0_438.jpg"",""SV_PolicingMSA/LA_438/IMG_6_438.jpg"",""SV_PolicingMSA/LA_438/IMG_3_438.jpg""]","1",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",1,NA,NA,"LA_438/","LA_438",4,3,3,3,3,0,7,"LA_438",4,0,0,0,4,4,"LA_438",4,3,1,2,2,2,3,"55","female","woman","","28262","No"
"6","sliderTrial","html-slider-response",35,147983,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3722","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",1,NA,NA,"LA_1076","LA_1076",5,2,2,2,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,0,4,0,0,0,0,"55","female","woman","","28262","No"
"7","sliderTrial","html-slider-response",36,152022,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4037","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",7,NA,NA,"LA_1076","LA_1076",5,2,2,2,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,0,4,0,0,0,0,"55","female","woman","","28262","No"
"8","sliderTrial","html-slider-response",37,152982,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"958","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_1076","LA_1076",5,2,2,2,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,0,4,0,0,0,0,"55","female","woman","","28262","No"
"9","sliderTrial","html-slider-response",38,157365,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4380","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","1",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",7,NA,NA,"LA_1076","LA_1076",5,2,2,2,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,0,4,0,0,0,0,"55","female","woman","","28262","No"
"10","sliderTrial","html-slider-response",39,161427,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568adac8141dc6f6d24e0d8",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4060","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","1",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",7,NA,NA,"LA_1076","LA_1076",5,2,2,2,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,0,4,0,0,0,0,"55","female","woman","","28262","No"
