"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,84852,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10915","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",1,NA,NA,"MO_1031","MO_1031",0,1,2,1,2,1,1,"MO_1031",0,2,2,2,2,2,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","55076",""
"2","sliderTrial","html-slider-response",19,90582,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5728","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",7,NA,NA,"MO_1031","MO_1031",0,1,2,1,2,1,1,"MO_1031",0,2,2,2,2,2,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","55076",""
"3","sliderTrial","html-slider-response",20,96242,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5659","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",1,NA,NA,"MO_1031","MO_1031",0,1,2,1,2,1,1,"MO_1031",0,2,2,2,2,2,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","55076",""
"4","sliderTrial_attention","html-slider-response",21,106249,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"MO_1031","MO_1031",0,1,2,1,2,1,1,"MO_1031",0,2,2,2,2,2,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","55076",""
"5","sliderTrial","html-slider-response",22,113392,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7140","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",1,NA,NA,"MO_1031","MO_1031",0,1,2,1,2,1,1,"MO_1031",0,2,2,2,2,2,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","55076",""
"6","sliderTrial","html-slider-response",23,118106,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4712","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",1,NA,NA,"MO_1031","MO_1031",0,1,2,1,2,1,1,"MO_1031",0,2,2,2,2,2,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","55076",""
"7","sliderTrial","html-slider-response",36,156534,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4110","[""SV_PolicingMSA/MO_1289/IMG_7_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_11_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_5_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_4_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_6_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_3_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_1_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_8_1289.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png""]",1,NA,NA,"MO_1289","MO_1289",3,2,2,1,2,1,5,"MO_1289",3,1,1,2,2,2,"MO_1289",3,2,1,2,2,2,2,"33","male","man","","55076",""
"8","sliderTrial","html-slider-response",37,159321,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2786","[""SV_PolicingMSA/MO_1289/IMG_7_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_11_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_5_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_4_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_6_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_3_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_1_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_8_1289.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",1,NA,NA,"MO_1289","MO_1289",3,2,2,1,2,1,5,"MO_1289",3,1,1,2,2,2,"MO_1289",3,2,1,2,2,2,2,"33","male","man","","55076",""
"9","sliderTrial","html-slider-response",38,162224,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2902","[""SV_PolicingMSA/MO_1289/IMG_7_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_11_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_5_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_4_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_6_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_3_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_1_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_8_1289.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",1,NA,NA,"MO_1289","MO_1289",3,2,2,1,2,1,5,"MO_1289",3,1,1,2,2,2,"MO_1289",3,2,1,2,2,2,2,"33","male","man","","55076",""
"10","sliderTrial","html-slider-response",39,165142,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568adb8f1d5a32d7b36f74f",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2916","[""SV_PolicingMSA/MO_1289/IMG_7_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_11_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_5_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_4_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_6_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_3_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_1_1289.jpg"",""SV_PolicingMSA/MO_1289/IMG_8_1289.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",1,NA,NA,"MO_1289","MO_1289",3,2,2,1,2,1,5,"MO_1289",3,1,1,2,2,2,"MO_1289",3,2,1,2,2,2,2,"33","male","man","","55076",""
