"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,230950,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26709","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,1,2,0,2,1,1,"LA_55I",0,1,1,1,2,1,"LA_55I",0,1,1,3,1,3,3,"49","female","woman","","20876",""
"2","sliderTrial_attention","html-slider-response",19,240959,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"LA_55/I","LA_55I",0,1,2,0,2,1,1,"LA_55I",0,1,1,1,2,1,"LA_55I",0,1,1,3,1,3,3,"49","female","woman","","20876",""
"3","sliderTrial","html-slider-response",20,255643,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14680","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,1,2,0,2,1,1,"LA_55I",0,1,1,1,2,1,"LA_55I",0,1,1,3,1,3,3,"49","female","woman","","20876",""
"4","sliderTrial","html-slider-response",21,259748,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4103","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,1,2,0,2,1,1,"LA_55I",0,1,1,1,2,1,"LA_55I",0,1,1,3,1,3,3,"49","female","woman","","20876",""
"5","sliderTrial","html-slider-response",22,263684,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3934","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,1,2,0,2,1,1,"LA_55I",0,1,1,1,2,1,"LA_55I",0,1,1,3,1,3,3,"49","female","woman","","20876",""
"6","sliderTrial","html-slider-response",23,273804,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10118","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",3,NA,NA,"LA_55/I","LA_55I",0,1,2,0,2,1,1,"LA_55I",0,1,1,1,2,1,"LA_55I",0,1,1,3,1,3,3,"49","female","woman","","20876",""
"7","sliderTrial","html-slider-response",36,351381,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4102","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_1076","LA_1076",5,2,2,0,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,1,1,4,1,4,3,"49","female","woman","","20876",""
"8","sliderTrial","html-slider-response",37,355197,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3814","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_1076","LA_1076",5,2,2,0,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,1,1,4,1,4,3,"49","female","woman","","20876",""
"9","sliderTrial","html-slider-response",38,358421,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3222","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_1076","LA_1076",5,2,2,0,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,1,1,4,1,4,3,"49","female","woman","","20876",""
"10","sliderTrial","html-slider-response",39,360364,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568add17ee7236d29c13491",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1941","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","4",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_1076","LA_1076",5,2,2,0,2,1,8,"LA_1076",5,1,1,1,2,2,"LA_1076",5,1,1,4,1,4,3,"49","female","woman","","20876",""
