"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,154361,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9942","[""SV_PolicingMSA/NJ_21/IMG_5_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_10_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_2_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_11_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_1_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_7_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_0_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_4_21.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png""]",4,NA,NA,"NJ_21/I","NJ_21I",0,0,1,2,2,2,1,"NJ_21I",0,2,2,3,2,1,"NJ_21I",0,1,2,2,2,2,2,"71","female","woman","","40380",""
"2","sliderTrial","html-slider-response",19,164722,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10359","[""SV_PolicingMSA/NJ_21/IMG_5_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_10_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_2_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_11_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_1_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_7_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_0_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_4_21.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_21/I","NJ_21I",0,0,1,2,2,2,1,"NJ_21I",0,2,2,3,2,1,"NJ_21I",0,1,2,2,2,2,2,"71","female","woman","","40380",""
"3","sliderTrial_attention","html-slider-response",20,174736,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/NJ_21/IMG_5_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_10_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_2_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_11_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_1_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_7_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_0_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_4_21.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"NJ_21/I","NJ_21I",0,0,1,2,2,2,1,"NJ_21I",0,2,2,3,2,1,"NJ_21I",0,1,2,2,2,2,2,"71","female","woman","","40380",""
"4","sliderTrial","html-slider-response",21,180608,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5871","[""SV_PolicingMSA/NJ_21/IMG_5_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_10_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_2_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_11_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_1_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_7_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_0_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_4_21.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_21/I","NJ_21I",0,0,1,2,2,2,1,"NJ_21I",0,2,2,3,2,1,"NJ_21I",0,1,2,2,2,2,2,"71","female","woman","","40380",""
"5","sliderTrial","html-slider-response",22,184529,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3919","[""SV_PolicingMSA/NJ_21/IMG_5_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_10_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_2_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_11_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_1_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_7_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_0_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_4_21.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_21/I","NJ_21I",0,0,1,2,2,2,1,"NJ_21I",0,2,2,3,2,1,"NJ_21I",0,1,2,2,2,2,2,"71","female","woman","","40380",""
"6","sliderTrial","html-slider-response",23,188329,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3799","[""SV_PolicingMSA/NJ_21/IMG_5_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_10_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_2_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_11_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_1_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_7_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_0_21.jpg"",""SV_PolicingMSA/NJ_21/IMG_4_21.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_21/I","NJ_21I",0,0,1,2,2,2,1,"NJ_21I",0,2,2,3,2,1,"NJ_21I",0,1,2,2,2,2,2,"71","female","woman","","40380",""
"7","sliderTrial","html-slider-response",36,290297,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9511","[""SV_PolicingMSA/NJ_1050/IMG_9_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_2_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_10_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_12_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_14_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_1_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_3_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_7_1050.jpg""]","4",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",4,NA,NA,"NJ_1050","NJ_1050",1,1,2,3,2,2,2,"NJ_1050",1,2,2,2,2,2,"NJ_1050",1,2,2,3,2,2,3,"71","female","woman","","40380",""
"8","sliderTrial_attention","html-slider-response",37,300307,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/NJ_1050/IMG_9_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_2_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_10_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_12_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_14_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_1_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_3_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_7_1050.jpg""]","null",NA,NA,NA,NA,NA,1,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"NJ_1050","NJ_1050",1,1,2,3,2,2,2,"NJ_1050",1,2,2,2,2,2,"NJ_1050",1,2,2,3,2,2,3,"71","female","woman","","40380",""
"9","sliderTrial","html-slider-response",38,304361,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4053","[""SV_PolicingMSA/NJ_1050/IMG_9_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_2_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_10_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_12_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_14_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_1_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_3_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_7_1050.jpg""]","3",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",3,NA,NA,"NJ_1050","NJ_1050",1,1,2,3,2,2,2,"NJ_1050",1,2,2,2,2,2,"NJ_1050",1,2,2,3,2,2,3,"71","female","woman","","40380",""
"10","sliderTrial","html-slider-response",39,310281,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568add7902e315cc5b50278",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5919","[""SV_PolicingMSA/NJ_1050/IMG_9_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_2_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_10_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_12_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_14_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_1_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_3_1050.jpg"",""SV_PolicingMSA/NJ_1050/IMG_7_1050.jpg""]","4",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",4,NA,NA,"NJ_1050","NJ_1050",1,1,2,3,2,2,2,"NJ_1050",1,2,2,2,2,2,"NJ_1050",1,2,2,3,2,2,3,"71","female","woman","","40380",""
