"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,82911,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8946","[""SV_PolicingMSA/MI_1103/IMG_5_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_9_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_13_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_8_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_12_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_2_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_0_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_1_1103.jpg""]","1",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_1103","MI_1103",5,1,1,2,1,1,8,"MI_1103",5,2,2,2,2,2,"MI_1103",5,0,0,0,0,0,0,"19","male","man","","77075",""
"2","sliderTrial","html-slider-response",19,86465,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3552","[""SV_PolicingMSA/MI_1103/IMG_5_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_9_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_13_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_8_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_12_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_2_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_0_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_1_1103.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",1,NA,NA,"MI_1103","MI_1103",5,1,1,2,1,1,8,"MI_1103",5,2,2,2,2,2,"MI_1103",5,0,0,0,0,0,0,"19","male","man","","77075",""
"3","sliderTrial","html-slider-response",20,89414,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2948","[""SV_PolicingMSA/MI_1103/IMG_5_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_9_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_13_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_8_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_12_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_2_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_0_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_1_1103.jpg""]","2",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",2,NA,NA,"MI_1103","MI_1103",5,1,1,2,1,1,8,"MI_1103",5,2,2,2,2,2,"MI_1103",5,0,0,0,0,0,0,"19","male","man","","77075",""
"4","sliderTrial","html-slider-response",21,91526,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2110","[""SV_PolicingMSA/MI_1103/IMG_5_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_9_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_13_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_8_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_12_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_2_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_0_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_1_1103.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",1,NA,NA,"MI_1103","MI_1103",5,1,1,2,1,1,8,"MI_1103",5,2,2,2,2,2,"MI_1103",5,0,0,0,0,0,0,"19","male","man","","77075",""
"5","sliderTrial","html-slider-response",22,95428,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3899","[""SV_PolicingMSA/MI_1103/IMG_5_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_9_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_13_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_8_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_12_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_2_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_0_1103.jpg"",""SV_PolicingMSA/MI_1103/IMG_1_1103.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",1,NA,NA,"MI_1103","MI_1103",5,1,1,2,1,1,8,"MI_1103",5,2,2,2,2,2,"MI_1103",5,0,0,0,0,0,0,"19","male","man","","77075",""
"6","sliderTrial","html-slider-response",35,135561,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5002","[""SV_PolicingMSA/MI_1868/IMG_10_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_4_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_13_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_3_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_1_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_11_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_0_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_8_1868.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",5,NA,NA,"MI_1868","MI_1868",2,1,1,2,1,1,3,"MI_1868",2,2,2,3,1,1,"MI_1868",2,0,0,0,0,0,0,"19","male","man","","77075",""
"7","sliderTrial","html-slider-response",36,138007,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2444","[""SV_PolicingMSA/MI_1868/IMG_10_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_4_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_13_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_3_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_1_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_11_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_0_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_8_1868.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",5,NA,NA,"MI_1868","MI_1868",2,1,1,2,1,1,3,"MI_1868",2,2,2,3,1,1,"MI_1868",2,0,0,0,0,0,0,"19","male","man","","77075",""
"8","sliderTrial","html-slider-response",37,139934,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1924","[""SV_PolicingMSA/MI_1868/IMG_10_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_4_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_13_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_3_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_1_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_11_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_0_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_8_1868.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",5,NA,NA,"MI_1868","MI_1868",2,1,1,2,1,1,3,"MI_1868",2,2,2,3,1,1,"MI_1868",2,0,0,0,0,0,0,"19","male","man","","77075",""
"9","sliderTrial","html-slider-response",38,142194,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2259","[""SV_PolicingMSA/MI_1868/IMG_10_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_4_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_13_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_3_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_1_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_11_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_0_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_8_1868.jpg""]","2",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",2,NA,NA,"MI_1868","MI_1868",2,1,1,2,1,1,3,"MI_1868",2,2,2,3,1,1,"MI_1868",2,0,0,0,0,0,0,"19","male","man","","77075",""
"10","sliderTrial","html-slider-response",39,144270,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ade3272517370d401596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2074","[""SV_PolicingMSA/MI_1868/IMG_10_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_4_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_13_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_3_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_1_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_11_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_0_1868.jpg"",""SV_PolicingMSA/MI_1868/IMG_8_1868.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",2,NA,NA,"MI_1868","MI_1868",2,1,1,2,1,1,3,"MI_1868",2,2,2,3,1,1,"MI_1868",2,0,0,0,0,0,0,"19","male","man","","77075",""
