"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,137524,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9160","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","2",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",2,NA,NA,"MA_159/","MA_159",4,3,3,2,3,1,7,"MA_159",4,0,0,0,2,2,"MA_159",4,4,1,3,3,3,3,"","female","woman","Female","85037",""
"2","sliderTrial","html-slider-response",19,144557,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7032","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","7",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",1,NA,NA,"MA_159/","MA_159",4,3,3,2,3,1,7,"MA_159",4,0,0,0,2,2,"MA_159",4,4,1,3,3,3,3,"","female","woman","Female","85037",""
"3","sliderTrial","html-slider-response",20,148514,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3955","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","1",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",1,NA,NA,"MA_159/","MA_159",4,3,3,2,3,1,7,"MA_159",4,0,0,0,2,2,"MA_159",4,4,1,3,3,3,3,"","female","woman","Female","85037",""
"4","sliderTrial","html-slider-response",21,152108,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3593","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_159/","MA_159",4,3,3,2,3,1,7,"MA_159",4,0,0,0,2,2,"MA_159",4,4,1,3,3,3,3,"","female","woman","Female","85037",""
"5","sliderTrial","html-slider-response",22,155410,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","[""SV_PolicingMSA/MA_159/IMG_7_159.jpg"",""SV_PolicingMSA/MA_159/IMG_14_159.jpg"",""SV_PolicingMSA/MA_159/IMG_4_159.jpg"",""SV_PolicingMSA/MA_159/IMG_11_159.jpg"",""SV_PolicingMSA/MA_159/IMG_10_159.jpg"",""SV_PolicingMSA/MA_159/IMG_5_159.jpg"",""SV_PolicingMSA/MA_159/IMG_13_159.jpg"",""SV_PolicingMSA/MA_159/IMG_9_159.jpg""]","2",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",2,NA,NA,"MA_159/","MA_159",4,3,3,2,3,1,7,"MA_159",4,0,0,0,2,2,"MA_159",4,4,1,3,3,3,3,"","female","woman","Female","85037",""
"6","sliderTrial","html-slider-response",35,205624,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6200","[""SV_PolicingMSA/MA_185/IMG_13_185.jpg"",""SV_PolicingMSA/MA_185/IMG_1_185.jpg"",""SV_PolicingMSA/MA_185/IMG_8_185.jpg"",""SV_PolicingMSA/MA_185/IMG_5_185.jpg"",""SV_PolicingMSA/MA_185/IMG_6_185.jpg"",""SV_PolicingMSA/MA_185/IMG_11_185.jpg"",""SV_PolicingMSA/MA_185/IMG_2_185.jpg"",""SV_PolicingMSA/MA_185/IMG_3_185.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_185/","MA_185",0,1,1,1,2,2,1,"MA_185",0,3,3,3,0,0,"MA_185",0,0,3,0,0,0,0,"","female","woman","Female","85037",""
"7","sliderTrial","html-slider-response",36,207589,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1963","[""SV_PolicingMSA/MA_185/IMG_13_185.jpg"",""SV_PolicingMSA/MA_185/IMG_1_185.jpg"",""SV_PolicingMSA/MA_185/IMG_8_185.jpg"",""SV_PolicingMSA/MA_185/IMG_5_185.jpg"",""SV_PolicingMSA/MA_185/IMG_6_185.jpg"",""SV_PolicingMSA/MA_185/IMG_11_185.jpg"",""SV_PolicingMSA/MA_185/IMG_2_185.jpg"",""SV_PolicingMSA/MA_185/IMG_3_185.jpg""]","6",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",2,NA,NA,"MA_185/","MA_185",0,1,1,1,2,2,1,"MA_185",0,3,3,3,0,0,"MA_185",0,0,3,0,0,0,0,"","female","woman","Female","85037",""
"8","sliderTrial_attention","html-slider-response",37,217594,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/MA_185/IMG_13_185.jpg"",""SV_PolicingMSA/MA_185/IMG_1_185.jpg"",""SV_PolicingMSA/MA_185/IMG_8_185.jpg"",""SV_PolicingMSA/MA_185/IMG_5_185.jpg"",""SV_PolicingMSA/MA_185/IMG_6_185.jpg"",""SV_PolicingMSA/MA_185/IMG_11_185.jpg"",""SV_PolicingMSA/MA_185/IMG_2_185.jpg"",""SV_PolicingMSA/MA_185/IMG_3_185.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"MA_185/","MA_185",0,1,1,1,2,2,1,"MA_185",0,3,3,3,0,0,"MA_185",0,0,3,0,0,0,0,"","female","woman","Female","85037",""
"9","sliderTrial","html-slider-response",38,221463,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3868","[""SV_PolicingMSA/MA_185/IMG_13_185.jpg"",""SV_PolicingMSA/MA_185/IMG_1_185.jpg"",""SV_PolicingMSA/MA_185/IMG_8_185.jpg"",""SV_PolicingMSA/MA_185/IMG_5_185.jpg"",""SV_PolicingMSA/MA_185/IMG_6_185.jpg"",""SV_PolicingMSA/MA_185/IMG_11_185.jpg"",""SV_PolicingMSA/MA_185/IMG_2_185.jpg"",""SV_PolicingMSA/MA_185/IMG_3_185.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",3,NA,NA,"MA_185/","MA_185",0,1,1,1,2,2,1,"MA_185",0,3,3,3,0,0,"MA_185",0,0,3,0,0,0,0,"","female","woman","Female","85037",""
"10","sliderTrial","html-slider-response",39,224067,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568adea5ce04c53521c3e94",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2602","[""SV_PolicingMSA/MA_185/IMG_13_185.jpg"",""SV_PolicingMSA/MA_185/IMG_1_185.jpg"",""SV_PolicingMSA/MA_185/IMG_8_185.jpg"",""SV_PolicingMSA/MA_185/IMG_5_185.jpg"",""SV_PolicingMSA/MA_185/IMG_6_185.jpg"",""SV_PolicingMSA/MA_185/IMG_11_185.jpg"",""SV_PolicingMSA/MA_185/IMG_2_185.jpg"",""SV_PolicingMSA/MA_185/IMG_3_185.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",3,NA,NA,"MA_185/","MA_185",0,1,1,1,2,2,1,"MA_185",0,3,3,3,0,0,"MA_185",0,0,3,0,0,0,0,"","female","woman","Female","85037",""
