"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","correct","standardized_response","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial_attention","html-slider-response",18,99861,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",TRUE,NA,NA,"MO_1031","MO_1031",0,0,1,0,1,1,1,"MO_1031",0,3,3,4,0,0,"MO_1031",0,0,3,0,1,1,1,"30","female","woman","","08071",""
"2","sliderTrial","html-slider-response",19,113181,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13317","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",NA,3,NA,"MO_1031","MO_1031",0,0,1,0,1,1,1,"MO_1031",0,3,3,4,0,0,"MO_1031",0,0,3,0,1,1,1,"30","female","woman","","08071",""
"3","sliderTrial","html-slider-response",20,120541,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7358","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",NA,3,NA,"MO_1031","MO_1031",0,0,1,0,1,1,1,"MO_1031",0,3,3,4,0,0,"MO_1031",0,0,3,0,1,1,1,"30","female","woman","","08071",""
"4","sliderTrial","html-slider-response",21,126397,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5855","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",NA,3,NA,"MO_1031","MO_1031",0,0,1,0,1,1,1,"MO_1031",0,3,3,4,0,0,"MO_1031",0,0,3,0,1,1,1,"30","female","woman","","08071",""
"5","sliderTrial","html-slider-response",22,130789,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4392","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","2",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",NA,2,NA,"MO_1031","MO_1031",0,0,1,0,1,1,1,"MO_1031",0,3,3,4,0,0,"MO_1031",0,0,3,0,1,1,1,"30","female","woman","","08071",""
"6","sliderTrial","html-slider-response",23,135357,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4566","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",NA,3,NA,"MO_1031","MO_1031",0,0,1,0,1,1,1,"MO_1031",0,3,3,4,0,0,"MO_1031",0,0,3,0,1,1,1,"30","female","woman","","08071",""
"7","sliderTrial","html-slider-response",36,201661,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5666","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",NA,2,NA,"MO_982/","MO_982",2,2,3,4,3,1,3,"MO_982",2,0,1,1,3,2,"MO_982",2,2,1,1,3,3,3,"30","female","woman","","08071",""
"8","sliderTrial","html-slider-response",37,206509,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4846","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",NA,1,NA,"MO_982/","MO_982",2,2,3,4,3,1,3,"MO_982",2,0,1,1,3,2,"MO_982",2,2,1,1,3,3,3,"30","female","woman","","08071",""
"9","sliderTrial","html-slider-response",38,210109,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3598","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",NA,5,NA,"MO_982/","MO_982",2,2,3,4,3,1,3,"MO_982",2,0,1,1,3,2,"MO_982",2,2,1,1,3,3,3,"30","female","woman","","08071",""
"10","sliderTrial","html-slider-response",39,215141,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568adf5800e9ea660756e1c",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5030","[""SV_PolicingMSA/MO_982/IMG_0_982.jpg"",""SV_PolicingMSA/MO_982/IMG_12_982.jpg"",""SV_PolicingMSA/MO_982/IMG_10_982.jpg"",""SV_PolicingMSA/MO_982/IMG_7_982.jpg"",""SV_PolicingMSA/MO_982/IMG_14_982.jpg"",""SV_PolicingMSA/MO_982/IMG_13_982.jpg"",""SV_PolicingMSA/MO_982/IMG_8_982.jpg"",""SV_PolicingMSA/MO_982/IMG_2_982.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",NA,3,NA,"MO_982/","MO_982",2,2,3,4,3,1,3,"MO_982",2,0,1,1,3,2,"MO_982",2,2,1,1,3,3,3,"30","female","woman","","08071",""
