"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,332473,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11958","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",3,NA,NA,"FL_1410","FL_1410",2,2,3,3,2,2,3,"FL_1410",2,1,1,2,2,2,"FL_1410",2,2,1,3,2,4,3,"33","female","woman","","04950","no"
"2","sliderTrial","html-slider-response",19,335973,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3497","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",3,NA,NA,"FL_1410","FL_1410",2,2,3,3,2,2,3,"FL_1410",2,1,1,2,2,2,"FL_1410",2,2,1,3,2,4,3,"33","female","woman","","04950","no"
"3","sliderTrial","html-slider-response",20,341362,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5387","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",3,NA,NA,"FL_1410","FL_1410",2,2,3,3,2,2,3,"FL_1410",2,1,1,2,2,2,"FL_1410",2,2,1,3,2,4,3,"33","female","woman","","04950","no"
"4","sliderTrial","html-slider-response",21,345062,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3698","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","2",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",2,NA,NA,"FL_1410","FL_1410",2,2,3,3,2,2,3,"FL_1410",2,1,1,2,2,2,"FL_1410",2,2,1,3,2,4,3,"33","female","woman","","04950","no"
"5","sliderTrial","html-slider-response",22,348563,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3499","[""SV_PolicingMSA/FL_1410/IMG_8_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_9_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_1_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_5_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_10_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_11_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_4_1410.jpg"",""SV_PolicingMSA/FL_1410/IMG_6_1410.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",3,NA,NA,"FL_1410","FL_1410",2,2,3,3,2,2,3,"FL_1410",2,1,1,2,2,2,"FL_1410",2,2,1,3,2,4,3,"33","female","woman","","04950","no"
"6","sliderTrial","html-slider-response",35,396708,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7258","[""SV_PolicingMSA/FL_4887/IMG_11_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_7_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_9_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_6_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_10_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_2_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_0_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_8_4887.jpg""]","3",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",5,NA,NA,"FL_4887","FL_4887",5,3,2,2,2,2,8,"FL_4887",5,1,1,2,2,2,"FL_4887",5,2,1,3,3,4,3,"33","female","woman","","04950","no"
"7","sliderTrial","html-slider-response",36,398876,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2165","[""SV_PolicingMSA/FL_4887/IMG_11_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_7_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_9_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_6_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_10_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_2_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_0_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_8_4887.jpg""]","3",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",5,NA,NA,"FL_4887","FL_4887",5,3,2,2,2,2,8,"FL_4887",5,1,1,2,2,2,"FL_4887",5,2,1,3,3,4,3,"33","female","woman","","04950","no"
"8","sliderTrial","html-slider-response",37,401500,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2622","[""SV_PolicingMSA/FL_4887/IMG_11_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_7_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_9_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_6_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_10_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_2_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_0_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_8_4887.jpg""]","3",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",5,NA,NA,"FL_4887","FL_4887",5,3,2,2,2,2,8,"FL_4887",5,1,1,2,2,2,"FL_4887",5,2,1,3,3,4,3,"33","female","woman","","04950","no"
"9","sliderTrial","html-slider-response",38,405135,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3633","[""SV_PolicingMSA/FL_4887/IMG_11_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_7_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_9_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_6_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_10_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_2_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_0_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_8_4887.jpg""]","5",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",3,NA,NA,"FL_4887","FL_4887",5,3,2,2,2,2,8,"FL_4887",5,1,1,2,2,2,"FL_4887",5,2,1,3,3,4,3,"33","female","woman","","04950","no"
"10","sliderTrial","html-slider-response",39,407517,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568adf9ff7f646cd9137aec",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2380","[""SV_PolicingMSA/FL_4887/IMG_11_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_7_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_9_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_6_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_10_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_2_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_0_4887.jpg"",""SV_PolicingMSA/FL_4887/IMG_8_4887.jpg""]","5",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",3,NA,NA,"FL_4887","FL_4887",5,3,2,2,2,2,8,"FL_4887",5,1,1,2,2,2,"FL_4887",5,2,1,3,3,4,3,"33","female","woman","","04950","no"
