"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,87751,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12839","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",4,NA,NA,"NY_2726","NY_2726",2,1,4,3,3,2,3,"NY_2726",2,1,1,2,2,1,"NY_2726",2,3,1,2,4,4,3,"22","male","man","","10036",""
"2","sliderTrial","html-slider-response",19,93047,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5291","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_2726","NY_2726",2,1,4,3,3,2,3,"NY_2726",2,1,1,2,2,1,"NY_2726",2,3,1,2,4,4,3,"22","male","man","","10036",""
"3","sliderTrial","html-slider-response",20,94948,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1898","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","4",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",4,NA,NA,"NY_2726","NY_2726",2,1,4,3,3,2,3,"NY_2726",2,1,1,2,2,1,"NY_2726",2,3,1,2,4,4,3,"22","male","man","","10036",""
"4","sliderTrial","html-slider-response",21,97800,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2850","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","3",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",3,NA,NA,"NY_2726","NY_2726",2,1,4,3,3,2,3,"NY_2726",2,1,1,2,2,1,"NY_2726",2,3,1,2,4,4,3,"22","male","man","","10036",""
"5","sliderTrial","html-slider-response",22,100714,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2912","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","5",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",3,NA,NA,"NY_2726","NY_2726",2,1,4,3,3,2,3,"NY_2726",2,1,1,2,2,1,"NY_2726",2,3,1,2,4,4,3,"22","male","man","","10036",""
"6","sliderTrial","html-slider-response",35,159164,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4419","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",3,NA,NA,"NY_5291","NY_5291",4,1,2,1,1,1,7,"NY_5291",4,3,3,3,1,1,"NY_5291",4,0,4,1,2,2,1,"22","male","man","","10036",""
"7","sliderTrial","html-slider-response",36,161280,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2114","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",3,NA,NA,"NY_5291","NY_5291",4,1,2,1,1,1,7,"NY_5291",4,3,3,3,1,1,"NY_5291",4,0,4,1,2,2,1,"22","male","man","","10036",""
"8","sliderTrial","html-slider-response",37,163048,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1766","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","4",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",4,NA,NA,"NY_5291","NY_5291",4,1,2,1,1,1,7,"NY_5291",4,3,3,3,1,1,"NY_5291",4,0,4,1,2,2,1,"22","male","man","","10036",""
"9","sliderTrial","html-slider-response",38,165149,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2098","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",3,NA,NA,"NY_5291","NY_5291",4,1,2,1,1,1,7,"NY_5291",4,3,3,3,1,1,"NY_5291",4,0,4,1,2,2,1,"22","male","man","","10036",""
"10","sliderTrial","html-slider-response",39,167364,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f2909018e0e20ca33",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2213","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",3,NA,NA,"NY_5291","NY_5291",4,1,2,1,1,1,7,"NY_5291",4,3,3,3,1,1,"NY_5291",4,0,4,1,2,2,1,"22","male","man","","10036",""
