"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,138722,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22561","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",4,NA,NA,"MO_1031","MO_1031",0,1,3,4,1,2,1,"MO_1031",0,0,0,2,1,1,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","03246",""
"2","sliderTrial","html-slider-response",19,143098,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4374","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",4,NA,NA,"MO_1031","MO_1031",0,1,3,4,1,2,1,"MO_1031",0,0,0,2,1,1,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","03246",""
"3","sliderTrial_attention","html-slider-response",20,153110,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"MO_1031","MO_1031",0,1,3,4,1,2,1,"MO_1031",0,0,0,2,1,1,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","03246",""
"4","sliderTrial","html-slider-response",21,162970,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9857","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",4,NA,NA,"MO_1031","MO_1031",0,1,3,4,1,2,1,"MO_1031",0,0,0,2,1,1,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","03246",""
"5","sliderTrial","html-slider-response",22,168034,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5064","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",4,NA,NA,"MO_1031","MO_1031",0,1,3,4,1,2,1,"MO_1031",0,0,0,2,1,1,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","03246",""
"6","sliderTrial","html-slider-response",23,171706,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3671","[""SV_PolicingMSA/MO_1031/IMG_13_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_9_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_12_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_11_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_7_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_0_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_3_1031.jpg"",""SV_PolicingMSA/MO_1031/IMG_2_1031.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",4,NA,NA,"MO_1031","MO_1031",0,1,3,4,1,2,1,"MO_1031",0,0,0,2,1,1,"MO_1031",0,0,2,2,2,2,2,"33","male","man","","03246",""
"7","sliderTrial","html-slider-response",36,240242,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3235","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","4",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",4,NA,NA,"MO_1004","MO_1004",1,1,4,4,4,2,2,"MO_1004",1,0,1,2,3,3,"MO_1004",1,2,1,2,4,3,3,"33","male","man","","03246",""
"8","sliderTrial","html-slider-response",37,242658,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2415","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","4",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",4,NA,NA,"MO_1004","MO_1004",1,1,4,4,4,2,2,"MO_1004",1,0,1,2,3,3,"MO_1004",1,2,1,2,4,3,3,"33","male","man","","03246",""
"9","sliderTrial","html-slider-response",38,246466,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3807","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","4",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",4,NA,NA,"MO_1004","MO_1004",1,1,4,4,4,2,2,"MO_1004",1,0,1,2,3,3,"MO_1004",1,2,1,2,4,3,3,"33","male","man","","03246",""
"10","sliderTrial","html-slider-response",39,250378,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ae2f8afd6b009da7efb9",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3911","[""SV_PolicingMSA/MO_1004/IMG_5_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_3_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_0_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_14_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_6_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_9_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_12_1004.jpg"",""SV_PolicingMSA/MO_1004/IMG_1_1004.jpg""]","4",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",4,NA,NA,"MO_1004","MO_1004",1,1,4,4,4,2,2,"MO_1004",1,0,1,2,3,3,"MO_1004",1,2,1,2,4,3,3,"33","male","man","","03246",""
