"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,191934,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15435","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_16_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_16_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_2726","NY_2726",2,1,3,3,3,2,3,"NY_2726",2,2,2,2,2,2,"NY_2726",2,1,2,2,3,3,3,"39","male","man","","96744",""
"2","sliderTrial","html-slider-response",19,200668,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8732","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_2726","NY_2726",2,1,3,3,3,2,3,"NY_2726",2,2,2,2,2,2,"NY_2726",2,1,2,2,3,3,3,"39","male","man","","96744",""
"3","sliderTrial","html-slider-response",20,206858,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6189","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",1,NA,NA,"NY_2726","NY_2726",2,1,3,3,3,2,3,"NY_2726",2,2,2,2,2,2,"NY_2726",2,1,2,2,3,3,3,"39","male","man","","96744",""
"4","sliderTrial","html-slider-response",21,210220,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3360","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",1,NA,NA,"NY_2726","NY_2726",2,1,3,3,3,2,3,"NY_2726",2,2,2,2,2,2,"NY_2726",2,1,2,2,3,3,3,"39","male","man","","96744",""
"5","sliderTrial","html-slider-response",22,214030,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3809","[""SV_PolicingMSA/NY_2726/IMG_11_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_14_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_3_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_1_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_10_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_12_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_7_2726.jpg"",""SV_PolicingMSA/NY_2726/IMG_2_2726.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_2726","NY_2726",2,1,3,3,3,2,3,"NY_2726",2,2,2,2,2,2,"NY_2726",2,1,2,2,3,3,3,"39","male","man","","96744",""
"6","sliderTrial","html-slider-response",35,265823,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4252","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_2731","NY_2731",3,1,2,2,2,2,5,"NY_2731",3,3,3,2,2,1,"NY_2731",3,1,3,3,3,3,2,"39","male","man","","96744",""
"7","sliderTrial","html-slider-response",36,268053,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2229","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",1,NA,NA,"NY_2731","NY_2731",3,1,2,2,2,2,5,"NY_2731",3,3,3,2,2,1,"NY_2731",3,1,3,3,3,3,2,"39","male","man","","96744",""
"8","sliderTrial","html-slider-response",37,270641,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2587","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",1,NA,NA,"NY_2731","NY_2731",3,1,2,2,2,2,5,"NY_2731",3,3,3,2,2,1,"NY_2731",3,1,3,3,3,3,2,"39","male","man","","96744",""
"9","sliderTrial","html-slider-response",38,272938,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2296","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_2731","NY_2731",3,1,2,2,2,2,5,"NY_2731",3,3,3,2,2,1,"NY_2731",3,1,3,3,3,3,2,"39","male","man","","96744",""
"10","sliderTrial","html-slider-response",39,275855,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568ae5dd118d76234220f93",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2916","[""SV_PolicingMSA/NY_2731/IMG_2_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_9_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_3_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_11_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_5_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_8_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_12_2731.jpg"",""SV_PolicingMSA/NY_2731/IMG_10_2731.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",1,NA,NA,"NY_2731","NY_2731",3,1,2,2,2,2,5,"NY_2731",3,3,3,2,2,1,"NY_2731",3,1,3,3,3,3,2,"39","male","man","","96744",""
