"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,214250,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13573","[""SV_PolicingMSA/CA_7077/IMG_3_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_1_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_13_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_12_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_2_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_14_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_8_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_6_7077.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]",7,NA,NA,"CA_7077","CA_7077",0,2,2,4,3,3,1,"CA_7077",0,2,2,2,3,3,"CA_7077",0,3,1,3,3,3,3,"49","male","man","","20147","n/a"
"2","sliderTrial","html-slider-response",19,222129,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7868","[""SV_PolicingMSA/CA_7077/IMG_3_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_1_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_13_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_12_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_2_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_14_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_8_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_6_7077.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",7,NA,NA,"CA_7077","CA_7077",0,2,2,4,3,3,1,"CA_7077",0,2,2,2,3,3,"CA_7077",0,3,1,3,3,3,3,"49","male","man","","20147","n/a"
"3","sliderTrial","html-slider-response",20,228016,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5883","[""SV_PolicingMSA/CA_7077/IMG_3_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_1_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_13_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_12_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_2_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_14_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_8_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_6_7077.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",7,NA,NA,"CA_7077","CA_7077",0,2,2,4,3,3,1,"CA_7077",0,2,2,2,3,3,"CA_7077",0,3,1,3,3,3,3,"49","male","man","","20147","n/a"
"4","sliderTrial_attention","html-slider-response",21,238036,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/CA_7077/IMG_3_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_1_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_13_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_12_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_2_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_14_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_8_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_6_7077.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"CA_7077","CA_7077",0,2,2,4,3,3,1,"CA_7077",0,2,2,2,3,3,"CA_7077",0,3,1,3,3,3,3,"49","male","man","","20147","n/a"
"5","sliderTrial","html-slider-response",22,252146,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14104","[""SV_PolicingMSA/CA_7077/IMG_3_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_1_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_13_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_12_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_2_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_14_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_8_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_6_7077.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]",7,NA,NA,"CA_7077","CA_7077",0,2,2,4,3,3,1,"CA_7077",0,2,2,2,3,3,"CA_7077",0,3,1,3,3,3,3,"49","male","man","","20147","n/a"
"6","sliderTrial","html-slider-response",23,257791,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5629","[""SV_PolicingMSA/CA_7077/IMG_3_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_1_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_13_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_12_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_2_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_14_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_8_7077.jpg"",""SV_PolicingMSA/CA_7077/IMG_6_7077.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]",7,NA,NA,"CA_7077","CA_7077",0,2,2,4,3,3,1,"CA_7077",0,2,2,2,3,3,"CA_7077",0,3,1,3,3,3,3,"49","male","man","","20147","n/a"
"7","sliderTrial","html-slider-response",36,352363,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6065","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",7,NA,NA,"CA_6489","CA_6489",2,3,3,3,1,3,3,"CA_6489",2,0,0,0,4,4,"CA_6489",2,4,0,4,4,4,4,"49","male","man","","20147","n/a"
"8","sliderTrial","html-slider-response",37,357101,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4720","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",7,NA,NA,"CA_6489","CA_6489",2,3,3,3,1,3,3,"CA_6489",2,0,0,0,4,4,"CA_6489",2,4,0,4,4,4,4,"49","male","man","","20147","n/a"
"9","sliderTrial","html-slider-response",38,362466,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5355","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","1",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",7,NA,NA,"CA_6489","CA_6489",2,3,3,3,1,3,3,"CA_6489",2,0,0,0,4,4,"CA_6489",2,4,0,4,4,4,4,"49","male","man","","20147","n/a"
"10","sliderTrial","html-slider-response",39,368602,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568af14f2625ad293c134d1",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6126","[""SV_PolicingMSA/CA_6489/IMG_1_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_6_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_7_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_4_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_12_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_8_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_0_6489.jpg"",""SV_PolicingMSA/CA_6489/IMG_9_6489.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",7,NA,NA,"CA_6489","CA_6489",2,3,3,3,1,3,3,"CA_6489",2,0,0,0,4,4,"CA_6489",2,4,0,4,4,4,4,"49","male","man","","20147","n/a"
