"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,136999,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13641","[""SV_PolicingMSA/LA_599/IMG_2_599.jpg"",""SV_PolicingMSA/LA_599/IMG_4_599.jpg"",""SV_PolicingMSA/LA_599/IMG_1_599.jpg"",""SV_PolicingMSA/LA_599/IMG_9_599.jpg"",""SV_PolicingMSA/LA_599/IMG_11_599.jpg"",""SV_PolicingMSA/LA_599/IMG_3_599.jpg"",""SV_PolicingMSA/LA_599/IMG_5_599.jpg"",""SV_PolicingMSA/LA_599/IMG_8_599.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_599/","LA_599",3,1,3,2,2,1,5,"LA_599",3,1,1,2,2,2,"LA_599",3,3,2,2,2,2,2,"42","male","man","","68130",""
"2","sliderTrial","html-slider-response",19,144847,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7844","[""SV_PolicingMSA/LA_599/IMG_2_599.jpg"",""SV_PolicingMSA/LA_599/IMG_4_599.jpg"",""SV_PolicingMSA/LA_599/IMG_1_599.jpg"",""SV_PolicingMSA/LA_599/IMG_9_599.jpg"",""SV_PolicingMSA/LA_599/IMG_11_599.jpg"",""SV_PolicingMSA/LA_599/IMG_3_599.jpg"",""SV_PolicingMSA/LA_599/IMG_5_599.jpg"",""SV_PolicingMSA/LA_599/IMG_8_599.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_599/","LA_599",3,1,3,2,2,1,5,"LA_599",3,1,1,2,2,2,"LA_599",3,3,2,2,2,2,2,"42","male","man","","68130",""
"3","sliderTrial","html-slider-response",20,150242,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5391","[""SV_PolicingMSA/LA_599/IMG_2_599.jpg"",""SV_PolicingMSA/LA_599/IMG_4_599.jpg"",""SV_PolicingMSA/LA_599/IMG_1_599.jpg"",""SV_PolicingMSA/LA_599/IMG_9_599.jpg"",""SV_PolicingMSA/LA_599/IMG_11_599.jpg"",""SV_PolicingMSA/LA_599/IMG_3_599.jpg"",""SV_PolicingMSA/LA_599/IMG_5_599.jpg"",""SV_PolicingMSA/LA_599/IMG_8_599.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_599/","LA_599",3,1,3,2,2,1,5,"LA_599",3,1,1,2,2,2,"LA_599",3,3,2,2,2,2,2,"42","male","man","","68130",""
"4","sliderTrial","html-slider-response",21,158681,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8434","[""SV_PolicingMSA/LA_599/IMG_2_599.jpg"",""SV_PolicingMSA/LA_599/IMG_4_599.jpg"",""SV_PolicingMSA/LA_599/IMG_1_599.jpg"",""SV_PolicingMSA/LA_599/IMG_9_599.jpg"",""SV_PolicingMSA/LA_599/IMG_11_599.jpg"",""SV_PolicingMSA/LA_599/IMG_3_599.jpg"",""SV_PolicingMSA/LA_599/IMG_5_599.jpg"",""SV_PolicingMSA/LA_599/IMG_8_599.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_599/","LA_599",3,1,3,2,2,1,5,"LA_599",3,1,1,2,2,2,"LA_599",3,3,2,2,2,2,2,"42","male","man","","68130",""
"5","sliderTrial","html-slider-response",22,161981,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3296","[""SV_PolicingMSA/LA_599/IMG_2_599.jpg"",""SV_PolicingMSA/LA_599/IMG_4_599.jpg"",""SV_PolicingMSA/LA_599/IMG_1_599.jpg"",""SV_PolicingMSA/LA_599/IMG_9_599.jpg"",""SV_PolicingMSA/LA_599/IMG_11_599.jpg"",""SV_PolicingMSA/LA_599/IMG_3_599.jpg"",""SV_PolicingMSA/LA_599/IMG_5_599.jpg"",""SV_PolicingMSA/LA_599/IMG_8_599.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_599/","LA_599",3,1,3,2,2,1,5,"LA_599",3,1,1,2,2,2,"LA_599",3,3,2,2,2,2,2,"42","male","man","","68130",""
"6","sliderTrial","html-slider-response",35,215401,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3477","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,1,2,1,2,2,1,"LA_55I",0,2,2,2,1,1,"LA_55I",0,1,3,1,1,1,1,"42","male","man","","68130",""
"7","sliderTrial_attention","html-slider-response",36,225405,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"LA_55/I","LA_55I",0,1,2,1,2,2,1,"LA_55I",0,2,2,2,1,1,"LA_55I",0,1,3,1,1,1,1,"42","male","man","","68130",""
"8","sliderTrial","html-slider-response",37,230382,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4973","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,1,2,1,2,2,1,"LA_55I",0,2,2,2,1,1,"LA_55I",0,1,3,1,1,1,1,"42","male","man","","68130",""
"9","sliderTrial","html-slider-response",38,234691,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4305","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",3,NA,NA,"LA_55/I","LA_55I",0,1,2,1,2,2,1,"LA_55I",0,2,2,2,1,1,"LA_55I",0,1,3,1,1,1,1,"42","male","man","","68130",""
"10","sliderTrial","html-slider-response",39,237193,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568af2615d37441c653cd27",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2498","[""SV_PolicingMSA/LA_55/IMG_2_55.jpg"",""SV_PolicingMSA/LA_55/IMG_0_55.jpg"",""SV_PolicingMSA/LA_55/IMG_14_55.jpg"",""SV_PolicingMSA/LA_55/IMG_3_55.jpg"",""SV_PolicingMSA/LA_55/IMG_8_55.jpg"",""SV_PolicingMSA/LA_55/IMG_10_55.jpg"",""SV_PolicingMSA/LA_55/IMG_9_55.jpg"",""SV_PolicingMSA/LA_55/IMG_4_55.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",4,NA,NA,"LA_55/I","LA_55I",0,1,2,1,2,2,1,"LA_55I",0,2,2,2,1,1,"LA_55I",0,1,3,1,1,1,1,"42","male","man","","68130",""
