"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,118590,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16745","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png""]",4,NA,NA,"NJ_979/","NJ_979",0,1,1,0,2,2,1,"NJ_979",0,2,2,3,1,0,"NJ_979",0,0,4,0,0,0,0,"41","male","man","","49337",""
"2","sliderTrial","html-slider-response",19,124239,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5647","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","3",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png""]",5,NA,NA,"NJ_979/","NJ_979",0,1,1,0,2,2,1,"NJ_979",0,2,2,3,1,0,"NJ_979",0,0,4,0,0,0,0,"41","male","man","","49337",""
"3","sliderTrial","html-slider-response",20,127255,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3015","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","5",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",3,NA,NA,"NJ_979/","NJ_979",0,1,1,0,2,2,1,"NJ_979",0,2,2,3,1,0,"NJ_979",0,0,4,0,0,0,0,"41","male","man","","49337",""
"4","sliderTrial_attention","html-slider-response",21,137261,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"NJ_979/","NJ_979",0,1,1,0,2,2,1,"NJ_979",0,2,2,3,1,0,"NJ_979",0,0,4,0,0,0,0,"41","male","man","","49337",""
"5","sliderTrial","html-slider-response",22,141422,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4160","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","2",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",2,NA,NA,"NJ_979/","NJ_979",0,1,1,0,2,2,1,"NJ_979",0,2,2,3,1,0,"NJ_979",0,0,4,0,0,0,0,"41","male","man","","49337",""
"6","sliderTrial","html-slider-response",23,145638,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4215","[""SV_PolicingMSA/NJ_979/IMG_2_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_1_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_3_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_10_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_8_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_13_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_7_979.jpg"",""SV_PolicingMSA/NJ_979/IMG_12_979.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",7,NA,NA,"NJ_979/","NJ_979",0,1,1,0,2,2,1,"NJ_979",0,2,2,3,1,0,"NJ_979",0,0,4,0,0,0,0,"41","male","man","","49337",""
"7","sliderTrial","html-slider-response",36,194702,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3122","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","3",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",3,NA,NA,"NY_5291","NY_5291",4,1,2,2,3,1,7,"NY_5291",4,2,1,2,1,1,"NY_5291",4,0,4,2,0,1,0,"41","male","man","","49337",""
"8","sliderTrial","html-slider-response",37,197038,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2335","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",3,NA,NA,"NY_5291","NY_5291",4,1,2,2,3,1,7,"NY_5291",4,2,1,2,1,1,"NY_5291",4,0,4,2,0,1,0,"41","male","man","","49337",""
"9","sliderTrial","html-slider-response",38,200238,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3199","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","4",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",4,NA,NA,"NY_5291","NY_5291",4,1,2,2,3,1,7,"NY_5291",4,2,1,2,1,1,"NY_5291",4,0,4,2,0,1,0,"41","male","man","","49337",""
"10","sliderTrial","html-slider-response",39,202500,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568af3b6626284e77b502d5",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2262","[""SV_PolicingMSA/NY_5291/IMG_14_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_6_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_3_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_5_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_8_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_9_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_4_5291.jpg"",""SV_PolicingMSA/NY_5291/IMG_2_5291.jpg""]","5",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png""]",3,NA,NA,"NY_5291","NY_5291",4,1,2,2,3,1,7,"NY_5291",4,2,1,2,1,1,"NY_5291",4,0,4,2,0,1,0,"41","male","man","","49337",""
