"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,102887,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10868","[""SV_PolicingMSA/MO_589/IMG_13_589.jpg"",""SV_PolicingMSA/MO_589/IMG_8_589.jpg"",""SV_PolicingMSA/MO_589/IMG_4_589.jpg"",""SV_PolicingMSA/MO_589/IMG_1_589.jpg"",""SV_PolicingMSA/MO_589/IMG_10_589.jpg"",""SV_PolicingMSA/MO_589/IMG_9_589.jpg"",""SV_PolicingMSA/MO_589/IMG_0_589.jpg"",""SV_PolicingMSA/MO_589/IMG_12_589.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png""]",2,NA,NA,"MO_589/","MO_589",2,2,4,1,4,0,3,"MO_589",2,0,0,1,2,2,"MO_589",2,2,2,1,3,3,3,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"2","sliderTrial","html-slider-response",19,108728,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5838","[""SV_PolicingMSA/MO_589/IMG_13_589.jpg"",""SV_PolicingMSA/MO_589/IMG_8_589.jpg"",""SV_PolicingMSA/MO_589/IMG_4_589.jpg"",""SV_PolicingMSA/MO_589/IMG_1_589.jpg"",""SV_PolicingMSA/MO_589/IMG_10_589.jpg"",""SV_PolicingMSA/MO_589/IMG_9_589.jpg"",""SV_PolicingMSA/MO_589/IMG_0_589.jpg"",""SV_PolicingMSA/MO_589/IMG_12_589.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png""]",2,NA,NA,"MO_589/","MO_589",2,2,4,1,4,0,3,"MO_589",2,0,0,1,2,2,"MO_589",2,2,2,1,3,3,3,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"3","sliderTrial","html-slider-response",20,114692,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5962","[""SV_PolicingMSA/MO_589/IMG_13_589.jpg"",""SV_PolicingMSA/MO_589/IMG_8_589.jpg"",""SV_PolicingMSA/MO_589/IMG_4_589.jpg"",""SV_PolicingMSA/MO_589/IMG_1_589.jpg"",""SV_PolicingMSA/MO_589/IMG_10_589.jpg"",""SV_PolicingMSA/MO_589/IMG_9_589.jpg"",""SV_PolicingMSA/MO_589/IMG_0_589.jpg"",""SV_PolicingMSA/MO_589/IMG_12_589.jpg""]","6",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png""]",2,NA,NA,"MO_589/","MO_589",2,2,4,1,4,0,3,"MO_589",2,0,0,1,2,2,"MO_589",2,2,2,1,3,3,3,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"4","sliderTrial","html-slider-response",21,120223,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5529","[""SV_PolicingMSA/MO_589/IMG_13_589.jpg"",""SV_PolicingMSA/MO_589/IMG_8_589.jpg"",""SV_PolicingMSA/MO_589/IMG_4_589.jpg"",""SV_PolicingMSA/MO_589/IMG_1_589.jpg"",""SV_PolicingMSA/MO_589/IMG_10_589.jpg"",""SV_PolicingMSA/MO_589/IMG_9_589.jpg"",""SV_PolicingMSA/MO_589/IMG_0_589.jpg"",""SV_PolicingMSA/MO_589/IMG_12_589.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",1,NA,NA,"MO_589/","MO_589",2,2,4,1,4,0,3,"MO_589",2,0,0,1,2,2,"MO_589",2,2,2,1,3,3,3,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"5","sliderTrial","html-slider-response",22,124022,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3796","[""SV_PolicingMSA/MO_589/IMG_13_589.jpg"",""SV_PolicingMSA/MO_589/IMG_8_589.jpg"",""SV_PolicingMSA/MO_589/IMG_4_589.jpg"",""SV_PolicingMSA/MO_589/IMG_1_589.jpg"",""SV_PolicingMSA/MO_589/IMG_10_589.jpg"",""SV_PolicingMSA/MO_589/IMG_9_589.jpg"",""SV_PolicingMSA/MO_589/IMG_0_589.jpg"",""SV_PolicingMSA/MO_589/IMG_12_589.jpg""]","7",NA,NA,NA,NA,NA,2,NA,4,"[""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png""]",1,NA,NA,"MO_589/","MO_589",2,2,4,1,4,0,3,"MO_589",2,0,0,1,2,2,"MO_589",2,2,2,1,3,3,3,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"6","sliderTrial","html-slider-response",35,173269,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4382","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",4,NA,NA,"MO_628/","MO_628",3,0,1,2,2,2,5,"MO_628",3,3,3,3,0,0,"MO_628",3,0,3,1,1,0,1,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"7","sliderTrial","html-slider-response",36,177356,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4083","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",4,NA,NA,"MO_628/","MO_628",3,0,1,2,2,2,5,"MO_628",3,3,3,3,0,0,"MO_628",3,0,3,1,1,0,1,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"8","sliderTrial","html-slider-response",37,181312,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3954","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","5",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",5,NA,NA,"MO_628/","MO_628",3,0,1,2,2,2,5,"MO_628",3,3,3,3,0,0,"MO_628",3,0,3,1,1,0,1,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"9","sliderTrial","html-slider-response",38,185195,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3881","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",4,NA,NA,"MO_628/","MO_628",3,0,1,2,2,2,5,"MO_628",3,3,3,3,0,0,"MO_628",3,0,3,1,1,0,1,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
"10","sliderTrial","html-slider-response",39,186844,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568b00c1345ade85a507bd8",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1647","[""SV_PolicingMSA/MO_628/IMG_14_628.jpg"",""SV_PolicingMSA/MO_628/IMG_10_628.jpg"",""SV_PolicingMSA/MO_628/IMG_6_628.jpg"",""SV_PolicingMSA/MO_628/IMG_9_628.jpg"",""SV_PolicingMSA/MO_628/IMG_4_628.jpg"",""SV_PolicingMSA/MO_628/IMG_1_628.jpg"",""SV_PolicingMSA/MO_628/IMG_5_628.jpg"",""SV_PolicingMSA/MO_628/IMG_0_628.jpg""]","4",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png""]",4,NA,NA,"MO_628/","MO_628",3,0,1,2,2,2,5,"MO_628",3,3,3,3,0,0,"MO_628",3,0,3,1,1,0,1,"40","female","woman","","17403","n/a thank you and good luck with your study!!"
