"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,116438,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6881","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","7",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]",1,NA,NA,"MI_1804","MI_1804",0,1,2,0,3,1,1,"MI_1804",0,2,2,2,3,2,"MI_1804",0,1,3,2,2,1,2,"35","male","nonbinary","agender","11237",""
"2","sliderTrial_attention","html-slider-response",19,126444,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","null",NA,NA,NA,NA,NA,0,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"MI_1804","MI_1804",0,1,2,0,3,1,1,"MI_1804",0,2,2,2,3,2,"MI_1804",0,1,3,2,2,1,2,"35","male","nonbinary","agender","11237",""
"3","sliderTrial","html-slider-response",20,133245,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6799","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","4",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",4,NA,NA,"MI_1804","MI_1804",0,1,2,0,3,1,1,"MI_1804",0,2,2,2,3,2,"MI_1804",0,1,3,2,2,1,2,"35","male","nonbinary","agender","11237",""
"4","sliderTrial","html-slider-response",21,137892,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4647","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_1_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_1_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_1804","MI_1804",0,1,2,0,3,1,1,"MI_1804",0,2,2,2,3,2,"MI_1804",0,1,3,2,2,1,2,"35","male","nonbinary","agender","11237",""
"5","sliderTrial","html-slider-response",22,141060,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3167","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_20_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_20_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_1804","MI_1804",0,1,2,0,3,1,1,"MI_1804",0,2,2,2,3,2,"MI_1804",0,1,3,2,2,1,2,"35","male","nonbinary","agender","11237",""
"6","sliderTrial","html-slider-response",23,144612,"0.0-23.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3551","[""SV_PolicingMSA/MI_1804/IMG_12_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_0_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_8_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_9_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_3_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_14_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_7_1804.jpg"",""SV_PolicingMSA/MI_1804/IMG_5_1804.jpg""]","1",NA,NA,NA,NA,NA,0,NA,4,"[""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_1804","MI_1804",0,1,2,0,3,1,1,"MI_1804",0,2,2,2,3,2,"MI_1804",0,1,3,2,2,1,2,"35","male","nonbinary","agender","11237",""
"7","sliderTrial","html-slider-response",36,198599,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4617","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","6",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png""]",2,NA,NA,"MI_2715","MI_2715",4,0,2,0,4,1,7,"MI_2715",4,2,1,NA,1,1,"MI_2715",4,0,4,1,0,0,0,"35","male","nonbinary","agender","11237",""
"8","sliderTrial","html-slider-response",37,200815,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2215","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","7",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]",1,NA,NA,"MI_2715","MI_2715",4,0,2,0,4,1,7,"MI_2715",4,2,1,NA,1,1,"MI_2715",4,0,4,1,0,0,0,"35","male","nonbinary","agender","11237",""
"9","sliderTrial","html-slider-response",38,204119,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3302","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","6",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_19_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_19_CommunitySafety_autoscaled.png""]",2,NA,NA,"MI_2715","MI_2715",4,0,2,0,4,1,7,"MI_2715",4,2,1,NA,1,1,"MI_2715",4,0,4,1,0,0,0,"35","male","nonbinary","agender","11237",""
"10","sliderTrial","html-slider-response",39,208758,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4639","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","1",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_2715","MI_2715",4,0,2,0,4,1,7,"MI_2715",4,2,1,NA,1,1,"MI_2715",4,0,4,1,0,0,0,"35","male","nonbinary","agender","11237",""
"11","sliderTrial","html-slider-response",40,213134,"0.0-40.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4375","[""SV_PolicingMSA/MI_2715/IMG_5_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_12_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_10_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_8_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_6_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_4_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_3_2715.jpg"",""SV_PolicingMSA/MI_2715/IMG_0_2715.jpg""]","7",NA,NA,NA,NA,NA,4,NA,4,"[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]",1,NA,NA,"MI_2715","MI_2715",4,0,2,0,4,1,7,"MI_2715",4,2,1,NA,1,1,"MI_2715",4,0,4,1,0,0,0,"35","male","nonbinary","agender","11237",""
"12","sliderTrial","html-slider-response",53,265347,"0.0-53.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2754","[""SV_PolicingMSA/MI_2582/IMG_11_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_4_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_3_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_1_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_9_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_10_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_7_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_5_2582.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_2582","MI_2582",3,1,2,0,4,1,5,"MI_2582",3,2,2,2,1,1,"MI_2582",3,1,4,2,0,0,2,"35","male","nonbinary","agender","11237",""
"13","sliderTrial","html-slider-response",54,274810,"0.0-54.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9462","[""SV_PolicingMSA/MI_2582/IMG_11_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_4_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_3_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_1_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_9_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_10_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_7_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_5_2582.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_2582","MI_2582",3,1,2,0,4,1,5,"MI_2582",3,2,2,2,1,1,"MI_2582",3,1,4,2,0,0,2,"35","male","nonbinary","agender","11237",""
"14","sliderTrial","html-slider-response",55,277617,"0.0-55.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2807","[""SV_PolicingMSA/MI_2582/IMG_11_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_4_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_3_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_1_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_9_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_10_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_7_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_5_2582.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",1,NA,NA,"MI_2582","MI_2582",3,1,2,0,4,1,5,"MI_2582",3,2,2,2,1,1,"MI_2582",3,1,4,2,0,0,2,"35","male","nonbinary","agender","11237",""
"15","sliderTrial","html-slider-response",56,280137,"0.0-56.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2519","[""SV_PolicingMSA/MI_2582/IMG_11_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_4_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_3_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_1_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_9_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_10_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_7_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_5_2582.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_2582","MI_2582",3,1,2,0,4,1,5,"MI_2582",3,2,2,2,1,1,"MI_2582",3,1,4,2,0,0,2,"35","male","nonbinary","agender","11237",""
"16","sliderTrial","html-slider-response",57,283025,"0.0-57.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2887","[""SV_PolicingMSA/MI_2582/IMG_11_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_4_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_3_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_1_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_9_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_10_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_7_2582.jpg"",""SV_PolicingMSA/MI_2582/IMG_5_2582.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_2582","MI_2582",3,1,2,0,4,1,5,"MI_2582",3,2,2,2,1,1,"MI_2582",3,1,4,2,0,0,2,"35","male","nonbinary","agender","11237",""
"17","sliderTrial_attention","html-slider-response",70,341560,"0.0-70.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"null","[""SV_PolicingMSA/MI_1808/IMG_10_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_4_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_0_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_5_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_7_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_3_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_13_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_14_1808.jpg""]","null",NA,NA,NA,NA,NA,1,NA,4,"[""./assets/img/attnchk.png"",""./assets/img/attnchk.png""]",NA,TRUE,NA,"MI_1808","MI_1808",1,2,2,1,2,2,2,"MI_1808",1,2,2,2,2,1,"MI_1808",1,1,3,2,2,2,2,"35","male","nonbinary","agender","11237",""
"18","sliderTrial","html-slider-response",71,353709,"0.0-71.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12147","[""SV_PolicingMSA/MI_1808/IMG_10_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_4_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_0_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_5_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_7_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_3_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_13_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_14_1808.jpg""]","1",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_10_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_10_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_1808","MI_1808",1,2,2,1,2,2,2,"MI_1808",1,2,2,2,2,1,"MI_1808",1,1,3,2,2,2,2,"35","male","nonbinary","agender","11237",""
"19","sliderTrial","html-slider-response",72,356452,"0.0-72.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2743","[""SV_PolicingMSA/MI_1808/IMG_10_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_4_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_0_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_5_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_7_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_3_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_13_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_14_1808.jpg""]","1",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_1808","MI_1808",1,2,2,1,2,2,2,"MI_1808",1,2,2,2,2,1,"MI_1808",1,1,3,2,2,2,2,"35","male","nonbinary","agender","11237",""
"20","sliderTrial","html-slider-response",73,359140,"0.0-73.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2687","[""SV_PolicingMSA/MI_1808/IMG_10_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_4_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_0_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_5_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_7_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_3_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_13_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_14_1808.jpg""]","6",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png""]",2,NA,NA,"MI_1808","MI_1808",1,2,2,1,2,2,2,"MI_1808",1,2,2,2,2,1,"MI_1808",1,1,3,2,2,2,2,"35","male","nonbinary","agender","11237",""
"21","sliderTrial","html-slider-response",74,361924,"0.0-74.0",NA,"656776a7904ae00d6b91d1dd","6568b2ac2a2e8dc6001b94ad",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2783","[""SV_PolicingMSA/MI_1808/IMG_10_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_4_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_0_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_5_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_7_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_3_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_13_1808.jpg"",""SV_PolicingMSA/MI_1808/IMG_14_1808.jpg""]","1",NA,NA,NA,NA,NA,1,NA,4,"[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]",1,NA,NA,"MI_1808","MI_1808",1,2,2,1,2,2,2,"MI_1808",1,2,2,2,2,1,"MI_1808",1,1,3,2,2,2,2,"35","male","nonbinary","agender","11237",""
