"","task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block.x.x","accuracy","slider_start","choices","standardized_response","correct","num_attention_checks_correct","stim_tract","stim_tractT","block.x","P0_Q1.wealthy","P0_Q1.safe","P0_Q1.walkable","P0_Q1.traditional","P0_Q1.diverse","block_fixed","stim_tractT.x","block.y","P0_Q1.violence","P0_Q1.crime","P0_Q1.drug","P0_Q1.schools","P0_Q1.opportunities","stim_tractT.y","block.y.y","P0_Q1.movein","P0_Q1.moveout","P0_Q1.shopping","P0_Q1.walk","P0_Q1.park","P0_Q1.school","age","sex","gender","gender-self-describe","zipcode","surveyComments"
"1","sliderTrial","html-slider-response",18,239383,"0.0-18.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17910","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_6_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_6_SafeStreets_autoscaled.png""]",7,NA,NA,"LA_1076","LA_1076",5,3,3,4,4,2,8,"LA_1076",5,1,2,3,3,3,"LA_1076",5,3,2,3,3,3,2,"56","male","man","","22226","none"
"2","sliderTrial","html-slider-response",19,248762,"0.0-19.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9376","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_15_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_15_SafeStreets_autoscaled.png""]",7,NA,NA,"LA_1076","LA_1076",5,3,3,4,4,2,8,"LA_1076",5,1,2,3,3,3,"LA_1076",5,3,2,3,3,3,2,"56","male","man","","22226","none"
"3","sliderTrial","html-slider-response",20,270098,"0.0-20.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21332","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","1",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_18_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_18_SafeStreets_autoscaled.png""]",1,NA,NA,"LA_1076","LA_1076",5,3,3,4,4,2,8,"LA_1076",5,1,2,3,3,3,"LA_1076",5,3,2,3,3,3,2,"56","male","man","","22226","none"
"4","sliderTrial","html-slider-response",21,275826,"0.0-21.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5724","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","7",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]",1,NA,NA,"LA_1076","LA_1076",5,3,3,4,4,2,8,"LA_1076",5,1,2,3,3,3,"LA_1076",5,3,2,3,3,3,2,"56","male","man","","22226","none"
"5","sliderTrial","html-slider-response",22,281657,"0.0-22.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5829","[""SV_PolicingMSA/LA_1076/IMG_5_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_8_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_14_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_12_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_4_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_3_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_6_1076.jpg"",""SV_PolicingMSA/LA_1076/IMG_11_1076.jpg""]","1",NA,NA,NA,NA,NA,5,NA,4,"[""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png""]",1,NA,NA,"LA_1076","LA_1076",5,3,3,4,4,2,8,"LA_1076",5,1,2,3,3,3,"LA_1076",5,3,2,3,3,3,2,"56","male","man","","22226","none"
"6","sliderTrial","html-slider-response",35,346079,"0.0-35.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6653","[""SV_PolicingMSA/LA_447/IMG_2_447.jpg"",""SV_PolicingMSA/LA_447/IMG_7_447.jpg"",""SV_PolicingMSA/LA_447/IMG_3_447.jpg"",""SV_PolicingMSA/LA_447/IMG_10_447.jpg"",""SV_PolicingMSA/LA_447/IMG_0_447.jpg"",""SV_PolicingMSA/LA_447/IMG_14_447.jpg"",""SV_PolicingMSA/LA_447/IMG_5_447.jpg"",""SV_PolicingMSA/LA_447/IMG_9_447.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]",1,NA,NA,"LA_447/","LA_447",3,2,3,3,2,1,5,"LA_447",3,1,1,1,3,3,"LA_447",3,3,3,3,3,3,3,"56","male","man","","22226","none"
"7","sliderTrial","html-slider-response",36,350224,"0.0-36.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4142","[""SV_PolicingMSA/LA_447/IMG_2_447.jpg"",""SV_PolicingMSA/LA_447/IMG_7_447.jpg"",""SV_PolicingMSA/LA_447/IMG_3_447.jpg"",""SV_PolicingMSA/LA_447/IMG_10_447.jpg"",""SV_PolicingMSA/LA_447/IMG_0_447.jpg"",""SV_PolicingMSA/LA_447/IMG_14_447.jpg"",""SV_PolicingMSA/LA_447/IMG_5_447.jpg"",""SV_PolicingMSA/LA_447/IMG_9_447.jpg""]","1",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_12_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_12_SafeStreets_autoscaled.png""]",1,NA,NA,"LA_447/","LA_447",3,2,3,3,2,1,5,"LA_447",3,1,1,1,3,3,"LA_447",3,3,3,3,3,3,3,"56","male","man","","22226","none"
"8","sliderTrial","html-slider-response",37,354259,"0.0-37.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4030","[""SV_PolicingMSA/LA_447/IMG_2_447.jpg"",""SV_PolicingMSA/LA_447/IMG_7_447.jpg"",""SV_PolicingMSA/LA_447/IMG_3_447.jpg"",""SV_PolicingMSA/LA_447/IMG_10_447.jpg"",""SV_PolicingMSA/LA_447/IMG_0_447.jpg"",""SV_PolicingMSA/LA_447/IMG_14_447.jpg"",""SV_PolicingMSA/LA_447/IMG_5_447.jpg"",""SV_PolicingMSA/LA_447/IMG_9_447.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_5_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_5_CommunitySafety_autoscaled.png""]",1,NA,NA,"LA_447/","LA_447",3,2,3,3,2,1,5,"LA_447",3,1,1,1,3,3,"LA_447",3,3,3,3,3,3,3,"56","male","man","","22226","none"
"9","sliderTrial","html-slider-response",38,358906,"0.0-38.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4645","[""SV_PolicingMSA/LA_447/IMG_2_447.jpg"",""SV_PolicingMSA/LA_447/IMG_7_447.jpg"",""SV_PolicingMSA/LA_447/IMG_3_447.jpg"",""SV_PolicingMSA/LA_447/IMG_10_447.jpg"",""SV_PolicingMSA/LA_447/IMG_0_447.jpg"",""SV_PolicingMSA/LA_447/IMG_14_447.jpg"",""SV_PolicingMSA/LA_447/IMG_5_447.jpg"",""SV_PolicingMSA/LA_447/IMG_9_447.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png""]",1,NA,NA,"LA_447/","LA_447",3,2,3,3,2,1,5,"LA_447",3,1,1,1,3,3,"LA_447",3,3,3,3,3,3,3,"56","male","man","","22226","none"
"10","sliderTrial","html-slider-response",39,362759,"0.0-39.0",NA,"656776a7904ae00d6b91d1dd","6568b4a0c742ad7e6541cb7e",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3849","[""SV_PolicingMSA/LA_447/IMG_2_447.jpg"",""SV_PolicingMSA/LA_447/IMG_7_447.jpg"",""SV_PolicingMSA/LA_447/IMG_3_447.jpg"",""SV_PolicingMSA/LA_447/IMG_10_447.jpg"",""SV_PolicingMSA/LA_447/IMG_0_447.jpg"",""SV_PolicingMSA/LA_447/IMG_14_447.jpg"",""SV_PolicingMSA/LA_447/IMG_5_447.jpg"",""SV_PolicingMSA/LA_447/IMG_9_447.jpg""]","7",NA,NA,NA,NA,NA,3,NA,4,"[""./rc_img/cop_condGroup_14_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_14_CommunitySafety_autoscaled.png""]",1,NA,NA,"LA_447/","LA_447",3,2,3,3,2,1,5,"LA_447",3,1,1,1,3,3,"LA_447",3,3,3,3,3,3,3,"56","male","man","","22226","none"
