"task","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","section","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","success","timeout","failed_images","failed_audio","failed_video","block","accuracy","slider_start","choices","standardized_response","num_attention_checks_correct"
"pavlovia-init","pavlovia","0","775","0.0-0.0","","","","10","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","browser-check","1","1768","0.0-1.0","","","","10","1600","837","true","chrome","120.0.0","false","Mac OS","true","60.58","true","true","","","","","","","","","","","","","",""
"consent","html-button-response","2","7835","0.0-2.0","","","","10","","","","","","","","","","","","6066","
        <div style=""font-size: 80%; max-width:700px"">
            <h2>CONSENT FORM</h2>
        
            <div style=""text-align: left"">
            <h4>DESCRIPTION</h4>
            <p>
            You will complete a short task where you give your impressions of various neighborhoods and assign individuals to those spaces, and answer some questions about your thoughts and opinions.<br>
            The University of Michigan Institutional Review Board Health Sciences and Behavioral Sciences has determined that this study is exempt from IRB oversight.
            </p>

            <h4>TIME INVOLVEMENT</h4>
            <p>Your participation will take approximately 15 minutes. You will receive $3.15 upon completion of the study.</p>
        
            <h4>RISKS AND BENEFITS</h4>
            <p>
            The risks associated with this study are minimal. The benefits which may reasonably be expected to result from this study are none. We cannot and do not guarantee or promise that you will receive any benefits from this study.
            </p>
          
            <h4>SUBJECT'S RIGHTS</h4>
            <p>
            If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. Your individual privacy will be maintained in all published and written data resulting from the study.
            </p>

            <h4>HUMAN SUBJECT APPROVAL</h4>
            <p>
            This study is exempt from ongoing IRB review.
            </p>

            <h4>CONTACT INFORMATION</h4>
            If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Nicholas Camp, npcamp@umich.edu, (443) 851-6783. <br>

            If you have questions about your rights as a research participant, or wish to obtain information, ask questions or discuss any concerns about this study with someone other than the researcher(s), please contact the following:<br><br>
            University of Michigan<br>
            Health Sciences and Behavioral Sciences Institutional Review Board (IRB-HSBS)<br>
            2800 Plymouth Road<br>
            Building 520, Room 1169Ann Arbor, MI 48109-2800<br>
            Telephone: 734-936-0933 or toll free (866) 936-0933<br>
            Fax: 734-936-1852<br>
            E-mail: irbhsbs@umich.edu<br><br>

            You can also contact the University of Michigan Compliance Hotline at 1-866-990-0111. You may also print this consent form to keep.
            <br><br>
            <div class=""alert alert-warning""><b>
            Do you consent to participate in this study? If you consent to participate in this study, please click “Accept and Continue”. If you select ""Decline and Exit"", you will be exited from the survey. <br>
            </b></div>
            </div>
        </div>
    ","1","","","","","","","","","","",""
"","preload","3","10060","0.0-3.0","","","","10","","","","","","","","","","","","","","","true","false","[]","[]","[]","","","","","",""
"instructions","html-button-response","4","60474","0.0-4.0","","","","10","","","","","","","","","","","","50414","
        <div class=""text-container"">
        <h1>Welcome to the study!</h1>
        
        <div class=""text-left"">
            <p>
                In this study, we are interested in what people can tell about spaces from Google Street View images. <br> Google Street View takes pictures of streets used for Google Earth and Google Maps. <br>You’ll see Google Street View images of different places and answer some questions about each one.<br>
            </p>
        </div>
        <img src = ""assets/img/example.png"" width = 500px, height = auto>
        <br>
    <br>
    ","0","","","","","","","","","","",""
"instructions","html-button-response","5","61514","0.0-5.0","","","","10","","","","","","","","","","","","1039","
    <div class=""text-container"">
        <div class=""text-center"">
            <p>Please remember that your answers are completely anonymous.<br>Go with your gut response- there are no right or wrong answers!</p>
        </div>
    <br>
","0","","","","","","","","","","",""
"before_SVSlide_prompt","html-button-response","6","62250","0.0-6.0","","","","10","","","","","","","","","","","","736","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","7","63253","0.0-7.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_9_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","8","64254","0.0-8.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_7_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","9","65257","0.0-9.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_11_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","10","66259","0.0-10.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_8_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","11","67261","0.0-11.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_6_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","12","68262","0.0-12.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_14_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","13","69264","0.0-13.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_2_4062.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","14","70266","0.0-14.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_4062/IMG_3_4062.jpg","null","","","","","","3","","","","",""
"dot matrix survey1","survey","15","78565","0.0-15.0","","","","10","","","","","","","","","","","","8258","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":4,""safe"":4,""walkable"":4,""traditional"":4,""diverse"":4}}","","","","","","3","[]","","","",""
"dot matrix survey2","survey","16","84364","0.0-16.0","","","","10","","","","","","","","","","","","5791","","{""P0_Q0"":null,""P0_Q1"":{""violence"":1,""crime"":2,""drug"":2,""schools"":2,""opportunities"":2}}","","","","","","3","[]","","","",""
"dot matrix survey3","survey","17","92770","0.0-17.0","","","","10","","","","","","","","","","","","8400","","{""P0_Q0"":null,""P0_Q1"":{""movein"":0,""moveout"":1,""shopping"":1,""walk"":1,""park"":1,""school"":1}}","","","","","","3","[]","","","",""
"sliderTrial","html-slider-response","18","102330","0.0-18.0","","","","10","","","","","","","","","","","","9558","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","3","","","","","","3","","4","[""./rc_img/cop_condGroup_8_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_8_CommunitySafety_autoscaled.png""]","5",""
"sliderTrial","html-slider-response","19","103826","0.0-19.0","","","","10","","","","","","","","","","","","1495","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_3_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_3_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","20","104554","0.0-20.0","","","","10","","","","","","","","","","","","727","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_2_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_2_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","21","105066","0.0-21.0","","","","10","","","","","","","","","","","","511","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_4_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_4_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","22","105514","0.0-22.0","","","","10","","","","","","","","","","","","447","[""SV_PolicingMSA/FL_4062/IMG_9_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_7_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_11_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_8_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_6_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_14_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_2_4062.jpg"",""SV_PolicingMSA/FL_4062/IMG_3_4062.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_11_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_11_CommunitySafety_autoscaled.png""]","4",""
"before_SVSlide_prompt","html-button-response","23","106634","0.0-23.0","","","","10","","","","","","","","","","","","1119","Click [Next] to see the next neighborhood!","0","","","","","","","","","","",""
"street view slide show","image-button-response","24","107636","0.0-24.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_2_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","25","108638","0.0-25.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_14_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","26","109640","0.0-26.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_11_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","27","110642","0.0-27.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_6_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","28","111644","0.0-28.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_12_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","29","112646","0.0-29.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_10_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","30","113648","0.0-30.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_1_2544.jpg","null","","","","","","3","","","","",""
"street view slide show","image-button-response","31","114650","0.0-31.0","","","","10","","","","","","","","","","","","null","stimulus/SV_PolicingMSA/FL_2544/IMG_3_2544.jpg","null","","","","","","3","","","","",""
"dot matrix survey1","survey","32","118633","0.0-32.0","","","","10","","","","","","","","","","","","3976","","{""P0_Q0"":null,""P0_Q1"":{""wealthy"":2,""safe"":2,""walkable"":2,""traditional"":2,""diverse"":2}}","","","","","","3","[]","","","",""
"dot matrix survey2","survey","33","119179","0.0-33.0","","","","10","","","","","","","","","","","","538","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"dot matrix survey3","survey","34","120035","0.0-34.0","","","","10","","","","","","","","","","","","851","","{""P0_Q0"":null,""P0_Q1"":null}","","","","","","3","[]","","","",""
"sliderTrial","html-slider-response","35","122938","0.0-35.0","","","","10","","","","","","","","","","","","2902","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","6","","","","","","3","","4","[""./rc_img/cop_condGroup_13_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_13_SafeStreets_autoscaled.png""]","6",""
"sliderTrial","html-slider-response","36","123578","0.0-36.0","","","","10","","","","","","","","","","","","639","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_7_CommunitySafety_autoscaled.png"",""./rc_img/cop_condGroup_7_SafeStreets_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","37","123994","0.0-37.0","","","","10","","","","","","","","","","","","415","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_9_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_9_CommunitySafety_autoscaled.png""]","4",""
"sliderTrial","html-slider-response","38","124514","0.0-38.0","","","","10","","","","","","","","","","","","519","[""SV_PolicingMSA/FL_2544/IMG_2_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_14_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_11_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_6_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_12_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_10_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_1_2544.jpg"",""SV_PolicingMSA/FL_2544/IMG_3_2544.jpg""]","4","","","","","","3","","4","[""./rc_img/cop_condGroup_17_SafeStreets_autoscaled.png"",""./rc_img/cop_condGroup_17_CommunitySafety_autoscaled.png""]","4",""
